DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2020-10-04 00:00:00;21;12;3;8;18;4;17;11;12;16
2020-10-04 00:15:00;23;18;3;19;22;1;21;18;16;17
2020-10-04 00:30:00;21;15;2;25;24;2;24;14;19;15
2020-10-04 00:45:00;18;9;1;11;19;6;18;8;12;17
2020-10-04 01:00:00;16;10;1;13;11;6;11;11;13;13
2020-10-04 01:15:00;17;16;2;15;10;4;11;11;19;13
2020-10-04 01:30:00;8;9;0;9;11;0;9;6;11;6
2020-10-04 01:45:00;19;13;1;9;12;4;12;9;13;14
2020-10-04 02:00:00;5;4;1;5;10;3;10;2;4;1
2020-10-04 02:15:00;16;14;2;10;9;3;9;6;14;13
2020-10-04 02:30:00;9;5;2;8;10;0;10;8;6;7
2020-10-04 02:45:00;6;5;2;6;7;1;7;7;7;6
2020-10-04 03:00:00;6;9;1;4;5;1;5;5;10;3
2020-10-04 03:15:00;5;3;0;11;7;2;7;9;3;3
2020-10-04 03:30:00;7;4;0;2;7;0;7;3;5;7
2020-10-04 03:45:00;7;6;0;5;5;1;5;3;4;5
2020-10-04 04:00:00;7;6;2;5;5;0;5;2;6;8
2020-10-04 04:15:00;3;2;0;5;6;3;5;2;2;3
2020-10-04 04:30:00;5;2;0;4;7;0;7;3;2;5
2020-10-04 04:45:00;3;9;2;3;3;2;3;2;10;3
2020-10-04 05:00:00;6;2;0;5;5;1;5;4;3;5
2020-10-04 05:15:00;7;7;0;6;8;1;7;4;9;6
2020-10-04 05:30:00;5;8;1;10;14;2;13;10;7;5
2020-10-04 05:45:00;10;9;0;9;15;0;15;7;10;8
2020-10-04 06:00:00;6;7;1;8;6;2;6;6;9;7
2020-10-04 06:15:00;6;4;2;5;13;1;14;4;5;6
2020-10-04 06:30:00;6;1;1;4;9;4;10;4;3;5
2020-10-04 06:45:00;11;11;0;6;9;0;7;6;11;10
2020-10-04 07:00:00;11;6;1;5;14;3;14;1;6;8
2020-10-04 07:15:00;18;11;2;6;7;3;7;6;12;12
2020-10-04 07:30:00;7;3;3;5;10;5;11;2;4;6
2020-10-04 07:45:00;13;8;1;9;12;9;17;8;8;11
2020-10-04 08:00:00;11;4;4;7;15;7;17;12;5;7
2020-10-04 08:15:00;23;9;2;13;18;6;15;13;9;13
2020-10-04 08:30:00;18;7;2;10;16;12;24;13;8;12
2020-10-04 08:45:00;35;14;6;19;29;10;34;17;16;30
2020-10-04 09:00:00;21;10;3;8;27;13;29;11;14;10
2020-10-04 09:15:00;25;16;4;13;34;12;35;14;15;22
2020-10-04 09:30:00;35;17;4;20;31;14;34;16;21;25
