DATUM;1(DA1);2(DB1);3(DB2);4(DC1);5(DC2);9(TAFGB1);10(TAFGB2);11(TARDD);12(TAFBA);13(TAFBB);14(TAFGE);15(TAFBE)
2019-08-17 00:00:00;9;18;11;21;13;0;0;0;0;0;0;0
2019-08-17 00:15:00;8;14;14;15;9;0;0;0;0;0;0;0
2019-08-17 00:30:00;7;11;15;14;12;0;0;0;0;0;0;0
2019-08-17 00:45:00;6;8;7;11;5;0;0;0;0;0;0;0
2019-08-17 01:00:00;5;13;12;9;12;0;0;0;0;0;0;0
2019-08-17 01:15:00;6;17;9;14;12;0;0;0;0;0;0;0
2019-08-17 01:30:00;5;15;16;3;6;0;0;0;0;0;0;0
2019-08-17 01:45:00;5;6;6;7;3;0;0;0;0;0;0;0
2019-08-17 02:00:00;0;5;6;5;5;0;0;0;0;0;0;0
2019-08-17 02:15:00;4;6;7;8;7;0;0;0;0;0;0;0
2019-08-17 02:30:00;5;6;1;6;9;0;0;0;0;0;0;0
2019-08-17 02:45:00;4;3;5;5;2;0;0;0;0;0;0;0
2019-08-17 03:00:00;3;3;1;3;5;0;0;0;0;0;0;0
2019-08-17 03:15:00;3;9;7;1;0;0;0;0;0;0;0;0
2019-08-17 03:30:00;2;3;4;3;1;0;0;0;0;0;0;0
2019-08-17 03:45:00;1;4;5;2;2;0;0;0;0;0;0;0
2019-08-17 04:00:00;0;9;4;3;2;0;0;0;0;0;0;0
2019-08-17 04:15:00;1;4;4;1;0;0;0;0;0;0;0;0
2019-08-17 04:30:00;2;8;3;6;9;0;0;0;0;0;0;0
2019-08-17 04:45:00;5;1;3;3;6;0;0;0;0;0;0;0
2019-08-17 05:00:00;8;10;9;11;6;0;0;0;0;0;0;0
2019-08-17 05:15:00;6;9;9;9;5;0;0;0;0;0;0;0
2019-08-17 05:30:00;10;10;7;13;11;0;0;0;0;0;0;0
2019-08-17 05:45:00;7;13;9;16;20;0;0;0;0;0;0;0
2019-08-17 06:00:00;7;7;11;8;12;0;0;0;0;0;0;0
2019-08-17 06:15:00;5;12;13;16;13;0;0;0;0;0;0;0
2019-08-17 06:30:00;12;21;8;14;19;0;0;0;0;0;0;0
2019-08-17 06:45:00;13;9;11;11;17;0;0;0;0;0;0;0
2019-08-17 07:00:00;12;16;13;18;11;0;0;0;0;0;0;0
2019-08-17 07:15:00;16;17;19;17;14;0;2;0;0;0;0;0
2019-08-17 07:30:00;15;31;15;24;18;1;0;0;0;0;1;3
2019-08-17 07:45:00;23;24;19;23;21;0;1;0;0;2;0;0
2019-08-17 08:00:00;28;25;18;22;27;0;0;0;0;0;0;0
2019-08-17 08:15:00;29;33;18;24;28;1;0;0;0;12;1;0
2019-08-17 08:30:00;22;28;22;29;39;1;0;0;0;29;0;0
2019-08-17 08:45:00;24;44;28;44;41;0;2;0;0;2;3;0
2019-08-17 09:00:00;20;48;38;39;49;0;12;0;0;4;21;2
2019-08-17 09:15:00;32;40;32;36;33;4;1;0;0;30;1;3
2019-08-17 09:30:00;26;51;55;54;64;1;3;0;0;5;3;0
2019-08-17 09:45:00;43;54;40;48;74;1;8;0;0;16;0;0
2019-08-17 10:00:00;45;48;57;48;43;1;1;0;0;0;2;0
2019-08-17 10:15:00;49;56;55;67;67;0;3;0;0;9;0;0
2019-08-17 10:30:00;38;49;44;59;67;0;3;0;0;6;9;5
2019-08-17 10:45:00;36;67;52;51;63;9;2;0;0;0;5;4
2019-08-17 11:00:00;42;47;43;47;62;4;0;0;0;12;17;3
2019-08-17 11:15:00;37;60;65;58;55;3;4;0;0;9;4;4
2019-08-17 11:30:00;53;51;54;57;64;1;8;0;0;37;1;1
2019-08-17 11:45:00;37;52;42;56;70;0;5;0;0;0;3;0
2019-08-17 12:00:00;42;47;49;59;56;9;12;0;0;0;1;2
2019-08-17 12:15:00;32;53;49;49;50;3;1;0;0;4;1;0
2019-08-17 12:30:00;60;63;74;59;54;1;4;0;0;6;13;4
2019-08-17 12:45:00;31;29;70;66;65;2;0;0;0;3;0;0
2019-08-17 13:00:00;49;60;52;53;66;2;0;0;0;8;3;5
2019-08-17 13:15:00;28;50;31;54;54;14;1;0;0;85;1;0
2019-08-17 13:30:00;45;66;57;76;63;2;0;0;0;7;7;1
2019-08-17 13:45:00;33;52;44;47;72;2;2;0;0;11;7;7
2019-08-17 14:00:00;43;65;53;56;45;0;1;0;0;2;3;0
2019-08-17 14:15:00;41;73;63;58;75;6;2;0;0;36;6;7
2019-08-17 14:30:00;24;72;63;46;67;1;3;0;0;32;6;3
2019-08-17 14:45:00;51;61;54;58;64;3;3;0;0;0;4;1
2019-08-17 15:00:00;23;65;41;55;50;2;1;0;0;0;1;0
2019-08-17 15:15:00;32;54;45;53;60;3;0;0;0;1;4;79
2019-08-17 15:30:00;29;48;53;42;60;4;0;0;0;0;2;3
2019-08-17 15:45:00;45;61;50;53;55;2;6;0;0;60;3;0
2019-08-17 16:00:00;45;52;55;46;64;0;4;0;0;0;3;3
2019-08-17 16:15:00;39;54;41;54;56;4;0;0;0;0;3;6
2019-08-17 16:30:00;36;52;30;73;68;2;3;0;0;8;3;31
2019-08-17 16:45:00;34;51;54;52;67;1;1;0;0;9;0;0
2019-08-17 17:00:00;28;60;40;52;69;0;2;0;2;3;4;2
2019-08-17 17:15:00;28;53;47;71;77;0;1;0;0;3;10;6
2019-08-17 17:30:00;34;53;43;54;62;1;4;0;0;12;5;0
2019-08-17 17:45:00;31;43;47;60;70;4;0;0;0;9;7;0
2019-08-17 18:00:00;33;37;47;50;72;8;6;0;0;50;4;2
2019-08-17 18:15:00;33;59;48;63;76;7;6;0;0;6;4;13
2019-08-17 18:30:00;30;52;57;55;68;1;2;0;0;7;6;0
2019-08-17 18:45:00;33;46;38;42;65;6;5;0;0;108;11;90
2019-08-17 19:00:00;33;36;41;48;54;0;4;0;0;39;4;1
2019-08-17 19:15:00;36;44;32;45;58;3;0;0;0;0;0;0
2019-08-17 19:30:00;22;36;22;47;56;3;2;0;0;4;1;0
2019-08-17 19:45:00;33;34;27;46;64;2;12;0;0;27;0;0
2019-08-17 20:00:00;18;39;32;54;62;7;3;0;0;10;6;9
2019-08-17 20:15:00;25;38;30;37;43;1;7;0;0;21;10;3
2019-08-17 20:30:00;25;36;24;34;46;1;1;0;0;16;3;0
2019-08-17 20:45:00;15;23;23;39;45;2;5;0;0;8;1;1
2019-08-17 21:00:00;20;25;17;31;34;0;2;0;0;1;1;2
2019-08-17 21:15:00;15;18;17;37;31;0;0;0;0;0;1;1
2019-08-17 21:30:00;15;28;21;21;17;1;4;0;0;22;1;0
2019-08-17 21:45:00;14;27;22;22;18;2;1;0;0;2;0;0
2019-08-17 22:00:00;18;20;24;22;16;0;2;0;0;4;0;0
2019-08-17 22:15:00;18;31;29;21;18;0;0;0;0;0;0;0
2019-08-17 22:30:00;9;23;17;20;18;0;0;0;0;0;1;0
2019-08-17 22:45:00;14;23;21;27;18;0;0;0;0;0;0;0
2019-08-17 23:00:00;11;16;16;14;18;1;0;0;0;0;2;5
2019-08-17 23:15:00;17;18;20;14;16;0;0;0;0;0;0;0
2019-08-17 23:30:00;13;13;10;15;12;0;0;0;0;0;0;0
2019-08-17 23:45:00;15;19;15;16;20;0;0;0;0;0;0;0
