DATUM;1(DA1);2(DB1);3(DB2);4(DC1);5(DC2);9(TAFGB1);10(TAFGB2);11(TARDD);12(TAFBA);13(TAFBB);14(TAFGE);15(TAFBE)
2020-04-17 00:00:00;0;3;4;2;0;0;0;0;0;0;0;0
2020-04-17 00:15:00;1;2;5;5;5;0;0;0;0;0;0;0
2020-04-17 00:30:00;3;2;3;5;2;0;0;0;0;0;0;0
2020-04-17 00:45:00;0;3;1;1;2;0;0;0;0;0;0;0
2020-04-17 01:00:00;0;2;6;3;1;0;0;0;0;0;0;0
2020-04-17 01:15:00;0;3;3;6;3;0;0;0;0;0;0;0
2020-04-17 01:30:00;0;0;3;0;1;0;0;0;0;0;0;0
2020-04-17 01:45:00;1;0;3;3;1;0;0;0;0;0;0;0
2020-04-17 02:00:00;1;1;1;3;4;0;0;0;0;0;0;0
2020-04-17 02:15:00;0;1;3;3;1;0;0;0;0;0;0;0
2020-04-17 02:30:00;0;1;0;3;0;0;0;0;0;0;0;0
2020-04-17 02:45:00;0;3;0;1;1;0;0;0;0;0;0;0
2020-04-17 03:00:00;0;3;2;1;1;0;0;0;0;0;0;0
2020-04-17 03:15:00;0;1;1;3;0;0;0;0;0;0;0;0
2020-04-17 03:30:00;0;2;1;2;2;0;0;0;0;0;0;0
2020-04-17 03:45:00;0;3;4;2;1;0;0;0;0;0;0;0
2020-04-17 04:00:00;0;1;1;1;0;0;0;0;0;0;0;0
2020-04-17 04:15:00;0;1;2;2;0;0;0;0;0;0;0;0
2020-04-17 04:30:00;0;8;7;3;4;0;0;0;0;0;0;0
2020-04-17 04:45:00;1;3;4;14;0;0;0;0;0;0;0;0
2020-04-17 05:00:00;0;14;9;12;4;0;0;0;0;0;0;0
2020-04-17 05:15:00;1;20;16;14;7;0;0;0;0;0;0;0
2020-04-17 05:30:00;7;24;14;23;13;0;0;0;0;0;0;0
2020-04-17 05:45:00;1;26;17;39;19;0;0;0;0;0;0;0
2020-04-17 06:00:00;2;26;16;27;17;0;0;0;0;0;0;0
2020-04-17 06:15:00;7;29;25;43;37;0;0;0;0;0;0;0
2020-04-17 06:30:00;6;38;21;46;40;2;0;0;0;1;0;0
2020-04-17 06:45:00;6;47;36;67;62;0;0;0;0;0;1;0
2020-04-17 07:00:00;1;47;19;54;38;0;0;0;0;2;0;0
2020-04-17 07:15:00;3;40;27;56;42;0;1;0;0;0;2;0
2020-04-17 07:30:00;4;37;24;43;76;1;2;0;0;1;0;0
2020-04-17 07:45:00;10;35;33;59;50;0;2;0;0;4;0;0
