DATUM;1(DA1);2(DB1);3(DB2);4(DC1);5(DC2);9(TAFGB1);10(TAFGB2);11(TARDD);12(TAFBA);13(TAFBB);14(TAFGE);15(TAFBE)
2020-02-28 00:00:00;2;5;4;7;5;0;0;0;0;0;0;0
2020-02-28 00:15:00;4;6;4;6;5;0;0;0;0;0;0;0
2020-02-28 00:30:00;2;2;7;8;5;0;0;0;0;0;0;0
2020-02-28 00:45:00;2;3;3;8;7;0;0;0;0;0;0;0
2020-02-28 01:00:00;1;2;5;1;3;0;0;0;0;0;0;0
2020-02-28 01:15:00;0;2;1;4;4;0;0;0;0;0;0;0
2020-02-28 01:30:00;1;2;6;6;4;0;0;0;0;0;0;0
2020-02-28 01:45:00;1;3;6;8;2;0;0;0;0;0;0;0
2020-02-28 02:00:00;0;2;2;2;0;0;0;0;0;0;0;0
2020-02-28 02:15:00;1;1;1;2;1;0;0;0;0;0;0;0
2020-02-28 02:30:00;4;2;0;2;2;0;0;0;0;0;0;0
2020-02-28 02:45:00;2;7;8;2;2;0;0;0;0;0;0;0
2020-02-28 03:00:00;3;4;3;0;0;0;0;0;0;0;0;0
2020-02-28 03:15:00;0;1;2;3;1;0;0;0;0;0;0;0
2020-02-28 03:30:00;0;3;5;2;2;0;0;0;0;0;0;0
2020-02-28 03:45:00;3;5;6;3;2;0;0;0;0;0;0;0
2020-02-28 04:00:00;2;7;5;8;6;0;0;0;0;0;0;0
2020-02-28 04:15:00;2;5;6;3;0;0;0;0;0;0;0;0
2020-02-28 04:30:00;2;6;12;13;3;0;0;0;0;0;0;0
2020-02-28 04:45:00;6;12;7;12;16;0;0;0;0;0;0;0
2020-02-28 05:00:00;8;13;25;17;14;0;0;0;0;0;0;0
2020-02-28 05:15:00;6;28;30;22;20;0;0;0;0;0;0;0
2020-02-28 05:30:00;16;33;26;44;34;0;2;0;0;3;0;0
2020-02-28 05:45:00;9;29;24;47;45;0;0;0;0;0;0;0
2020-02-28 06:00:00;12;26;38;46;40;0;0;0;0;0;0;0
2020-02-28 06:15:00;16;36;35;70;68;0;0;0;0;0;0;0
2020-02-28 06:30:00;17;44;44;83;96;2;0;0;0;3;1;1
2020-02-28 06:45:00;10;45;47;80;129;4;0;0;0;22;2;2
2020-02-28 07:00:00;15;52;44;78;96;1;0;0;0;8;5;12
2020-02-28 07:15:00;18;56;43;80;92;1;0;0;0;3;5;6
2020-02-28 07:30:00;23;67;51;88;99;4;0;0;0;14;2;2
2020-02-28 07:45:00;18;67;51;88;89;4;1;0;0;11;2;21
2020-02-28 08:00:00;16;55;36;67;66;1;2;0;0;0;3;3
2020-02-28 08:15:00;22;58;51;75;79;4;3;0;0;7;4;4
2020-02-28 08:30:00;29;44;34;77;70;1;6;0;0;24;4;2
2020-02-28 08:45:00;18;65;57;72;70;11;4;0;0;34;2;3
2020-02-28 09:00:00;21;48;63;59;53;3;1;0;0;0;1;1
2020-02-28 09:15:00;18;51;51;49;64;1;7;0;0;1;2;1
2020-02-28 09:30:00;22;62;40;54;77;7;2;0;0;5;4;12
2020-02-28 09:45:00;16;58;60;71;60;3;4;0;0;32;1;1
2020-02-28 10:00:00;23;65;54;63;49;7;0;0;0;4;4;1
