DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(TAC);6(DEG12);7(DEG13);8(DEG14);9(DEG15)
2020-08-22 00:00:00;17;2;0;13;0;10;1;0;0
2020-08-22 00:15:00;21;2;0;25;0;14;0;0;0
2020-08-22 00:30:00;14;4;0;17;0;12;1;0;0
2020-08-22 00:45:00;11;1;2;9;0;11;1;0;0
2020-08-22 01:00:00;19;2;0;10;0;12;1;0;0
2020-08-22 01:15:00;14;3;0;6;0;14;1;0;0
2020-08-22 01:30:00;10;4;0;13;0;12;0;0;0
2020-08-22 01:45:00;16;0;1;7;0;14;1;0;0
2020-08-22 02:00:00;9;2;1;10;0;12;1;0;0
2020-08-22 02:15:00;3;1;0;7;0;14;1;0;0
2020-08-22 02:30:00;7;1;0;5;0;12;1;0;0
2020-08-22 02:45:00;6;1;1;3;0;13;0;0;0
2020-08-22 03:00:00;4;0;0;0;0;12;1;0;0
2020-08-22 03:15:00;6;2;1;2;0;14;1;0;0
2020-08-22 03:30:00;3;2;0;3;0;12;1;0;0
2020-08-22 03:45:00;5;1;0;4;0;14;1;0;0
2020-08-22 04:00:00;5;0;0;4;0;12;0;0;0
2020-08-22 04:15:00;8;0;0;3;0;13;1;0;0
2020-08-22 04:30:00;3;2;0;6;0;12;1;0;0
2020-08-22 04:45:00;7;3;0;7;0;12;1;0;0
2020-08-22 05:00:00;10;1;2;10;0;10;0;0;0
2020-08-22 05:15:00;5;2;0;13;0;10;1;0;0
2020-08-22 05:30:00;9;1;0;18;0;10;1;0;0
2020-08-22 05:45:00;11;2;0;19;0;13;1;0;0
2020-08-22 06:00:00;14;3;0;14;0;12;0;0;0
2020-08-22 06:15:00;15;5;0;18;0;13;1;0;0
2020-08-22 06:30:00;22;4;1;14;0;12;1;0;0
2020-08-22 06:45:00;20;4;1;16;0;14;1;0;0
2020-08-22 07:00:00;20;3;1;24;0;13;1;0;0
2020-08-22 07:15:00;13;6;3;29;0;13;0;0;0
2020-08-22 07:30:00;25;1;3;14;0;13;1;0;0
2020-08-22 07:45:00;26;3;4;24;0;13;1;0;0
2020-08-22 08:00:00;24;0;3;36;0;12;1;0;0
2020-08-22 08:15:00;34;10;4;55;0;13;0;0;0
2020-08-22 08:30:00;41;9;9;58;0;9;1;0;0
2020-08-22 08:45:00;46;8;7;59;0;10;0;0;0
2020-08-22 09:00:00;48;13;4;74;3;10;1;0;0
2020-08-22 09:15:00;54;6;4;76;0;10;1;0;0
2020-08-22 09:30:00;63;10;7;73;1;10;0;0;0
2020-08-22 09:45:00;56;12;14;90;0;10;1;0;0
2020-08-22 10:00:00;74;8;13;85;0;10;1;0;0
2020-08-22 10:15:00;75;9;10;91;0;10;0;0;0
2020-08-22 10:30:00;83;10;16;88;0;10;1;0;0
2020-08-22 10:45:00;76;5;12;99;1;10;0;0;0
2020-08-22 11:00:00;89;13;19;84;0;10;1;0;0
2020-08-22 11:15:00;75;12;11;87;0;10;1;0;0
2020-08-22 11:30:00;71;11;14;103;0;10;0;0;0
2020-08-22 11:45:00;87;11;11;76;0;10;1;0;0
2020-08-22 12:00:00;90;8;20;93;0;10;1;0;0
2020-08-22 12:15:00;102;14;17;99;0;10;0;0;0
2020-08-22 12:30:00;62;13;17;89;0;10;1;0;0
2020-08-22 12:45:00;92;6;8;91;2;10;0;0;0
2020-08-22 13:00:00;98;18;17;84;0;10;1;0;0
2020-08-22 13:15:00;89;16;16;86;0;10;1;0;0
