DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(TAC);6(DEG12);7(DEG13);8(DEG14);9(DEG15)
2020-06-23 00:00:00;1;2;0;7;0;10;0;0;0
2020-06-23 00:15:00;5;0;0;3;0;14;1;0;0
2020-06-23 00:30:00;4;2;0;6;0;12;1;0;0
2020-06-23 00:45:00;2;3;0;3;0;13;1;0;0
2020-06-23 01:00:00;4;3;0;3;0;12;0;0;0
2020-06-23 01:15:00;4;0;0;2;0;14;1;0;0
2020-06-23 01:30:00;1;0;0;1;0;12;1;0;0
2020-06-23 01:45:00;5;1;0;2;0;14;1;0;0
2020-06-23 02:00:00;3;0;0;2;0;12;1;0;0
2020-06-23 02:15:00;5;2;0;0;0;14;0;0;0
2020-06-23 02:30:00;1;0;0;0;0;12;1;0;0
2020-06-23 02:45:00;2;1;0;2;0;13;1;0;0
2020-06-23 03:00:00;3;0;0;0;0;12;1;0;0
2020-06-23 03:15:00;2;1;0;2;0;14;1;0;0
2020-06-23 03:30:00;4;3;0;2;0;12;0;0;0
2020-06-23 03:45:00;4;0;0;1;0;14;1;0;0
2020-06-23 04:00:00;6;3;0;3;0;12;1;0;0
2020-06-23 04:15:00;0;2;0;11;0;13;1;0;0
2020-06-23 04:30:00;9;0;0;9;0;12;1;0;0
2020-06-23 04:45:00;33;2;1;10;0;14;0;0;0
2020-06-23 05:00:00;64;3;0;17;0;9;1;0;0
2020-06-23 05:15:00;127;24;2;74;0;10;1;0;0
2020-06-23 05:30:00;119;16;1;89;0;10;0;0;0
2020-06-23 05:45:00;135;33;1;171;0;10;1;0;0
2020-06-23 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-23 06:15:00;121;21;6;135;0;10;0;0;0
2020-06-23 06:30:00;106;19;6;120;0;10;1;0;0
2020-06-23 06:45:00;88;28;6;127;0;10;0;0;0
2020-06-23 07:00:00;97;18;4;154;0;11;1;0;0
2020-06-23 07:15:00;89;18;8;153;32;9;1;0;0
2020-06-23 07:30:00;96;24;9;200;4;10;0;0;0
2020-06-23 07:45:00;105;15;7;162;1;10;1;0;0
2020-06-23 08:00:00;112;22;4;154;0;10;1;0;0
2020-06-23 08:15:00;112;19;8;125;0;10;0;0;0
2020-06-23 08:30:00;115;18;5;116;4;10;1;0;0
2020-06-23 08:45:00;107;16;7;100;0;10;0;0;0
2020-06-23 09:00:00;75;18;20;111;2;13;1;0;0
2020-06-23 09:15:00;83;21;16;108;3;13;1;0;0
2020-06-23 09:30:00;74;12;15;107;0;12;0;0;0
2020-06-23 09:45:00;91;16;19;123;6;13;1;0;0
2020-06-23 10:00:00;99;18;25;99;13;13;1;0;0
2020-06-23 10:15:00;87;15;19;89;0;13;0;0;0
2020-06-23 10:30:00;84;21;19;97;0;13;1;0;0
2020-06-23 10:45:00;115;20;16;85;4;13;1;0;0
2020-06-23 11:00:00;105;7;15;95;3;13;0;0;0
2020-06-23 11:15:00;95;12;17;98;5;12;1;0;0
2020-06-23 11:30:00;103;13;18;103;3;13;1;0;0
2020-06-23 11:45:00;107;18;28;118;0;13;0;0;0
2020-06-23 12:00:00;117;12;16;95;8;13;1;0;0
2020-06-23 12:15:00;128;17;22;106;9;13;1;0;0
2020-06-23 12:30:00;121;16;12;97;0;13;0;0;0
2020-06-23 12:45:00;108;13;18;117;0;13;1;0;0
2020-06-23 13:00:00;110;10;20;84;2;12;1;0;0
2020-06-23 13:15:00;134;21;13;105;4;9;0;0;0
2020-06-23 13:30:00;137;24;16;127;0;10;1;0;0
2020-06-23 13:45:00;159;29;14;160;1;10;1;0;0
2020-06-23 14:00:00;135;18;10;150;0;10;0;0;0
2020-06-23 14:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-23 14:30:00;120;20;15;177;151;10;0;0;0
2020-06-23 14:45:00;125;24;11;151;3;10;1;0;0
2020-06-23 15:00:00;126;17;15;138;0;10;1;0;0
2020-06-23 15:15:00;121;29;17;172;5;10;0;0;0
2020-06-23 15:30:00;129;22;20;140;4;10;1;0;0
2020-06-23 15:45:00;131;15;15;127;0;10;1;0;0
2020-06-23 16:00:00;117;17;17;136;1;10;0;0;0
2020-06-23 16:15:00;135;30;25;162;0;10;1;0;0
2020-06-23 16:30:00;157;23;28;156;0;10;0;0;0
2020-06-23 16:45:00;138;27;18;160;2;10;1;0;0
2020-06-23 17:00:00;137;27;34;150;6;10;1;0;0
2020-06-23 17:15:00;149;17;24;130;3;10;0;0;0
2020-06-23 17:30:00;143;20;10;135;12;10;1;0;0
2020-06-23 17:45:00;129;12;17;140;0;10;1;0;0
2020-06-23 18:00:00;114;17;14;124;0;10;0;0;0
2020-06-23 18:15:00;125;18;7;119;11;10;1;0;0
2020-06-23 18:30:00;105;17;6;82;3;10;0;0;0
2020-06-23 18:45:00;92;19;5;78;0;10;1;0;0
2020-06-23 19:00:00;79;10;15;88;0;10;1;0;0
2020-06-23 19:15:00;90;9;4;58;0;10;0;0;0
2020-06-23 19:30:00;76;7;0;77;0;10;1;0;0
2020-06-23 19:45:00;90;15;2;60;0;10;1;0;0
2020-06-23 20:00:00;64;6;2;61;0;12;0;0;0
2020-06-23 20:15:00;66;10;1;42;0;13;1;0;0
2020-06-23 20:30:00;45;4;3;50;0;12;1;0;0
2020-06-23 20:45:00;65;11;1;61;0;14;1;0;0
2020-06-23 21:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-23 21:15:00;122;15;3;63;0;13;1;0;0
2020-06-23 21:30:00;64;15;3;95;0;12;1;0;0
2020-06-23 21:45:00;53;11;2;107;0;14;1;0;0
2020-06-23 22:00:00;51;5;4;74;0;9;0;0;0
2020-06-23 22:15:00;43;6;3;29;0;11;1;0;0
2020-06-23 22:30:00;31;8;0;29;0;9;1;0;0
2020-06-23 22:45:00;25;5;0;29;0;13;0;0;0
2020-06-23 23:00:00;22;7;1;17;0;12;1;0;0
2020-06-23 23:15:00;28;3;1;13;0;13;1;0;0
2020-06-23 23:30:00;14;4;0;15;0;12;1;0;0
