DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DD1);8(TAFBAC2);9(TAFBA2C);10(TAFBBD2);11(TAFBB2D)
2020-04-21 00:00:00;4;1;1;2;0;0;2;0;0;0;0
2020-04-21 00:15:00;5;4;0;1;0;6;2;0;0;0;0
2020-04-21 00:30:00;2;0;0;1;0;5;0;0;0;0;0
2020-04-21 00:45:00;2;4;0;2;0;4;0;0;0;0;0
2020-04-21 01:00:00;2;0;0;1;0;2;1;0;0;0;0
2020-04-21 01:15:00;1;0;0;0;0;1;0;0;0;0;0
2020-04-21 01:30:00;4;1;0;1;0;4;0;0;0;0;0
2020-04-21 01:45:00;5;0;0;1;0;0;0;0;0;0;0
2020-04-21 02:00:00;4;0;0;0;0;1;0;0;0;0;0
2020-04-21 02:15:00;2;0;1;1;0;1;0;0;0;0;0
2020-04-21 02:30:00;7;4;1;1;0;3;1;0;0;0;0
2020-04-21 02:45:00;2;2;1;0;0;2;0;0;0;0;0
2020-04-21 03:00:00;4;4;0;0;0;2;0;0;0;0;0
2020-04-21 03:15:00;4;3;1;2;0;0;0;0;0;0;0
2020-04-21 03:30:00;4;0;0;1;0;3;0;0;0;0;0
2020-04-21 03:45:00;4;3;0;0;0;5;1;0;0;0;0
2020-04-21 04:00:00;4;2;0;1;0;2;1;0;0;0;0
2020-04-21 04:15:00;5;3;0;2;0;7;1;0;0;0;0
2020-04-21 04:30:00;12;3;0;3;0;4;0;0;0;0;0
2020-04-21 04:45:00;12;6;1;3;0;3;6;0;0;0;0
2020-04-21 05:00:00;22;8;1;1;0;10;6;0;0;0;0
2020-04-21 05:15:00;28;14;1;8;0;25;5;18;0;0;0
2020-04-21 05:30:00;33;27;1;18;0;77;5;0;0;0;0
2020-04-21 05:45:00;40;28;2;30;0;64;2;0;0;0;0
2020-04-21 06:00:00;62;40;6;16;0;53;11;0;0;0;0
2020-04-21 06:15:00;51;50;5;12;0;76;9;0;0;0;0
2020-04-21 06:30:00;61;49;4;23;0;81;19;0;0;0;0
2020-04-21 06:45:00;61;49;5;26;0;108;6;0;0;0;0
2020-04-21 07:00:00;45;40;3;26;0;70;14;0;0;0;0
2020-04-21 07:15:00;53;40;6;18;0;103;14;0;0;0;0
2020-04-21 07:30:00;58;41;8;21;0;87;11;0;0;0;0
2020-04-21 07:45:00;57;58;12;32;0;91;15;0;0;0;0
2020-04-21 08:00:00;63;46;9;24;0;79;11;0;0;0;0
2020-04-21 08:15:00;50;52;5;32;0;53;16;0;0;0;0
2020-04-21 08:30:00;60;46;14;21;0;65;14;0;0;0;0
2020-04-21 08:45:00;52;65;8;33;0;66;15;3;0;0;0
2020-04-21 09:00:00;59;44;9;30;0;63;14;0;0;0;0
2020-04-21 09:15:00;60;57;6;28;0;75;15;0;0;0;0
2020-04-21 09:30:00;69;44;9;37;0;51;22;0;0;0;0
2020-04-21 09:45:00;68;58;14;38;0;76;19;0;0;0;0
2020-04-21 10:00:00;69;44;9;41;0;52;18;0;0;0;0
2020-04-21 10:15:00;65;54;19;37;0;59;15;0;0;1;0
2020-04-21 10:30:00;68;41;17;35;0;62;36;0;0;0;0
2020-04-21 10:45:00;69;65;11;39;0;58;24;0;0;0;0
2020-04-21 11:00:00;71;56;20;40;0;56;14;0;0;0;0
2020-04-21 11:15:00;76;57;17;32;0;42;21;0;0;0;0
2020-04-21 11:30:00;76;51;21;34;0;59;32;0;0;2;0
2020-04-21 11:45:00;76;62;15;35;0;43;21;0;0;0;0
2020-04-21 12:00:00;86;75;20;42;0;54;18;0;0;0;0
2020-04-21 12:15:00;64;64;17;41;0;60;27;0;0;0;0
2020-04-21 12:30:00;78;47;14;50;0;64;21;0;0;0;0
2020-04-21 12:45:00;73;67;19;46;0;49;21;1;0;0;0
2020-04-21 13:00:00;67;60;13;34;0;47;21;0;0;0;0
2020-04-21 13:15:00;74;52;15;29;0;56;13;0;0;0;0
2020-04-21 13:30:00;85;69;12;43;0;55;18;0;0;0;0
2020-04-21 13:45:00;68;66;18;32;0;75;17;0;0;0;0
2020-04-21 14:00:00;84;91;11;35;0;69;19;13;0;0;0
2020-04-21 14:15:00;106;104;16;62;0;64;25;0;0;0;0
2020-04-21 14:30:00;118;113;21;25;0;58;26;0;0;0;0
2020-04-21 14:45:00;104;77;17;48;0;69;22;0;0;0;0
2020-04-21 15:00:00;101;94;14;30;0;61;17;1;0;0;0
2020-04-21 15:15:00;93;87;26;50;0;56;18;0;0;0;0
2020-04-21 15:30:00;106;92;19;38;0;66;19;4;0;0;0
2020-04-21 15:45:00;106;107;14;31;0;64;23;8;0;0;0
2020-04-21 16:00:00;124;129;18;29;0;67;25;0;1;0;0
2020-04-21 16:15:00;104;115;28;34;0;77;20;4;0;0;0
2020-04-21 16:30:00;95;93;16;49;0;78;27;0;0;0;0
2020-04-21 16:45:00;110;94;16;35;0;63;14;0;0;1;0
2020-04-21 17:00:00;108;112;32;45;0;71;27;0;0;0;0
2020-04-21 17:15:00;94;104;14;42;0;77;24;2;0;0;0
2020-04-21 17:30:00;89;88;14;30;0;58;23;0;0;0;0
2020-04-21 17:45:00;89;86;14;41;0;51;24;3;0;0;0
2020-04-21 18:00:00;73;69;15;48;0;53;14;3;0;0;0
2020-04-21 18:15:00;67;54;19;27;0;48;21;0;1;4;0
2020-04-21 18:30:00;54;49;20;39;0;48;18;0;0;0;0
2020-04-21 18:45:00;59;68;16;18;0;39;18;0;0;0;0
2020-04-21 19:00:00;45;38;16;31;0;44;16;4;0;0;0
2020-04-21 19:15:00;51;37;17;33;0;30;18;2;0;0;0
2020-04-21 19:30:00;47;39;8;22;0;24;10;3;0;0;0
2020-04-21 19:45:00;37;24;9;25;0;27;14;3;0;0;0
