DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2019-11-11 00:00:00;5;12;3;1;0;10;6;2;1;2;0
2019-11-11 00:15:00;6;6;1;0;1;11;8;1;2;3;0
2019-11-11 00:30:00;4;0;0;3;1;6;5;0;0;3;1
2019-11-11 00:45:00;6;3;1;1;2;5;1;0;0;2;0
2019-11-11 01:00:00;4;2;1;2;2;3;2;1;1;2;1
2019-11-11 01:15:00;7;5;0;3;0;10;4;0;0;0;0
2019-11-11 01:30:00;5;0;0;1;0;2;1;1;1;2;1
2019-11-11 01:45:00;8;3;2;2;1;3;3;0;0;0;0
2019-11-11 02:00:00;3;0;0;1;2;7;2;0;1;0;0
2019-11-11 02:15:00;10;7;0;0;0;4;4;0;0;2;2
2019-11-11 02:30:00;7;7;0;1;1;3;3;0;2;1;0
2019-11-11 02:45:00;4;3;0;0;0;4;7;0;0;1;1
2019-11-11 03:00:00;7;5;0;2;1;6;5;1;0;4;1
2019-11-11 03:15:00;11;8;2;2;1;15;10;3;0;1;0
2019-11-11 03:30:00;9;9;3;4;2;21;10;0;0;3;3
2019-11-11 03:45:00;5;2;0;2;0;15;8;0;1;4;2
2019-11-11 04:00:00;4;1;1;1;1;10;6;1;3;3;1
2019-11-11 04:15:00;10;9;2;6;5;16;6;0;4;4;1
2019-11-11 04:30:00;21;14;4;8;4;29;7;0;2;1;1
2019-11-11 04:45:00;21;17;2;10;5;45;23;5;3;6;5
2019-11-11 05:00:00;31;28;8;10;9;96;73;4;6;6;0
2019-11-11 05:15:00;39;33;11;16;10;125;145;9;7;16;8
2019-11-11 05:30:00;36;45;13;24;18;120;153;7;9;21;12
2019-11-11 05:45:00;53;53;14;44;15;123;153;7;12;24;10
2019-11-11 06:00:00;66;70;14;38;27;117;152;9;11;28;8
2019-11-11 06:15:00;58;86;23;56;33;141;165;9;13;30;7
2019-11-11 06:30:00;64;72;24;51;25;119;156;15;29;45;9
2019-11-11 06:45:00;79;97;24;65;21;129;165;18;18;45;7
2019-11-11 07:00:00;78;89;18;71;22;133;162;26;14;34;11
2019-11-11 07:15:00;74;83;21;93;23;118;133;30;20;39;11
2019-11-11 07:30:00;70;78;13;80;17;57;101;60;26;45;13
2019-11-11 07:45:00;78;97;22;99;35;89;132;34;45;53;7
2019-11-11 08:00:00;66;81;20;79;31;75;112;37;27;57;20
2019-11-11 08:15:00;75;88;13;64;25;95;126;42;34;54;23
2019-11-11 08:30:00;78;85;10;118;31;85;113;25;26;45;18
2019-11-11 08:45:00;89;105;19;74;25;92;106;28;28;41;21
2019-11-11 09:00:00;77;85;24;61;20;93;115;25;30;47;20
2019-11-11 09:15:00;57;69;22;51;19;73;99;23;31;48;23
2019-11-11 09:30:00;74;85;19;58;22;80;90;29;21;51;27
2019-11-11 09:45:00;74;83;21;63;14;84;101;21;29;59;23
2019-11-11 10:00:00;76;100;23;51;22;81;91;23;28;51;23
2019-11-11 10:15:00;81;92;33;68;27;80;86;22;35;44;17
2019-11-11 10:30:00;91;104;23;57;16;79;80;27;29;49;21
2019-11-11 10:45:00;78;100;26;49;13;85;115;23;44;54;23
2019-11-11 11:00:00;70;83;22;46;23;71;86;20;30;57;20
2019-11-11 11:15:00;86;99;31;55;14;67;72;26;34;60;20
2019-11-11 11:30:00;76;95;26;50;18;65;102;26;35;60;21
2019-11-11 11:45:00;77;104;31;41;11;77;80;21;40;64;34
2019-11-11 12:00:00;91;115;32;43;12;73;87;28;30;61;15
2019-11-11 12:15:00;91;110;23;36;15;67;77;31;34;56;21
2019-11-11 12:30:00;97;104;32;42;18;80;95;21;41;54;26
2019-11-11 12:45:00;81;115;27;45;13;86;97;27;31;67;27
2019-11-11 13:00:00;105;128;33;67;16;92;119;24;33;61;15
2019-11-11 13:15:00;93;98;25;55;9;134;148;28;44;73;23
2019-11-11 13:30:00;105;129;22;51;17;121;137;22;31;53;21
2019-11-11 13:45:00;111;151;21;40;18;75;124;41;30;42;19
2019-11-11 14:00:00;108;119;36;40;25;82;102;26;37;49;17
2019-11-11 14:15:00;148;154;35;66;27;81;77;25;29;70;27
2019-11-11 14:30:00;161;203;29;62;22;73;79;26;27;55;16
2019-11-11 14:45:00;154;188;40;85;28;72;85;26;32;69;26
2019-11-11 15:00:00;170;199;30;57;29;78;80;26;46;74;23
2019-11-11 15:15:00;153;190;37;65;25;85;83;23;48;66;25
2019-11-11 15:30:00;154;202;39;65;24;89;91;28;38;62;16
