DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2020-02-20 00:00:00;6;1;2;2;0;13;6;1;1;0;0
2020-02-20 00:15:00;7;11;2;1;0;9;5;1;1;1;1
2020-02-20 00:30:00;9;6;2;3;4;4;6;0;0;2;2
2020-02-20 00:45:00;7;5;1;2;1;12;6;2;1;3;1
2020-02-20 01:00:00;7;2;0;1;3;8;8;1;1;1;0
2020-02-20 01:15:00;10;7;1;0;0;6;5;1;0;1;0
2020-02-20 01:30:00;5;6;2;3;1;2;4;1;0;1;0
2020-02-20 01:45:00;8;7;2;1;0;7;4;2;0;2;2
2020-02-20 02:00:00;6;5;1;1;0;1;1;0;1;3;1
2020-02-20 02:15:00;4;4;0;1;0;10;7;1;1;2;1
2020-02-20 02:30:00;5;3;0;1;1;4;1;1;0;1;0
2020-02-20 02:45:00;4;3;2;2;0;9;4;1;1;0;0
2020-02-20 03:00:00;3;3;0;1;0;8;4;0;1;3;2
2020-02-20 03:15:00;8;9;3;0;1;11;6;1;0;2;2
2020-02-20 03:30:00;6;6;1;1;1;6;3;1;0;1;1
2020-02-20 03:45:00;8;9;0;4;0;7;1;0;0;1;0
2020-02-20 04:00:00;9;8;2;1;1;8;3;0;1;1;1
2020-02-20 04:15:00;12;11;3;4;3;15;7;1;1;0;0
2020-02-20 04:30:00;17;12;3;2;1;18;5;1;2;3;1
2020-02-20 04:45:00;20;11;1;10;3;34;18;3;1;7;2
2020-02-20 05:00:00;24;25;2;12;4;90;75;3;1;4;3
2020-02-20 05:15:00;33;37;13;38;8;122;114;2;5;18;10
2020-02-20 05:30:00;53;61;23;25;19;132;127;4;4;22;11
2020-02-20 05:45:00;99;104;28;46;12;116;120;6;19;31;14
2020-02-20 06:00:00;115;110;24;42;27;124;134;5;10;18;6
2020-02-20 06:15:00;77;90;20;34;13;130;157;8;18;38;12
2020-02-20 06:30:00;74;81;21;59;24;148;161;19;22;37;10
2020-02-20 06:45:00;76;80;21;54;15;129;152;20;29;47;14
2020-02-20 07:00:00;54;75;15;75;27;128;148;21;16;37;9
2020-02-20 07:15:00;84;87;22;98;21;130;166;36;27;42;15
2020-02-20 07:30:00;83;80;23;94;30;115;145;32;20;54;13
2020-02-20 07:45:00;92;87;24;101;22;127;140;40;37;48;11
2020-02-20 08:00:00;70;88;18;76;28;112;143;22;43;43;17
2020-02-20 08:15:00;70;74;14;61;17;114;144;25;28;59;25
2020-02-20 08:30:00;80;71;17;78;25;108;135;22;21;39;20
2020-02-20 08:45:00;77;73;26;52;15;108;118;19;29;41;22
2020-02-20 09:00:00;69;75;18;48;19;82;101;21;26;46;16
2020-02-20 09:15:00;73;77;16;44;23;70;107;20;25;37;20
2020-02-20 09:30:00;71;77;21;54;18;87;108;26;24;49;24
2020-02-20 09:45:00;74;91;24;57;22;60;84;32;30;46;17
2020-02-20 10:00:00;79;73;13;55;18;77;84;11;29;51;28
2020-02-20 10:15:00;73;71;19;58;15;53;83;30;30;52;27
2020-02-20 10:30:00;87;86;32;57;24;66;82;18;38;64;35
2020-02-20 10:45:00;69;78;28;51;11;73;93;23;24;54;22
2020-02-20 11:00:00;83;87;23;51;21;68;66;30;24;49;18
2020-02-20 11:15:00;79;99;25;49;14;70;68;25;35;51;25
2020-02-20 11:30:00;88;104;24;34;14;74;67;23;22;64;33
2020-02-20 11:45:00;79;99;32;33;12;74;74;21;37;57;26
2020-02-20 12:00:00;92;115;29;46;20;55;66;32;29;66;23
2020-02-20 12:15:00;99;123;32;58;7;70;59;32;39;57;24
2020-02-20 12:30:00;89;89;25;45;17;71;71;17;26;61;24
2020-02-20 12:45:00;95;112;34;43;21;85;76;27;35;60;30
2020-02-20 13:00:00;99;120;31;34;13;88;98;28;26;57;23
2020-02-20 13:15:00;108;124;31;50;39;108;128;18;36;61;20
2020-02-20 13:30:00;85;128;26;52;19;112;126;33;39;54;14
2020-02-20 13:45:00;105;98;37;41;19;103;108;25;32;58;22
2020-02-20 14:00:00;128;141;38;47;21;102;97;20;19;60;17
2020-02-20 14:15:00;164;205;36;56;13;64;83;24;36;55;16
2020-02-20 14:30:00;166;193;35;79;27;70;83;26;31;55;24
2020-02-20 14:45:00;160;203;32;55;17;83;90;21;31;54;18
2020-02-20 15:00:00;155;180;36;62;16;69;62;20;45;66;28
2020-02-20 15:15:00;164;196;37;60;18;81;67;34;43;74;27
2020-02-20 15:30:00;169;190;28;68;23;77;86;31;47;66;19
2020-02-20 15:45:00;168;212;35;73;18;76;81;27;39;73;25
2020-02-20 16:00:00;163;191;32;62;22;76;84;32;39;82;27
2020-02-20 16:15:00;163;184;35;64;19;99;94;32;33;81;27
2020-02-20 16:30:00;170;201;32;70;29;90;83;24;34;67;21
2020-02-20 16:45:00;164;196;34;72;24;83;87;38;39;82;28
2020-02-20 17:00:00;157;181;31;66;25;100;91;43;52;88;28
2020-02-20 17:15:00;175;196;34;70;22;95;98;31;45;81;16
2020-02-20 17:30:00;177;196;28;64;22;84;97;30;39;71;19
2020-02-20 17:45:00;152;173;25;64;20;86;69;26;40;72;31
2020-02-20 18:00:00;124;140;33;56;20;92;82;23;29;71;19
2020-02-20 18:15:00;120;148;27;48;15;85;85;27;35;77;23
2020-02-20 18:30:00;121;130;30;78;18;75;77;16;32;61;19
2020-02-20 18:45:00;82;83;21;56;20;59;56;23;28;60;25
2020-02-20 19:00:00;73;86;25;42;19;61;46;19;31;41;10
2020-02-20 19:15:00;87;80;27;31;5;61;59;15;25;48;20
2020-02-20 19:30:00;66;62;25;31;13;49;38;18;14;35;8
2020-02-20 19:45:00;63;62;18;30;11;48;40;5;15;33;12
2020-02-20 20:00:00;69;64;15;42;10;46;42;15;15;28;8
2020-02-20 20:15:00;43;48;19;25;10;44;44;9;13;29;12
2020-02-20 20:30:00;42;36;14;29;10;31;29;12;16;32;10
2020-02-20 20:45:00;52;39;13;20;3;48;42;6;10;27;5
2020-02-20 21:00:00;40;36;13;20;5;82;84;9;9;36;13
2020-02-20 21:15:00;42;34;5;24;3;82;83;6;14;26;10
2020-02-20 21:30:00;42;58;15;15;2;51;48;9;7;13;7
2020-02-20 21:45:00;84;103;20;22;13;31;22;6;8;10;2
2020-02-20 22:00:00;108;107;10;17;5;32;31;4;6;21;5
2020-02-20 22:15:00;61;53;21;18;3;30;25;10;6;19;2
2020-02-20 22:30:00;37;19;11;11;1;23;18;4;5;9;1
2020-02-20 22:45:00;27;24;7;9;6;17;12;5;2;7;1
2020-02-20 23:00:00;25;15;10;9;6;10;11;3;5;19;6
2020-02-20 23:15:00;13;10;5;11;2;11;13;3;3;8;3
2020-02-20 23:30:00;14;8;4;6;2;17;8;2;3;5;1
2020-02-20 23:45:00;11;6;1;7;5;18;12;3;3;9;1
