DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2019-08-07 00:00:00;8;4;0;1;2;10;4;0;0;0;0;0
2019-08-07 00:15:00;7;5;1;2;3;2;2;0;0;0;0;0
2019-08-07 00:30:00;9;7;1;1;3;6;12;0;0;0;0;0
2019-08-07 00:45:00;5;3;1;1;1;7;7;0;0;0;0;0
2019-08-07 01:00:00;4;3;0;1;1;8;4;0;0;0;0;0
2019-08-07 01:15:00;8;8;0;1;2;5;8;0;0;0;0;0
2019-08-07 01:30:00;2;4;0;1;1;7;4;0;0;0;0;0
2019-08-07 01:45:00;4;3;1;2;3;1;4;0;0;0;0;0
2019-08-07 02:00:00;1;4;0;0;1;2;3;0;0;0;0;0
2019-08-07 02:15:00;3;4;0;0;0;5;2;0;0;0;0;0
2019-08-07 02:30:00;3;2;1;1;1;1;3;0;0;0;0;0
2019-08-07 02:45:00;5;1;0;1;1;5;3;0;0;0;0;0
2019-08-07 03:00:00;5;3;0;0;2;2;1;0;0;0;0;0
2019-08-07 03:15:00;1;0;0;1;0;3;3;0;0;0;0;0
2019-08-07 03:30:00;0;2;0;0;0;3;3;0;0;0;0;0
2019-08-07 03:45:00;3;2;0;2;1;2;2;0;0;0;0;0
2019-08-07 04:00:00;6;3;0;1;1;3;1;0;0;0;0;0
2019-08-07 04:15:00;7;4;1;1;2;5;4;0;0;0;0;0
2019-08-07 04:30:00;10;7;0;0;0;5;4;0;0;0;0;0
2019-08-07 04:45:00;14;8;0;2;1;16;9;0;0;0;0;0
2019-08-07 05:00:00;14;14;1;4;4;13;5;0;0;0;0;0
2019-08-07 05:15:00;47;24;2;6;9;27;22;0;0;0;0;0
2019-08-07 05:30:00;63;34;1;4;7;39;35;0;0;0;0;0
2019-08-07 05:45:00;51;43;2;11;14;65;52;0;0;0;0;8
2019-08-07 06:00:00;53;29;4;8;6;58;54;0;0;0;1;0
2019-08-07 06:15:00;64;26;1;10;12;88;84;0;0;0;4;0
2019-08-07 06:30:00;76;42;4;6;11;100;108;0;0;0;4;0
2019-08-07 06:45:00;82;38;1;6;7;125;130;0;0;0;2;16
2019-08-07 07:00:00;81;47;6;10;17;128;136;0;0;0;2;28
2019-08-07 07:15:00;80;48;6;9;12;114;109;0;0;0;7;2
2019-08-07 07:30:00;87;53;7;16;20;137;119;0;0;0;1;1
2019-08-07 07:45:00;81;47;8;12;22;149;124;0;0;0;9;21
2019-08-07 08:00:00;101;49;11;15;21;121;110;0;0;0;1;0
2019-08-07 08:15:00;98;58;10;10;18;124;107;0;0;0;8;5
2019-08-07 08:30:00;95;47;2;9;16;89;98;0;0;0;2;5
2019-08-07 08:45:00;86;55;8;9;15;102;80;0;0;0;4;18
2019-08-07 09:00:00;67;48;8;7;11;82;70;0;0;0;3;11
2019-08-07 09:15:00;72;48;9;14;16;81;75;0;0;0;0;0
2019-08-07 09:30:00;81;37;4;7;8;66;74;0;0;0;5;30
2019-08-07 09:45:00;96;65;4;12;15;94;73;0;0;0;5;39
2019-08-07 10:00:00;84;51;4;6;9;81;71;0;0;0;7;0
2019-08-07 10:15:00;87;61;13;8;11;69;64;0;0;0;5;12
2019-08-07 10:30:00;95;73;8;6;11;81;64;0;0;0;5;8
2019-08-07 10:45:00;82;61;9;9;10;78;79;0;0;0;4;4
2019-08-07 11:00:00;81;61;7;13;15;83;77;0;0;0;4;3
2019-08-07 11:15:00;87;76;7;6;10;72;67;0;0;0;6;76
2019-08-07 11:30:00;80;73;10;7;14;72;71;0;0;0;1;6
2019-08-07 11:45:00;103;85;8;10;11;76;73;0;0;0;6;33
2019-08-07 12:00:00;88;57;9;9;12;97;73;0;0;0;3;1
2019-08-07 12:15:00;75;62;5;11;15;77;64;0;0;0;2;3
2019-08-07 12:30:00;101;70;13;8;13;77;79;0;0;0;8;45
2019-08-07 12:45:00;81;66;5;12;22;63;70;0;0;0;4;4
2019-08-07 13:00:00;100;69;6;12;17;88;83;0;0;0;8;4
2019-08-07 13:15:00;102;89;7;11;13;100;68;0;0;0;4;1
2019-08-07 13:30:00;
2019-08-07 13:45:00;
2019-08-07 14:00:00;
2019-08-07 14:15:00;
2019-08-07 14:30:00;90;81;4;6;6;76;75;0;0;3;7;0
2019-08-07 14:45:00;111;101;8;7;11;90;78;1;6;10;7;9
2019-08-07 15:00:00;125;88;12;17;20;89;86;1;5;4;1;1
2019-08-07 15:15:00;141;123;11;13;20;113;91;0;7;8;1;5
2019-08-07 15:30:00;130;103;5;10;11;96;94;1;3;5;4;25
2019-08-07 15:45:00;170;121;8;15;17;82;88;1;3;2;4;6
2019-08-07 16:00:00;143;112;9;13;19;88;90;0;8;13;5;6
2019-08-07 16:15:00;163;138;10;23;26;101;102;1;3;4;6;64
2019-08-07 16:30:00;170;132;10;18;24;108;98;1;7;5;6;2
2019-08-07 16:45:00;157;120;12;16;21;98;97;1;5;4;2;16
2019-08-07 17:00:00;182;151;9;17;16;94;90;1;7;10;6;10
2019-08-07 17:15:00;183;143;11;11;16;94;89;2;7;8;5;19
2019-08-07 17:30:00;168;122;11;14;22;122;93;3;7;8;1;0
2019-08-07 17:45:00;152;120;13;12;22;83;80;2;5;10;4;7
2019-08-07 18:00:00;149;111;5;13;22;85;75;3;1;4;3;5
2019-08-07 18:15:00;123;79;5;7;11;80;71;5;9;10;11;17
2019-08-07 18:30:00;92;76;3;10;13;89;84;2;4;6;4;8
2019-08-07 18:45:00;87;61;8;11;13;64;67;3;5;6;9;4
2019-08-07 19:00:00;83;61;6;4;14;76;78;1;1;2;4;17
2019-08-07 19:15:00;70;53;6;12;11;59;57;0;4;8;11;5
2019-08-07 19:30:00;54;48;3;7;11;52;46;1;9;7;3;7
2019-08-07 19:45:00;67;32;6;4;3;55;53;1;5;8;1;1
2019-08-07 20:00:00;45;37;4;2;3;55;45;1;0;1;2;0
2019-08-07 20:15:00;56;36;4;9;10;45;52;1;4;6;2;0
2019-08-07 20:30:00;52;33;4;4;4;47;41;0;6;5;2;0
2019-08-07 20:45:00;42;23;5;4;6;43;41;0;2;2;0;0
2019-08-07 21:00:00;40;31;3;4;5;39;31;0;2;4;0;0
2019-08-07 21:15:00;47;31;7;4;8;45;40;0;3;7;0;0
2019-08-07 21:30:00;35;21;3;3;5;38;23;1;2;5;0;0
2019-08-07 21:45:00;50;24;1;2;0;29;26;0;1;1;0;0
2019-08-07 22:00:00;39;31;5;3;6;28;26;0;2;3;1;1
2019-08-07 22:15:00;40;27;7;0;2;29;28;1;1;5;1;1
2019-08-07 22:30:00;26;26;4;1;4;28;24;0;2;3;0;0
2019-08-07 22:45:00;20;20;4;4;8;19;22;1;2;4;0;0
2019-08-07 23:00:00;21;7;1;0;1;20;10;2;2;3;0;0
2019-08-07 23:15:00;10;9;0;0;1;24;14;0;0;0;0;0
2019-08-07 23:30:00;12;6;2;3;7;14;9;0;1;2;0;0
2019-08-07 23:45:00;9;8;1;2;3;19;8;0;0;3;0;0
