DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2019-12-24 00:00:00;12;5;1;1;3;8;7;4;9;2;0;0
2019-12-24 00:15:00;9;11;1;1;4;18;13;5;11;4;0;0
2019-12-24 00:30:00;13;5;2;1;3;7;7;4;11;5;0;0
2019-12-24 00:45:00;8;4;0;3;4;12;7;5;9;7;0;0
2019-12-24 01:00:00;11;3;3;0;3;7;7;4;7;3;0;0
2019-12-24 01:15:00;11;7;0;2;2;8;7;4;7;6;0;0
2019-12-24 01:30:00;9;10;1;1;2;7;8;5;5;2;0;0
2019-12-24 01:45:00;6;5;2;3;5;6;4;4;4;4;0;0
2019-12-24 02:00:00;3;2;1;3;4;6;5;3;3;2;0;0
2019-12-24 02:15:00;4;7;0;2;1;7;6;5;8;3;0;0
2019-12-24 02:30:00;8;6;0;0;0;5;4;3;2;2;0;0
2019-12-24 02:45:00;10;5;3;2;1;5;3;3;5;7;0;0
2019-12-24 03:00:00;3;2;0;1;2;3;5;2;4;4;0;0
2019-12-24 03:15:00;2;1;1;3;3;2;6;3;1;3;0;0
2019-12-24 03:30:00;2;1;2;0;1;3;3;2;1;5;0;0
2019-12-24 03:45:00;5;3;0;1;1;3;7;6;2;2;0;0
2019-12-24 04:00:00;0;2;1;0;1;6;4;2;3;1;0;0
2019-12-24 04:15:00;4;3;0;0;1;7;5;3;3;1;0;0
2019-12-24 04:30:00;8;1;0;0;0;4;4;3;2;2;0;0
2019-12-24 04:45:00;9;3;1;1;2;6;9;5;0;1;0;0
2019-12-24 05:00:00;9;5;0;1;2;11;10;5;5;5;0;0
2019-12-24 05:15:00;11;7;1;1;2;8;10;9;5;4;0;0
2019-12-24 05:30:00;9;4;0;4;4;17;12;9;6;2;2;0
2019-12-24 05:45:00;12;9;1;1;2;10;10;5;10;5;0;0
2019-12-24 06:00:00;13;2;0;1;3;9;12;9;10;5;1;0
2019-12-24 06:15:00;15;10;1;2;4;7;10;9;7;6;0;0
2019-12-24 06:30:00;7;6;1;4;5;18;15;9;8;2;0;0
2019-12-24 06:45:00;16;10;2;1;1;10;14;8;11;9;0;0
2019-12-24 07:00:00;19;10;0;1;2;8;9;12;10;4;0;0
2019-12-24 07:15:00;16;11;2;17;6;17;18;15;15;12;5;6
2019-12-24 07:30:00;23;13;4;4;5;24;27;14;17;5;2;5
2019-12-24 07:45:00;22;10;2;1;4;19;40;34;20;5;1;4
2019-12-24 08:00:00;23;12;4;4;5;20;28;18;18;8;1;0
2019-12-24 08:15:00;25;12;1;9;9;21;29;22;24;8;1;1
2019-12-24 08:30:00;28;10;3;4;7;24;31;24;32;10;2;1
2019-12-24 08:45:00;43;25;2;6;10;37;57;38;41;13;5;6
2019-12-24 09:00:00;48;20;6;8;12;39;42;37;33;15;12;4
2019-12-24 09:15:00;50;31;2;8;15;45;57;45;51;24;5;1
2019-12-24 09:30:00;46;32;1;11;13;39;55;34;53;10;4;3
2019-12-24 09:45:00;48;31;6;10;16;52;65;56;45;13;12;11
2019-12-24 10:00:00;56;34;3;8;11;59;64;40;64;16;4;1
2019-12-24 10:15:00;56;28;5;5;9;59;67;48;66;13;5;1
2019-12-24 10:30:00;62;31;5;15;21;57;72;50;63;19;6;3
2019-12-24 10:45:00;65;45;2;15;17;58;64;44;57;11;13;22
2019-12-24 11:00:00;71;32;5;10;14;60;62;47;66;16;5;6
2019-12-24 11:15:00;63;42;8;16;20;72;84;57;70;17;6;3
2019-12-24 11:30:00;63;50;4;12;19;56;63;44;72;14;3;4
2019-12-24 11:45:00;65;44;4;19;19;54;59;41;51;15;0;15
2019-12-24 12:00:00;59;44;8;12;26;57;56;45;63;15;4;3
2019-12-24 12:15:00;76;54;3;14;17;48;51;43;64;10;2;18
2019-12-24 12:30:00;59;33;7;15;22;59;65;46;59;15;6;3
2019-12-24 12:45:00;57;34;6;9;17;58;78;51;64;11;4;3
2019-12-24 13:00:00;68;46;6;13;24;55;62;39;51;17;0;3
2019-12-24 13:15:00;61;40;6;10;16;52;52;38;56;11;2;14
2019-12-24 13:30:00;58;37;10;6;12;47;67;57;54;11;2;1
2019-12-24 13:45:00;72;32;3;7;7;59;73;39;60;14;1;2
2019-12-24 14:00:00;57;30;7;7;17;62;84;56;47;18;7;20
2019-12-24 14:15:00;55;35;4;5;10;50;75;56;26;15;2;5
2019-12-24 14:30:00;52;21;5;5;14;46;47;47;56;13;4;1
2019-12-24 14:45:00;42;38;3;3;5;41;43;34;58;10;0;5
2019-12-24 15:00:00;45;31;4;9;16;33;42;27;45;10;2;12
2019-12-24 15:15:00;45;33;1;6;10;41;54;39;23;11;0;0
2019-12-24 15:30:00;54;25;2;7;12;43;51;34;47;13;0;0
2019-12-24 15:45:00;45;23;3;9;11;47;51;35;32;15;1;1
2019-12-24 16:00:00;52;30;2;10;15;36;37;23;44;13;1;11
2019-12-24 16:15:00;43;29;3;19;21;36;44;33;40;11;3;9
2019-12-24 16:30:00;49;26;5;8;15;32;27;27;39;4;8;9
2019-12-24 16:45:00;35;31;7;14;23;33;31;29;39;8;0;0
2019-12-24 17:00:00;63;32;3;4;8;36;39;32;41;9;1;3
2019-12-24 17:15:00;45;34;3;11;19;34;38;31;57;11;1;0
