DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2019-10-22 00:00:00;10;4;0;0;0;0;0;0;0;0;0;0
2019-10-22 00:15:00;18;14;0;0;0;0;0;0;0;0;0;0
2019-10-22 00:30:00;9;4;0;0;0;0;0;0;0;0;0;0
2019-10-22 00:45:00;10;4;0;0;0;0;0;0;0;0;0;0
2019-10-22 01:00:00;15;6;0;0;0;0;0;0;0;0;0;0
2019-10-22 01:15:00;1;1;0;0;0;0;0;0;0;0;0;0
2019-10-22 01:30:00;8;6;0;0;0;0;0;0;0;0;0;0
2019-10-22 01:45:00;9;5;0;0;0;0;0;0;0;0;0;0
2019-10-22 02:00:00;5;2;0;0;0;0;0;0;0;0;0;0
2019-10-22 02:15:00;9;6;0;0;0;0;0;0;0;0;0;0
2019-10-22 02:30:00;4;0;0;0;0;0;0;0;0;0;0;0
2019-10-22 02:45:00;13;2;0;0;0;0;0;0;0;0;0;0
2019-10-22 03:00:00;6;2;0;0;0;0;0;0;0;0;0;0
2019-10-22 03:15:00;7;3;0;0;0;0;0;0;0;0;0;0
2019-10-22 03:30:00;3;2;0;0;0;0;0;0;0;0;0;0
2019-10-22 03:45:00;9;3;0;0;0;0;0;0;0;1;0;0
2019-10-22 04:00:00;15;9;0;0;0;0;0;0;0;0;0;0
2019-10-22 04:15:00;21;6;0;0;0;0;0;0;0;1;0;0
2019-10-22 04:30:00;19;9;0;0;0;0;0;0;0;0;0;0
2019-10-22 04:45:00;50;19;0;0;0;0;0;0;0;2;0;0
2019-10-22 05:00:00;84;37;0;0;0;0;0;0;0;1;0;0
2019-10-22 05:15:00;122;71;0;0;0;0;0;0;0;1;0;0
2019-10-22 05:30:00;139;73;0;0;0;0;0;0;0;1;0;0
2019-10-22 05:45:00;209;105;0;0;0;0;0;0;0;2;0;0
2019-10-22 06:00:00;195;87;0;0;0;0;0;0;0;2;0;0
2019-10-22 06:15:00;257;164;0;0;0;0;0;0;0;4;0;0
2019-10-22 06:30:00;265;239;2;0;0;1;2;0;0;2;0;0
2019-10-22 06:45:00;347;297;0;1;1;1;0;0;0;1;0;0
2019-10-22 07:00:00;259;279;1;0;0;0;0;1;0;0;0;0
2019-10-22 07:15:00;342;361;0;0;0;1;1;0;0;3;0;0
2019-10-22 07:30:00;286;284;1;0;0;2;1;1;3;1;0;0
2019-10-22 07:45:00;288;219;0;1;1;0;0;0;12;2;0;0
2019-10-22 08:00:00;264;228;2;0;0;1;1;0;2;6;0;0
2019-10-22 08:15:00;267;204;0;2;1;3;2;3;0;0;0;0
2019-10-22 08:30:00;238;159;0;0;0;1;1;3;0;0;0;0
2019-10-22 08:45:00;268;188;2;0;0;0;0;0;0;1;0;0
2019-10-22 09:00:00;198;111;0;0;0;0;1;0;2;1;0;0
2019-10-22 09:15:00;191;121;0;0;0;0;0;0;1;6;0;0
2019-10-22 09:30:00;163;105;0;0;0;0;0;0;1;2;0;0
2019-10-22 09:45:00;222;102;0;0;0;0;0;0;1;2;0;0
2019-10-22 10:00:00;180;94;0;0;0;0;1;3;0;1;0;0
2019-10-22 10:15:00;230;111;1;0;0;0;0;1;1;0;0;0
2019-10-22 10:30:00;194;105;1;0;0;0;0;0;0;1;0;0
2019-10-22 10:45:00;230;104;0;0;0;0;2;0;0;2;0;0
2019-10-22 11:00:00;190;75;0;0;0;1;0;1;0;1;0;0
2019-10-22 11:15:00;204;97;0;0;0;0;3;0;1;1;0;0
2019-10-22 11:30:00;194;80;0;0;0;0;0;0;0;1;0;0
2019-10-22 11:45:00;230;115;0;0;0;0;0;0;3;2;0;0
2019-10-22 12:00:00;186;97;0;0;0;0;0;0;1;0;0;0
2019-10-22 12:15:00;250;107;0;0;0;0;0;0;0;3;0;0
2019-10-22 12:30:00;205;73;0;0;0;0;0;0;0;0;0;0
2019-10-22 12:45:00;269;130;0;0;0;0;0;0;1;1;0;0
2019-10-22 13:00:00;231;95;0;0;0;0;0;0;0;2;0;0
2019-10-22 13:15:00;327;140;0;0;0;0;0;0;0;2;0;0
2019-10-22 13:30:00;270;116;0;0;0;0;0;0;0;3;0;0
2019-10-22 13:45:00;290;118;0;0;0;0;0;0;0;4;0;0
2019-10-22 14:00:00;258;111;0;0;0;0;0;0;0;3;0;0
2019-10-22 14:15:00;346;143;0;0;0;0;0;0;0;0;0;0
2019-10-22 14:30:00;299;111;0;0;0;0;0;0;0;4;0;0
2019-10-22 14:45:00;371;130;0;0;0;0;0;0;0;2;0;0
2019-10-22 15:00:00;310;124;0;0;0;1;0;0;1;0;0;0
2019-10-22 15:15:00;360;127;0;0;0;0;0;0;0;4;0;0
2019-10-22 15:30:00;343;110;0;0;0;0;0;0;0;1;0;0
2019-10-22 15:45:00;426;141;0;0;0;0;0;0;0;0;0;0
2019-10-22 16:00:00;373;129;0;0;0;0;0;0;0;4;0;0
2019-10-22 16:15:00;427;161;0;0;0;0;0;0;0;4;0;0
