DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2019-09-01 00:00:00;13;14;0;3;4;17;16;9;10;5;0;0
2019-09-01 00:15:00;20;19;1;1;3;19;26;13;6;4;0;0
2019-09-01 00:30:00;17;12;2;3;4;15;16;12;12;3;0;0
2019-09-01 00:45:00;11;5;1;2;4;15;23;14;15;3;0;0
2019-09-01 01:00:00;9;10;0;0;0;14;14;5;14;3;0;0
2019-09-01 01:15:00;20;12;0;1;1;19;16;6;9;7;0;0
2019-09-01 01:30:00;15;14;2;1;4;9;16;12;8;4;0;0
2019-09-01 01:45:00;11;5;0;1;3;17;10;8;9;2;0;0
2019-09-01 02:00:00;4;7;0;0;0;12;18;8;4;3;0;0
2019-09-01 02:15:00;6;6;0;0;0;5;12;10;12;4;0;0
2019-09-01 02:30:00;4;5;0;1;2;9;6;3;1;2;0;0
2019-09-01 02:45:00;9;7;2;2;4;9;8;7;5;2;0;0
2019-09-01 03:00:00;9;4;0;1;1;8;6;7;1;2;0;0
2019-09-01 03:15:00;10;7;1;0;0;11;5;2;1;1;0;0
2019-09-01 03:30:00;7;5;2;3;3;2;5;3;3;2;0;0
2019-09-01 03:45:00;4;3;0;0;0;3;5;3;2;1;0;0
2019-09-01 04:00:00;6;2;1;0;1;7;4;4;1;2;0;0
2019-09-01 04:15:00;5;3;0;0;0;6;4;3;1;2;0;0
2019-09-01 04:30:00;8;1;0;1;1;6;6;3;2;3;0;0
2019-09-01 04:45:00;11;1;1;1;2;9;6;3;4;2;0;0
2019-09-01 05:00:00;8;7;0;1;1;7;9;2;3;3;0;0
2019-09-01 05:15:00;12;7;0;0;0;9;6;3;7;2;0;0
2019-09-01 05:30:00;5;6;1;2;3;17;14;6;3;1;0;0
2019-09-01 05:45:00;16;10;1;2;6;14;10;3;4;4;0;0
2019-09-01 06:00:00;19;9;1;3;0;4;8;6;4;2;0;0
2019-09-01 06:15:00;11;6;0;1;1;10;5;2;5;3;0;0
2019-09-01 06:30:00;6;1;0;1;1;15;13;8;6;4;0;0
2019-09-01 06:45:00;9;6;0;2;2;13;7;5;6;1;0;0
2019-09-01 07:00:00;20;3;0;2;3;6;7;3;4;2;0;0
2019-09-01 07:15:00;15;8;1;2;3;14;5;2;9;5;0;0
2019-09-01 07:30:00;18;6;2;1;2;8;3;3;6;2;0;0
2019-09-01 07:45:00;22;4;1;4;4;28;13;11;8;2;0;1
2019-09-01 08:00:00;20;8;2;2;4;11;10;6;5;3;0;0
2019-09-01 08:15:00;27;11;0;5;5;13;12;12;12;5;0;0
2019-09-01 08:30:00;16;8;3;3;6;12;12;12;21;10;0;0
2019-09-01 08:45:00;29;16;2;6;10;26;20;14;20;5;0;0
2019-09-01 09:00:00;23;13;3;6;4;29;20;21;11;6;4;18
2019-09-01 09:15:00;40;20;0;3;7;33;21;19;20;2;3;1
2019-09-01 09:30:00;38;13;3;6;10;24;22;13;27;6;4;6
2019-09-01 09:45:00;43;19;1;6;11;34;33;28;32;10;5;1
2019-09-01 10:00:00;38;24;2;5;11;39;27;19;30;7;1;1
2019-09-01 10:15:00;45;26;2;7;13;22;19;16;26;4;0;0
2019-09-01 10:30:00;47;25;3;11;17;38;37;28;29;16;3;9
2019-09-01 10:45:00;38;22;2;3;10;38;37;23;38;10;4;14
