DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2020-03-20 00:00:00;3;2;0;1;3;6;6;3;4;4;0;0
2020-03-20 00:15:00;5;3;0;1;3;2;2;1;4;0;0;0
2020-03-20 00:30:00;1;1;0;0;0;3;3;2;3;2;0;0
2020-03-20 00:45:00;7;5;1;1;2;1;3;2;2;3;0;0
2020-03-20 01:00:00;7;1;0;1;1;10;3;1;1;2;0;0
2020-03-20 01:15:00;4;2;0;0;1;3;2;1;1;2;0;0
2020-03-20 01:30:00;0;0;0;0;1;2;4;2;0;2;0;0
2020-03-20 01:45:00;3;0;0;0;0;5;0;0;0;0;0;0
2020-03-20 02:00:00;1;1;0;0;0;1;0;0;1;0;0;0
2020-03-20 02:15:00;1;3;1;0;1;2;2;0;0;1;0;0
2020-03-20 02:30:00;2;2;0;0;0;1;1;1;2;1;0;0
2020-03-20 02:45:00;5;2;1;1;2;4;5;1;2;1;0;0
2020-03-20 03:00:00;3;4;0;0;0;1;2;0;1;0;0;0
2020-03-20 03:15:00;1;3;0;0;0;1;1;1;1;1;0;0
2020-03-20 03:30:00;1;1;0;1;2;3;5;4;0;1;0;0
2020-03-20 03:45:00;3;3;0;0;0;2;5;3;5;4;0;0
2020-03-20 04:00:00;4;4;0;1;2;2;4;4;3;1;0;0
2020-03-20 04:15:00;5;4;0;1;2;7;8;3;4;3;0;0
2020-03-20 04:30:00;7;8;1;1;2;6;5;4;3;6;0;0
2020-03-20 04:45:00;10;5;0;1;1;5;7;6;11;2;0;0
2020-03-20 05:00:00;15;6;0;3;5;22;14;4;9;5;0;0
2020-03-20 05:15:00;32;17;1;8;9;23;23;6;23;9;0;0
2020-03-20 05:30:00;40;19;2;8;13;42;40;16;37;9;0;0
2020-03-20 05:45:00;43;15;4;5;10;52;60;26;37;8;4;3
2020-03-20 06:00:00;44;22;4;5;11;52;59;29;29;22;2;1
