DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2020-11-20 00:00:00;1;1;0;0;0;1;2;1;3;0;0;0
2020-11-20 00:15:00;4;4;2;1;1;4;4;2;0;0;0;0
2020-11-20 00:30:00;1;1;0;2;2;3;7;5;0;2;0;0
2020-11-20 00:45:00;3;1;1;1;2;6;5;0;3;2;0;0
2020-11-20 01:00:00;5;2;0;0;0;1;4;3;1;2;0;0
2020-11-20 01:15:00;2;3;0;0;0;2;3;0;2;2;0;0
2020-11-20 01:30:00;1;2;0;0;0;4;5;0;0;0;0;0
2020-11-20 01:45:00;3;4;0;0;1;4;1;0;1;1;0;0
2020-11-20 02:00:00;5;1;0;0;0;1;2;1;0;1;0;0
2020-11-20 02:15:00;1;1;0;1;0;1;4;4;1;0;0;0
2020-11-20 02:30:00;2;0;0;0;0;0;2;2;2;1;0;0
2020-11-20 02:45:00;4;3;1;2;3;2;2;2;2;1;0;0
2020-11-20 03:00:00;4;3;0;0;1;3;4;1;2;2;0;0
2020-11-20 03:15:00;4;3;0;1;1;2;3;1;2;2;0;0
2020-11-20 03:30:00;2;1;0;0;1;3;2;3;1;2;0;0
2020-11-20 03:45:00;4;4;0;1;0;3;5;3;3;1;0;0
2020-11-20 04:00:00;3;3;0;0;0;3;3;0;4;3;0;0
2020-11-20 04:15:00;5;4;1;0;1;4;3;2;1;0;0;0
2020-11-20 04:30:00;10;4;0;2;2;4;5;2;9;3;0;0
2020-11-20 04:45:00;14;12;0;2;3;7;10;6;11;5;0;0
2020-11-20 05:00:00;22;11;3;2;4;21;15;3;11;2;0;0
2020-11-20 05:15:00;39;22;2;7;6;35;38;6;21;8;0;0
2020-11-20 05:30:00;38;23;2;7;11;44;47;23;48;8;1;0
2020-11-20 05:45:00;45;31;2;5;12;52;62;28;27;8;0;0
2020-11-20 06:00:00;52;25;3;6;10;51;62;34;44;20;2;6
2020-11-20 06:15:00;64;30;1;6;11;77;73;50;46;30;1;4
2020-11-20 06:30:00;58;31;3;12;20;93;95;49;53;26;1;4
2020-11-20 06:45:00;49;28;1;6;11;93;110;69;61;20;3;30
2020-11-20 07:00:00;47;34;1;14;21;126;123;90;46;28;7;5
2020-11-20 07:15:00;52;35;4;61;32;201;124;98;60;48;1;1
2020-11-20 07:30:00;73;37;0;21;27;145;125;105;74;14;4;2
2020-11-20 07:45:00;70;54;7;22;31;121;86;88;80;17;7;5
2020-11-20 08:00:00;71;42;5;12;13;79;90;69;70;19;5;3
2020-11-20 08:15:00;56;25;3;18;18;88;76;50;57;15;4;0
2020-11-20 08:30:00;64;31;6;10;12;77;79;45;70;14;0;2
2020-11-20 08:45:00;55;36;4;11;12;80;89;63;66;20;1;2
2020-11-20 09:00:00;77;29;1;12;14;71;69;46;67;17;5;9
2020-11-20 09:15:00;62;37;2;12;13;56;69;45;66;16;1;3
2020-11-20 09:30:00;60;34;3;18;18;72;81;58;79;16;1;86
2020-11-20 09:45:00;60;39;5;12;16;72;72;56;69;17;8;9
2020-11-20 10:00:00;65;46;3;18;18;54;56;49;69;17;4;3
2020-11-20 10:15:00;54;38;4;13;12;60;72;53;63;24;3;4
2020-11-20 10:30:00;82;50;4;13;15;74;89;56;86;26;5;6
2020-11-20 10:45:00;77;44;4;13;12;78;88;58;76;16;9;8
2020-11-20 11:00:00;67;32;5;10;14;60;63;53;66;13;4;6
2020-11-20 11:15:00;80;54;7;16;14;71;68;47;71;20;6;7
2020-11-20 11:30:00;86;52;8;8;9;82;94;61;74;17;3;6
2020-11-20 11:45:00;84;49;5;15;17;75;92;62;84;14;8;6
2020-11-20 12:00:00;98;61;4;13;17;81;66;64;78;15;2;1
2020-11-20 12:15:00;92;75;4;17;19;82;74;64;79;21;1;7
2020-11-20 12:30:00;115;68;5;16;22;95;56;71;106;25;0;2
2020-11-20 12:45:00;94;58;2;16;20;103;58;65;105;21;5;1
2020-11-20 13:00:00;146;105;6;17;28;93;79;57;145;19;11;12
2020-11-20 13:15:00;153;109;11;14;16;113;91;71;143;27;10;20
2020-11-20 13:30:00;119;76;6;15;20;98;85;69;96;23;3;11
2020-11-20 13:45:00;100;68;8;23;31;93;88;71;98;19;13;14
