DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2020-10-01 00:00:00;6;4;1;0;1;6;3;2;4;1;0;0
2020-10-01 00:15:00;2;6;1;1;1;15;8;3;3;2;0;0
2020-10-01 00:30:00;7;5;1;1;2;8;4;2;1;1;0;0
2020-10-01 00:45:00;3;3;0;0;1;8;4;3;2;3;0;0
2020-10-01 01:00:00;8;3;0;1;1;5;6;2;1;1;0;0
2020-10-01 01:15:00;4;3;2;1;1;4;4;3;2;0;0;0
2020-10-01 01:30:00;4;2;0;0;0;2;4;4;0;2;0;0
2020-10-01 01:45:00;4;3;0;0;0;8;4;2;2;0;0;0
2020-10-01 02:00:00;1;1;1;0;0;3;2;1;2;0;0;0
2020-10-01 02:15:00;1;2;0;0;0;1;1;0;3;2;0;0
2020-10-01 02:30:00;2;3;0;1;1;4;5;2;0;3;0;0
2020-10-01 02:45:00;4;1;0;2;3;2;4;3;1;2;0;0
2020-10-01 03:00:00;4;3;0;0;1;3;4;3;2;0;0;0
2020-10-01 03:15:00;4;1;0;1;0;1;3;1;2;0;0;0
2020-10-01 03:30:00;1;3;0;0;0;1;3;3;4;3;0;0
2020-10-01 03:45:00;8;4;0;1;1;1;5;3;1;1;0;0
2020-10-01 04:00:00;2;1;0;1;2;2;4;2;1;1;0;0
2020-10-01 04:15:00;4;5;2;4;4;5;10;5;4;3;0;0
2020-10-01 04:30:00;7;5;1;1;1;7;3;1;3;2;0;0
2020-10-01 04:45:00;9;10;1;6;6;8;6;5;10;4;0;0
2020-10-01 05:00:00;22;8;1;3;5;25;20;6;17;2;0;0
2020-10-01 05:15:00;23;14;0;6;5;29;16;3;22;4;0;0
2020-10-01 05:30:00;42;34;2;4;8;46;42;22;54;7;1;0
2020-10-01 05:45:00;45;28;2;3;5;58;68;32;41;23;1;5
2020-10-01 06:00:00;53;31;3;5;8;54;54;45;41;22;2;12
2020-10-01 06:15:00;67;31;4;9;12;82;87;59;43;11;6;5
2020-10-01 06:30:00;69;40;0;13;13;107;103;65;64;27;2;7
2020-10-01 06:45:00;76;39;2;12;15;129;130;79;62;16;4;3
2020-10-01 07:00:00;63;36;1;14;14;165;138;101;46;19;5;5
2020-10-01 07:15:00;55;29;4;15;16;194;124;107;54;21;2;9
2020-10-01 07:30:00;24;10;1;11;10;45;37;21;29;9;2;6
2020-10-01 07:45:00;87;55;9;22;22;201;118;94;98;31;7;7
2020-10-01 08:00:00;66;51;14;19;25;139;121;86;85;16;5;7
2020-10-01 08:15:00;73;32;7;13;15;91;78;72;76;8;1;0
2020-10-01 08:30:00;74;34;7;13;13;117;107;81;69;19;5;40
2020-10-01 08:45:00;59;38;4;11;11;88;89;52;73;21;1;1
2020-10-01 09:00:00;65;37;2;18;15;88;71;69;64;13;1;0
2020-10-01 09:15:00;80;40;4;12;14;65;70;47;55;14;2;17
2020-10-01 09:30:00;62;38;4;10;14;82;92;71;66;24;4;15
2020-10-01 09:45:00;70;36;4;8;12;66;70;50;54;19;2;10
2020-10-01 10:00:00;62;35;4;13;12;69;63;58;57;16;5;8
2020-10-01 10:15:00;86;58;4;10;13;68;71;39;63;17;2;0
2020-10-01 10:30:00;86;50;6;15;13;79;78;53;88;12;5;3
2020-10-01 10:45:00;73;44;1;12;13;61;88;68;83;18;3;11
2020-10-01 11:00:00;71;38;7;15;15;88;64;72;66;14;0;8
2020-10-01 11:15:00;80;41;7;14;15;63;64;59;88;26;4;2
2020-10-01 11:30:00;74;44;7;13;13;61;65;58;64;15;2;0
2020-10-01 11:45:00;77;49;6;8;12;72;76;59;78;22;1;0
2020-10-01 12:00:00;78;56;9;6;9;66;72;70;70;15;3;11
