DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2)
2020-12-21 00:00:00;1;0;0;1;0;0;0;0;1
2020-12-21 00:15:00;2;2;1;1;0;1;0;0;0
2020-12-21 00:30:00;0;0;0;1;0;2;0;0;1
2020-12-21 00:45:00;2;1;0;2;2;0;0;0;0
2020-12-21 01:00:00;0;0;0;2;2;1;0;0;4
2020-12-21 01:15:00;0;0;0;1;0;1;1;0;1
2020-12-21 01:30:00;1;0;0;2;1;0;0;0;1
2020-12-21 01:45:00;1;0;0;1;0;0;0;0;1
2020-12-21 02:00:00;2;0;0;2;1;2;3;0;0
2020-12-21 02:15:00;1;1;0;5;1;3;2;0;2
2020-12-21 02:30:00;1;0;1;1;1;0;0;0;0
2020-12-21 02:45:00;2;1;1;2;1;1;1;0;1
2020-12-21 03:00:00;3;1;2;1;0;0;0;0;3
2020-12-21 03:15:00;1;3;2;2;1;0;0;0;0
2020-12-21 03:30:00;2;0;0;1;0;2;1;0;2
2020-12-21 03:45:00;0;1;0;2;0;1;1;0;2
2020-12-21 04:00:00;1;3;1;7;1;2;5;0;1
2020-12-21 04:15:00;3;0;0;2;3;5;1;0;3
2020-12-21 04:30:00;1;1;0;6;0;1;4;0;0
2020-12-21 04:45:00;5;6;0;8;1;3;6;0;6
2020-12-21 05:00:00;15;7;2;10;2;8;4;0;4
2020-12-21 05:15:00;24;9;1;20;7;13;14;0;5
2020-12-21 05:30:00;28;18;4;16;8;21;18;0;5
2020-12-21 05:45:00;31;10;2;21;9;25;23;0;9
2020-12-21 06:00:00;21;6;7;17;10;31;34;0;7
2020-12-21 06:15:00;29;10;3;28;11;46;48;0;10
2020-12-21 06:30:00;34;24;8;19;12;46;56;0;9
2020-12-21 06:45:00;36;30;9;25;11;53;64;0;14
2020-12-21 07:00:00;33;15;8;20;14;63;69;0;12
2020-12-21 07:15:00;28;16;10;29;15;66;74;0;20
2020-12-21 07:30:00;41;20;10;34;21;62;65;0;16
2020-12-21 07:45:00;45;32;16;32;25;72;77;0;19
2020-12-21 08:00:00;54;18;15;35;19;55;58;0;17
2020-12-21 08:15:00;34;17;11;30;21;50;53;0;16
2020-12-21 08:30:00;48;23;17;27;27;44;62;0;16
2020-12-21 08:45:00;55;17;20;28;23;42;49;0;18
2020-12-21 09:00:00;56;25;15;26;30;43;47;0;11
2020-12-21 09:15:00;52;23;16;32;20;40;66;0;9
2020-12-21 09:30:00;58;30;29;35;23;43;62;0;15
2020-12-21 09:45:00;68;33;23;36;31;49;52;0;19
2020-12-21 10:00:00;64;32;24;53;32;44;61;0;12
2020-12-21 10:15:00;61;41;13;42;31;54;49;0;20
2020-12-21 10:30:00;69;43;23;53;41;48;69;0;11
2020-12-21 10:45:00;73;35;22;55;44;54;61;0;21
2020-12-21 11:00:00;58;30;16;38;34;39;57;0;14
2020-12-21 11:15:00;72;51;24;41;27;46;58;0;8
2020-12-21 11:30:00;80;40;25;49;47;46;51;0;15
2020-12-21 11:45:00;52;36;31;48;38;50;53;0;18
2020-12-21 12:00:00;71;50;23;44;36;50;59;0;7
2020-12-21 12:15:00;63;50;28;42;41;55;58;0;14
2020-12-21 12:30:00;77;52;25;49;32;45;55;0;14
2020-12-21 12:45:00;67;48;16;33;27;44;47;0;11
2020-12-21 13:00:00;78;60;23;47;40;49;68;0;17
2020-12-21 13:15:00;76;54;12;44;37;66;59;0;22
2020-12-21 13:30:00;79;54;25;44;33;56;66;0;11
2020-12-21 13:45:00;77;53;18;45;40;48;67;0;19
2020-12-21 14:00:00;64;42;21;57;57;53;71;0;8
2020-12-21 14:15:00;72;37;10;55;42;44;53;0;9
2020-12-21 14:30:00;64;38;19;71;61;69;71;0;13
2020-12-21 14:45:00;81;40;22;60;54;60;74;0;17
2020-12-21 15:00:00;81;56;14;70;54;71;84;0;15
2020-12-21 15:15:00;94;77;13;65;44;65;66;0;12
2020-12-21 15:30:00;72;54;28;67;44;71;77;0;10
2020-12-21 15:45:00;88;60;14;69;60;58;59;0;12
2020-12-21 16:00:00;109;70;22;65;47;71;57;0;9
2020-12-21 16:15:00;98;63;13;70;55;58;56;0;7
2020-12-21 16:30:00;83;72;20;49;41;68;75;0;10
2020-12-21 16:45:00;82;50;18;63;63;64;71;0;12
2020-12-21 17:00:00;78;60;19;57;51;57;56;0;6
