DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2)
2020-01-11 00:00:00;25;11;2;12;2;11;7;5;5
2020-01-11 00:15:00;24;5;9;18;3;6;5;3;3
2020-01-11 00:30:00;16;7;5;7;2;10;7;3;3
2020-01-11 00:45:00;16;6;4;10;1;6;11;0;0
2020-01-11 01:00:00;10;4;6;14;4;11;7;1;1
2020-01-11 01:15:00;18;3;2;8;7;9;7;1;1
2020-01-11 01:30:00;11;6;2;4;3;9;8;1;1
2020-01-11 01:45:00;9;2;6;4;1;4;5;1;1
2020-01-11 02:00:00;11;2;1;6;1;9;3;1;1
2020-01-11 02:15:00;6;2;1;4;2;5;2;2;2
2020-01-11 02:30:00;3;6;3;2;0;6;5;0;0
2020-01-11 02:45:00;7;4;2;3;1;7;3;2;2
2020-01-11 03:00:00;3;4;0;3;4;2;0;2;2
2020-01-11 03:15:00;5;1;1;1;1;0;2;3;3
2020-01-11 03:30:00;4;1;1;1;0;1;4;0;0
2020-01-11 03:45:00;1;2;1;3;0;6;1;0;0
2020-01-11 04:00:00;3;1;2;5;3;1;1;2;2
2020-01-11 04:15:00;2;3;2;4;0;5;4;5;5
2020-01-11 04:30:00;3;1;0;3;1;4;3;3;3
2020-01-11 04:45:00;4;5;1;3;1;1;2;0;0
2020-01-11 05:00:00;5;3;1;4;0;4;4;0;0
2020-01-11 05:15:00;9;3;3;10;1;12;15;1;1
2020-01-11 05:30:00;12;7;1;12;5;8;8;0;0
2020-01-11 05:45:00;7;4;3;20;3;6;7;1;1
2020-01-11 06:00:00;14;2;3;24;11;15;16;3;3
2020-01-11 06:15:00;12;3;2;16;4;13;12;4;4
2020-01-11 06:30:00;13;4;2;8;1;10;12;1;1
2020-01-11 06:45:00;17;2;0;10;3;8;12;2;2
2020-01-11 07:00:00;16;7;5;10;2;15;10;1;1
2020-01-11 07:15:00;13;1;1;13;10;24;24;2;2
2020-01-11 07:30:00;20;12;6;19;7;37;32;5;5
2020-01-11 07:45:00;28;11;10;20;13;41;40;9;9
2020-01-11 08:00:00;20;7;6;23;12;37;37;2;2
2020-01-11 08:15:00;35;11;8;15;10;20;29;6;6
2020-01-11 08:30:00;43;19;11;21;12;38;32;2;2
2020-01-11 08:45:00;42;25;12;23;14;39;50;5;5
2020-01-11 09:00:00;33;15;13;25;17;27;49;3;3
2020-01-11 09:15:00;50;24;11;25;17;41;51;5;7
2020-01-11 09:30:00;48;27;23;33;21;49;52;13;11
2020-01-11 09:45:00;64;42;22;34;28;55;53;22;22
2020-01-11 10:00:00;66;41;29;42;29;49;60;23;23
2020-01-11 10:15:00;62;44;24;42;37;55;56;31;31
2020-01-11 10:30:00;69;34;21;46;38;46;66;21;21
2020-01-11 10:45:00;69;53;24;48;38;47;55;33;33
2020-01-11 11:00:00;68;29;21;45;34;51;57;27;27
2020-01-11 11:15:00;80;43;20;50;38;42;61;27;27
2020-01-11 11:30:00;63;50;13;46;43;57;58;34;34
2020-01-11 11:45:00;75;50;12;49;36;56;77;22;22
2020-01-11 12:00:00;76;46;26;46;33;57;60;31;31
2020-01-11 12:15:00;74;47;21;38;43;56;48;22;22
2020-01-11 12:30:00;88;50;25;50;41;56;65;22;22
2020-01-11 12:45:00;87;42;19;59;60;46;57;21;21
2020-01-11 13:00:00;72;64;20;46;49;64;58;23;23
2020-01-11 13:15:00;87;45;16;62;58;70;77;21;21
2020-01-11 13:30:00;94;56;25;51;43;62;54;18;18
2020-01-11 13:45:00;95;46;20;54;43;48;67;21;21
2020-01-11 14:00:00;79;61;18;61;49;68;73;21;21
2020-01-11 14:15:00;69;60;17;57;51;46;74;25;25
