DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DB4);6(DC1);7(DD1);8(DD2);9(DD3);10(tafga);11(tafgc);12(tafba);13(tafbb);14(tafbc);15(tafbd)
2020-11-16 00:00:00;4;1;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-11-16 00:15:00;1;2;0;1;1;0;0;3;2;0;0;0;0;0;0
2020-11-16 00:30:00;3;2;0;2;2;0;0;0;0;0;0;0;0;0;0
2020-11-16 00:45:00;2;0;0;0;0;3;0;1;0;0;0;0;0;0;0
2020-11-16 01:00:00;3;0;0;0;0;2;0;2;2;0;0;0;0;0;0
2020-11-16 01:15:00;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-16 01:30:00;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-16 01:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 02:00:00;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-11-16 02:15:00;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-16 02:30:00;2;2;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-11-16 02:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 03:00:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 03:15:00;3;3;0;2;2;0;0;0;0;0;0;0;0;0;0
2020-11-16 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 03:45:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-11-16 04:00:00;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 04:15:00;2;3;0;2;2;2;0;2;2;0;0;0;0;0;0
2020-11-16 04:30:00;3;1;0;1;2;2;0;0;0;0;0;0;0;0;0
2020-11-16 04:45:00;5;4;0;3;3;7;0;2;3;0;0;0;0;0;0
2020-11-16 05:00:00;9;7;0;5;5;13;0;0;0;0;0;0;0;0;0
2020-11-16 05:15:00;25;12;0;9;7;15;0;3;3;0;0;0;0;0;0
2020-11-16 05:30:00;21;10;2;8;8;24;0;5;4;0;0;0;0;0;0
2020-11-16 05:45:00;36;21;2;20;20;28;0;2;2;0;0;0;0;0;0
2020-11-16 06:00:00;17;15;0;13;14;15;0;2;3;0;0;0;0;0;0
2020-11-16 06:15:00;30;26;0;21;17;22;0;8;6;0;0;0;0;0;0
2020-11-16 06:30:00;35;27;3;22;21;29;0;4;3;0;0;0;0;0;0
2020-11-16 06:45:00;45;37;0;27;26;23;0;10;12;0;0;0;0;0;0
2020-11-16 07:00:00;37;44;0;29;24;37;0;11;9;1;0;0;0;0;0
2020-11-16 07:15:00;43;63;0;55;40;51;0;9;11;2;0;1;0;0;1
2020-11-16 07:30:00;56;41;3;41;24;41;0;12;11;1;2;10;7;0;0
2020-11-16 07:45:00;51;78;0;72;53;23;0;10;8;0;0;0;0;0;0
2020-11-16 08:00:00;47;50;2;40;52;32;0;7;7;0;0;0;0;0;0
2020-11-16 08:15:00;37;38;0;39;34;28;0;11;8;0;0;0;0;0;0
2020-11-16 08:30:00;36;32;0;31;27;22;0;10;12;0;0;0;8;0;0
2020-11-16 08:45:00;36;24;0;18;18;31;0;14;12;0;0;0;0;0;0
2020-11-16 09:00:00;40;29;0;27;29;21;0;6;6;0;0;0;0;0;0
2020-11-16 09:15:00;29;30;0;29;25;28;0;11;11;0;0;0;0;0;0
2020-11-16 09:30:00;50;26;0;23;18;25;0;10;10;0;0;0;0;0;0
2020-11-16 09:45:00;29;19;2;13;14;16;0;9;8;0;0;0;0;0;0
2020-11-16 10:00:00;31;39;1;36;27;12;0;8;9;0;0;0;0;0;0
2020-11-16 10:15:00;41;30;0;29;25;27;0;11;10;0;0;0;0;0;0
