DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2019-08-06 18:15:00;122;73;53;18;6;22;105;77;0;13;0
2019-08-06 18:30:00;113;56;45;3;21;26;86;79;2;12;0
2019-08-06 18:45:00;86;47;31;1;15;17;101;62;0;7;0
2019-08-06 19:00:00;102;41;27;1;14;17;81;65;1;9;0
2019-08-06 19:15:00;98;43;26;4;16;16;81;49;0;4;0
2019-08-06 19:30:00;72;37;23;1;13;15;59;73;4;3;0
2019-08-06 19:45:00;77;44;19;4;20;18;71;48;1;7;0
2019-08-06 20:00:00;84;31;17;0;13;16;89;49;2;9;0
2019-08-06 20:15:00;74;30;23;0;6;10;81;31;1;5;0
2019-08-06 20:30:00;61;19;13;0;0;7;74;38;1;5;0
2019-08-06 20:45:00;66;19;9;1;6;12;59;49;1;5;0
2019-08-06 21:00:00;64;15;10;2;4;5;78;79;1;6;2
2019-08-06 21:15:00;57;18;12;9;1;10;70;46;0;3;0
2019-08-06 21:30:00;52;22;13;7;1;10;57;27;0;7;0
2019-08-06 21:45:00;107;36;23;8;1;10;42;11;1;2;0
2019-08-06 22:00:00;175;56;35;5;0;6;41;14;0;5;1
2019-08-06 22:15:00;100;31;18;3;1;5;47;13;0;6;1
2019-08-06 22:30:00;43;22;8;8;0;9;34;16;1;8;1
2019-08-06 22:45:00;34;9;4;9;0;12;29;7;0;0;0
2019-08-06 23:00:00;25;8;5;4;0;7;30;8;0;3;0
2019-08-06 23:15:00;34;7;5;4;1;5;24;5;0;7;0
2019-08-06 23:30:00;17;8;3;3;0;5;15;4;0;1;0
