DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2019-12-29 00:00:00;13;9;3;4;0;5;15;4;0;4;0
2019-12-29 00:15:00;20;16;10;4;0;4;22;1;0;4;0
2019-12-29 00:30:00;13;7;4;3;1;5;14;5;0;3;0
2019-12-29 00:45:00;14;11;2;3;3;6;13;5;0;4;0
2019-12-29 01:00:00;12;9;5;3;1;5;15;4;0;0;0
2019-12-29 01:15:00;10;1;1;2;0;2;7;1;0;0;0
2019-12-29 01:30:00;12;8;2;7;0;8;13;4;0;3;0
2019-12-29 01:45:00;12;8;1;2;1;1;8;4;0;2;0
2019-12-29 02:00:00;18;5;1;1;0;1;11;3;0;0;0
2019-12-29 02:15:00;6;4;0;0;0;0;13;6;0;1;0
2019-12-29 02:30:00;13;2;0;1;0;2;4;0;0;0;0
2019-12-29 02:45:00;6;3;0;1;0;1;12;2;0;1;0
2019-12-29 03:00:00;4;3;2;0;0;1;2;1;1;1;0
2019-12-29 03:15:00;4;3;0;2;0;2;8;1;0;2;0
2019-12-29 03:30:00;6;3;0;0;0;0;3;1;0;0;0
2019-12-29 03:45:00;3;4;0;1;0;2;4;1;0;0;0
2019-12-29 04:00:00;3;2;1;1;0;0;6;2;0;0;0
2019-12-29 04:15:00;3;7;3;2;0;2;6;0;0;4;0
2019-12-29 04:30:00;9;6;2;3;0;3;2;1;0;1;0
2019-12-29 04:45:00;8;3;2;4;0;4;8;1;0;1;0
2019-12-29 05:00:00;10;4;1;2;1;1;15;2;0;1;1
2019-12-29 05:15:00;11;4;3;1;0;2;9;5;0;1;0
2019-12-29 05:30:00;10;9;6;0;0;0;14;11;0;1;0
2019-12-29 05:45:00;3;9;3;3;0;3;17;7;0;3;0
2019-12-29 06:00:00;14;11;6;2;1;4;10;5;0;1;0
2019-12-29 06:15:00;10;8;4;5;0;5;9;3;0;0;0
2019-12-29 06:30:00;10;11;0;0;2;3;10;2;0;1;0
2019-12-29 06:45:00;9;7;3;0;0;0;13;2;0;2;0
2019-12-29 07:00:00;4;7;3;3;1;5;15;2;0;1;0
2019-12-29 07:15:00;6;13;5;5;0;3;11;3;0;0;0
2019-12-29 07:30:00;10;8;3;4;1;5;17;1;0;2;0
2019-12-29 07:45:00;6;12;3;7;1;7;8;2;0;1;0
2019-12-29 08:00:00;16;9;5;3;1;4;9;2;0;1;0
2019-12-29 08:15:00;17;8;8;1;1;1;16;2;0;0;0
2019-12-29 08:30:00;14;14;7;1;1;2;20;3;0;0;0
