DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2020-10-01 00:00:00;10;8;3;6;12;12;5
2020-10-01 00:15:00;6;9;0;3;7;15;8
2020-10-01 00:30:00;7;5;2;1;4;10;7
2020-10-01 00:45:00;6;6;3;1;4;11;4
2020-10-01 01:00:00;10;2;0;3;3;9;6
2020-10-01 01:15:00;2;4;0;4;4;7;1
2020-10-01 01:30:00;3;3;0;0;1;5;1
2020-10-01 01:45:00;6;4;0;1;2;7;1
2020-10-01 02:00:00;6;3;0;2;2;4;4
2020-10-01 02:15:00;6;2;0;3;2;8;2
2020-10-01 02:30:00;7;4;0;6;4;7;1
2020-10-01 02:45:00;11;4;1;1;2;2;0
2020-10-01 03:00:00;3;3;1;0;1;7;4
2020-10-01 03:15:00;5;2;0;1;3;13;1
2020-10-01 03:30:00;8;4;0;2;3;7;4
2020-10-01 03:45:00;6;1;0;3;1;9;0
2020-10-01 04:00:00;7;5;0;0;1;7;4
2020-10-01 04:15:00;7;7;1;4;5;9;3
2020-10-01 04:30:00;8;10;0;0;0;22;5
2020-10-01 04:45:00;17;14;1;3;3;33;18
2020-10-01 05:00:00;33;18;1;4;7;61;62
2020-10-01 05:15:00;44;36;1;9;12;106;98
2020-10-01 05:30:00;45;40;2;6;14;110;119
2020-10-01 05:45:00;90;78;5;11;20;106;121
2020-10-01 06:00:00;140;85;3;6;15;106;120
2020-10-01 06:15:00;129;111;5;10;21;117;120
2020-10-01 06:30:00;72;82;6;13;24;133;128
2020-10-01 06:45:00;84;74;1;7;22;134;156
2020-10-01 07:00:00;62;68;4;12;30;138;144
2020-10-01 07:15:00;68;54;4;8;22;134;160
2020-10-01 07:30:00;15;16;1;2;4;28;26
2020-10-01 07:45:00;98;99;8;17;30;134;175
2020-10-01 08:00:00;83;84;10;21;38;121;128
2020-10-01 08:15:00;69;63;2;18;25;121;134
2020-10-01 08:30:00;77;89;4;26;30;103;127
2020-10-01 08:45:00;80;73;8;8;26;109;113
2020-10-01 09:00:00;92;71;16;17;36;84;96
2020-10-01 09:15:00;93;55;4;19;27;96;91
2020-10-01 09:30:00;107;69;11;19;20;93;107
2020-10-01 09:45:00;82;66;3;19;27;91;95
2020-10-01 10:00:00;83;47;9;20;23;74;83
2020-10-01 10:15:00;90;70;4;16;23;86;83
2020-10-01 10:30:00;95;72;6;19;31;91;74
2020-10-01 10:45:00;105;73;8;20;30;78;83
2020-10-01 11:00:00;111;68;6;17;16;80;72
2020-10-01 11:15:00;121;65;8;18;26;63;76
2020-10-01 11:30:00;114;77;13;18;35;82;82
2020-10-01 11:45:00;110;63;5;15;23;71;68
2020-10-01 12:00:00;109;71;7;19;30;79;84
2020-10-01 12:15:00;120;73;8;18;39;73;78
2020-10-01 12:30:00;114;85;7;17;25;78;78
2020-10-01 12:45:00;135;66;7;16;30;74;85
2020-10-01 13:00:00;120;111;9;26;45;97;121
2020-10-01 13:15:00;103;82;15;27;44;109;123
2020-10-01 13:30:00;133;100;11;14;30;123;134
2020-10-01 13:45:00;117;115;6;18;27;89;127
2020-10-01 14:00:00;141;118;6;24;31;93;93
2020-10-01 14:15:00;195;174;11;20;39;92;116
2020-10-01 14:30:00;188;145;7;19;32;91;85
2020-10-01 14:45:00;196;126;10;25;33;97;103
2020-10-01 15:00:00;179;129;6;21;42;90;101
2020-10-01 15:15:00;179;144;12;21;35;79;103
2020-10-01 15:30:00;170;159;10;27;59;93;113
2020-10-01 15:45:00;163;140;13;21;44;82;99
2020-10-01 16:00:00;202;169;6;28;44;110;110
2020-10-01 16:15:00;186;160;10;28;45;104;122
2020-10-01 16:30:00;196;171;13;38;66;93;116
2020-10-01 16:45:00;187;176;9;28;47;98;109
2020-10-01 17:00:00;199;171;12;22;54;106;111
2020-10-01 17:15:00;164;186;16;20;56;105;116
2020-10-01 17:30:00;152;162;12;15;37;91;109
2020-10-01 17:45:00;140;167;10;20;37;90;102
2020-10-01 18:00:00;132;120;12;17;36;104;103
2020-10-01 18:15:00;135;119;12;12;43;89;79
2020-10-01 18:30:00;122;98;9;20;41;69;95
2020-10-01 18:45:00;125;102;7;18;42;70;83
2020-10-01 19:00:00;107;82;11;24;34;59;65
2020-10-01 19:15:00;93;64;4;13;25;55;40
2020-10-01 19:30:00;73;51;4;18;28;56;48
2020-10-01 19:45:00;70;53;9;12;26;49;55
2020-10-01 20:00:00;77;53;5;11;16;47;44
2020-10-01 20:15:00;66;49;5;16;24;58;38
2020-10-01 20:30:00;50;17;1;10;19;46;32
2020-10-01 20:45:00;50;20;1;10;17;61;55
2020-10-01 21:00:00;45;27;11;14;23;96;92
2020-10-01 21:15:00;49;36;4;11;22;89;93
2020-10-01 21:30:00;57;26;3;5;11;60;45
2020-10-01 21:45:00;113;77;5;5;16;41;28
2020-10-01 22:00:00;152;98;8;8;24;30;15
2020-10-01 22:15:00;89;75;3;10;20;31;13
2020-10-01 22:30:00;29;19;4;8;12;30;22
2020-10-01 22:45:00;31;18;4;8;15;26;11
2020-10-01 23:00:00;25;18;1;4;6;19;20
2020-10-01 23:15:00;21;6;1;6;7;15;10
2020-10-01 23:30:00;25;9;3;3;9;20;7
2020-10-01 23:45:00;13;6;2;4;7;20;7
