DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(TAFGA);10(TAFBA);11(TAFGB);12(TAFBB);13(TAFBC)
2019-11-26 00:00:00;0;9;5;9;3;0;0;0;0;0;0;0;0
2019-11-26 00:15:00;1;10;4;15;3;0;0;0;0;0;0;0;0
2019-11-26 00:30:00;0;5;2;9;2;1;1;0;0;0;0;0;0
2019-11-26 00:45:00;0;7;2;15;5;0;0;0;0;0;0;0;0
2019-11-26 01:00:00;0;8;0;11;1;0;0;0;0;0;0;0;0
2019-11-26 01:15:00;0;8;4;10;2;0;0;0;0;0;0;0;0
2019-11-26 01:30:00;0;9;1;9;2;0;0;0;0;0;0;0;0
2019-11-26 01:45:00;0;9;2;5;3;0;0;0;0;0;0;0;0
2019-11-26 02:00:00;1;7;3;5;1;0;0;0;0;0;0;0;0
2019-11-26 02:15:00;0;9;2;6;0;2;0;1;0;0;0;0;0
2019-11-26 02:30:00;0;6;1;14;0;0;0;1;0;0;0;0;0
2019-11-26 02:45:00;1;4;1;3;1;0;0;0;0;0;0;0;0
2019-11-26 03:00:00;1;8;1;10;4;1;1;1;0;0;0;0;0
2019-11-26 03:15:00;0;8;2;8;4;0;0;0;0;0;0;0;0
2019-11-26 03:30:00;2;13;2;19;6;0;0;1;0;0;0;0;0
2019-11-26 03:45:00;0;9;1;10;4;1;0;0;0;0;0;0;0
2019-11-26 04:00:00;0;13;5;6;3;0;0;1;0;0;0;0;0
2019-11-26 04:15:00;1;10;7;14;2;1;0;0;0;0;0;0;0
2019-11-26 04:30:00;2;15;8;31;6;2;0;0;0;0;0;0;0
2019-11-26 04:45:00;0;18;6;37;14;0;1;2;0;0;0;0;0
2019-11-26 05:00:00;0;34;16;89;78;3;0;2;0;0;0;0;0
2019-11-26 05:15:00;2;37;21;123;124;1;2;3;0;0;0;0;0
2019-11-26 05:30:00;4;53;63;122;120;3;1;3;0;0;0;0;0
2019-11-26 05:45:00;14;92;99;119;129;3;0;0;0;0;0;0;0
2019-11-26 06:00:00;26;133;122;118;143;7;12;12;0;0;0;0;0
2019-11-26 06:15:00;10;113;111;139;160;14;15;20;0;0;0;0;0
2019-11-26 06:30:00;8;83;90;133;154;12;11;11;0;0;0;0;0
2019-11-26 06:45:00;12;80;87;109;125;14;6;12;0;0;4;0;0
