DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(TAFGA);10(TAFBA);11(TAFGB);12(TAFBB);13(TAFBC)
2020-04-09 00:00:00;0;5;1;2;0;1;1;1;0;0;0;0;0
2020-04-09 00:15:00;0;3;1;5;3;0;0;0;0;0;0;0;0
2020-04-09 00:30:00;0;2;0;0;1;0;1;1;0;0;0;0;0
2020-04-09 00:45:00;0;5;2;5;2;1;0;0;0;0;0;0;0
2020-04-09 01:00:00;0;3;1;1;0;0;0;0;0;0;0;0;0
2020-04-09 01:15:00;0;1;0;2;3;0;0;0;0;0;0;0;0
2020-04-09 01:30:00;0;4;2;1;3;0;1;1;0;0;0;0;0
2020-04-09 01:45:00;0;4;2;2;5;0;1;2;0;0;0;0;0
2020-04-09 02:00:00;0;6;3;1;3;0;0;0;0;0;0;0;0
2020-04-09 02:15:00;0;4;0;6;1;1;0;0;0;0;0;0;0
2020-04-09 02:30:00;0;4;0;3;3;0;0;1;0;0;0;0;0
2020-04-09 02:45:00;0;6;1;1;0;0;0;0;0;0;0;0;0
2020-04-09 03:00:00;0;7;0;4;3;0;0;0;0;0;0;0;0
2020-04-09 03:15:00;0;5;1;5;3;0;0;0;0;0;0;0;0
2020-04-09 03:30:00;0;1;0;5;0;1;0;1;0;0;0;0;0
2020-04-09 03:45:00;0;7;1;3;3;0;0;0;0;0;0;0;0
2020-04-09 04:00:00;0;9;0;3;1;0;0;0;0;0;0;0;0
2020-04-09 04:15:00;0;6;3;5;3;2;0;0;0;0;0;0;0
2020-04-09 04:30:00;3;11;3;3;2;1;0;0;0;0;0;0;0
2020-04-09 04:45:00;5;13;3;10;3;4;1;2;0;0;0;0;0
2020-04-09 05:00:00;0;19;3;15;10;1;0;2;0;0;0;0;0
2020-04-09 05:15:00;0;28;20;33;15;1;1;2;0;0;0;0;0
2020-04-09 05:30:00;4;44;37;73;42;1;1;3;0;0;0;0;0
2020-04-09 05:45:00;8;39;24;47;50;6;0;1;0;0;0;0;0
2020-04-09 06:00:00;16;51;46;57;31;9;2;4;0;0;0;0;0
2020-04-09 06:15:00;11;49;28;63;56;13;12;16;0;0;0;0;0
2020-04-09 06:30:00;17;73;37;83;54;14;11;10;0;0;2;0;0
2020-04-09 06:45:00;17;55;53;74;68;19;19;11;1;0;3;0;0
2020-04-09 07:00:00;26;44;36;64;70;31;19;22;6;0;0;0;0
2020-04-09 07:15:00;23;55;44;64;62;16;10;21;4;0;3;0;0
2020-04-09 07:30:00;26;52;43;73;60;16;12;20;0;0;6;0;0
2020-04-09 07:45:00;32;49;36;79;63;34;21;32;4;0;9;0;0
2020-04-09 08:00:00;34;45;25;63;40;27;21;39;1;0;4;0;0
2020-04-09 08:15:00;29;53;28;53;39;18;18;29;1;0;0;0;0
2020-04-09 08:30:00;38;41;33;61;35;26;20;52;4;0;2;0;0
2020-04-09 08:45:00;40;53;48;60;37;29;23;32;6;0;1;0;0
2020-04-09 09:00:00;45;50;35;55;40;32;20;39;0;0;9;0;0
2020-04-09 09:15:00;47;59;43;58;38;34;27;38;6;0;20;0;0
2020-04-09 09:30:00;49;60;39;55;45;23;38;44;6;0;2;0;0
2020-04-09 09:45:00;48;57;51;59;38;27;40;52;8;0;20;1;1
2020-04-09 10:00:00;41;57;47;53;40;31;29;45;7;0;10;0;0
2020-04-09 10:15:00;43;54;51;64;31;29;35;51;12;0;4;0;0
2020-04-09 10:30:00;46;62;55;64;44;26;37;43;19;0;7;2;0
2020-04-09 10:45:00;42;65;60;52;32;28;34;47;12;0;8;0;0
2020-04-09 11:00:00;43;60;45;62;47;33;35;45;10;0;22;0;0
2020-04-09 11:15:00;36;59;39;52;46;25;45;48;6;0;13;0;0
2020-04-09 11:30:00;52;74;64;66;45;27;30;41;23;7;1;0;0
2020-04-09 11:45:00;50;69;58;51;38;24;28;45;14;0;4;0;0
2020-04-09 12:00:00;40;72;73;50;38;27;37;40;8;1;13;6;0
2020-04-09 12:15:00;44;65;53;63;33;30;33;51;4;0;11;3;2
2020-04-09 12:30:00;40;70;46;64;32;34;35;40;5;8;3;0;2
2020-04-09 12:45:00;37;74;67;50;44;13;30;35;7;0;5;2;0
2020-04-09 13:00:00;35;52;64;59;41;20;26;39;14;2;13;0;0
2020-04-09 13:15:00;46;71;63;61;35;19;31;40;5;0;14;0;0
2020-04-09 13:30:00;31;67;45;59;44;17;35;41;8;0;0;0;0
2020-04-09 13:45:00;28;71;82;74;46;13;35;38;2;0;5;1;0
2020-04-09 14:00:00;52;75;86;77;54;24;26;35;25;14;9;0;0
2020-04-09 14:15:00;29;91;87;73;52;28;31;27;25;0;18;0;0
2020-04-09 14:30:00;44;101;71;62;38;26;28;35;11;0;12;0;0
2020-04-09 14:45:00;42;76;86;55;33;31;34;44;4;0;14;0;0
2020-04-09 15:00:00;34;76;70;61;32;22;38;39;3;9;27;7;0
2020-04-09 15:15:00;37;89;68;61;45;16;31;33;10;0;6;0;0
2020-04-09 15:30:00;44;78;80;66;42;29;49;38;11;0;1;0;0
2020-04-09 15:45:00;47;89;90;66;44;37;26;37;10;7;0;0;0
2020-04-09 16:00:00;49;90;78;65;48;23;43;56;4;0;6;3;0
2020-04-09 16:15:00;46;80;76;68;46;20;40;40;11;2;8;0;0
2020-04-09 16:30:00;39;83;78;63;47;39;35;46;3;0;10;0;0
2020-04-09 16:45:00;41;83;81;65;50;22;34;36;8;3;7;3;0
2020-04-09 17:00:00;46;68;72;62;40;38;61;69;20;0;11;0;0
2020-04-09 17:15:00;51;73;78;59;46;27;32;44;9;0;4;0;0
2020-04-09 17:30:00;44;75;61;64;42;31;37;39;1;0;30;2;0
2020-04-09 17:45:00;44;60;55;61;43;20;43;56;11;2;5;0;0
2020-04-09 18:00:00;31;66;49;47;40;31;39;44;3;0;16;0;0
2020-04-09 18:15:00;50;54;43;53;36;26;31;34;4;0;11;0;0
2020-04-09 18:30:00;47;48;43;47;37;34;41;57;15;0;4;0;0
2020-04-09 18:45:00;35;53;37;43;26;26;29;36;7;0;15;1;0
2020-04-09 19:00:00;36;28;37;43;29;28;36;36;6;0;8;0;0
2020-04-09 19:15:00;29;48;39;42;28;16;33;39;9;0;4;0;0
2020-04-09 19:30:00;29;39;29;39;27;17;27;34;4;0;120;0;0
2020-04-09 19:45:00;3;29;12;34;16;9;26;37;3;0;0;0;0
2020-04-09 20:00:00;4;25;22;24;17;1;23;25;1;0;0;0;0
2020-04-09 20:15:00;1;31;18;26;24;1;3;1;3;0;2;0;0
2020-04-09 20:30:00;3;26;13;23;15;1;2;4;5;0;1;0;0
2020-04-09 20:45:00;1;22;11;22;17;0;1;1;1;0;0;0;0
2020-04-09 21:00:00;0;12;8;34;15;1;2;2;0;0;0;0;0
2020-04-09 21:15:00;3;25;11;29;14;1;0;3;0;0;0;0;0
2020-04-09 21:30:00;1;20;14;31;11;0;0;2;0;0;0;0;0
2020-04-09 21:45:00;0;24;11;19;14;0;0;1;0;0;0;0;0
2020-04-09 22:00:00;2;40;14;25;14;0;0;3;0;0;0;0;0
2020-04-09 22:15:00;0;17;7;12;8;1;1;0;0;0;0;0;0
2020-04-09 22:30:00;0;15;4;6;8;0;1;1;0;0;0;0;0
2020-04-09 22:45:00;1;15;2;9;9;1;2;3;0;0;0;0;0
2020-04-09 23:00:00;0;7;3;14;6;0;0;0;0;0;0;0;0
2020-04-09 23:15:00;0;4;2;15;4;0;3;6;0;0;0;0;0
2020-04-09 23:30:00;0;8;0;6;5;0;1;1;0;0;0;0;0
2020-04-09 23:45:00;0;2;2;5;2;0;0;1;0;0;0;0;0
