DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(TAFGA);10(TAFBA);11(TAFGB);12(TAFBB);13(TAFBC)
2020-05-15 00:00:00;0;3;4;10;4;0;0;0;0;0;0;0;0
2020-05-15 00:15:00;0;8;2;12;10;2;0;0;0;0;0;0;0
2020-05-15 00:30:00;0;14;1;6;4;1;0;0;0;0;0;0;0
2020-05-15 00:45:00;0;5;2;5;7;0;0;0;0;0;0;0;0
2020-05-15 01:00:00;1;6;4;9;6;0;0;0;0;0;0;0;0
2020-05-15 01:15:00;0;4;1;8;3;0;1;1;0;0;0;0;0
2020-05-15 01:30:00;0;3;1;2;3;0;0;0;0;0;0;0;0
2020-05-15 01:45:00;0;7;2;11;3;0;0;0;0;0;0;0;0
2020-05-15 02:00:00;0;8;1;4;3;0;0;0;0;0;0;0;0
2020-05-15 02:15:00;0;7;0;7;2;1;0;0;0;0;0;0;0
2020-05-15 02:30:00;0;8;1;7;0;0;0;1;0;0;0;0;0
2020-05-15 02:45:00;0;4;1;8;0;0;0;0;0;0;0;0;0
2020-05-15 03:00:00;0;0;0;2;2;1;0;0;0;0;0;0;0
2020-05-15 03:15:00;0;3;0;2;3;1;0;0;0;0;0;0;0
2020-05-15 03:30:00;0;4;0;7;0;0;0;0;0;0;0;0;0
2020-05-15 03:45:00;0;3;0;2;2;0;0;0;0;0;0;0;0
2020-05-15 04:00:00;1;11;8;2;4;0;0;1;0;0;0;0;0
2020-05-15 04:15:00;1;8;2;6;3;1;1;1;0;0;0;0;0
2020-05-15 04:30:00;0;7;2;13;5;2;0;0;0;0;0;0;0
2020-05-15 04:45:00;2;22;6;20;8;1;1;1;0;0;0;0;0
2020-05-15 05:00:00;1;67;37;48;24;0;0;3;0;0;0;0;0
2020-05-15 05:15:00;0;80;57;108;74;0;1;2;0;0;0;0;0
2020-05-15 05:30:00;5;47;34;101;94;2;1;4;0;0;0;0;0
2020-05-15 05:45:00;8;49;36;101;82;4;0;3;0;0;0;0;0
2020-05-15 06:00:00;8;60;49;66;56;2;4;3;0;0;0;0;0
2020-05-15 06:15:00;9;61;31;100;85;10;9;12;0;0;0;0;0
2020-05-15 06:30:00;16;66;44;107;100;16;8;9;2;0;0;0;0
2020-05-15 06:45:00;20;80;60;107;99;15;9;15;0;0;0;0;0
