DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(TAFGA);10(TAFBA);11(TAFGB);12(TAFBB);13(TAFBC)
2020-11-27 00:00:00;0;0;0;0;4;0;0;0;0;0;0;0;0
2020-11-27 00:15:00;0;0;0;0;4;0;0;1;0;0;0;0;0
2020-11-27 00:30:00;0;0;0;0;2;0;0;0;0;0;0;0;0
2020-11-27 00:45:00;0;0;0;0;7;3;2;2;0;0;0;0;0
2020-11-27 01:00:00;0;0;0;0;0;0;1;1;0;0;0;0;0
2020-11-27 01:15:00;0;0;0;0;1;0;0;0;0;0;0;0;0
2020-11-27 01:30:00;0;0;0;0;3;0;0;0;0;0;0;0;0
2020-11-27 01:45:00;0;0;0;0;2;1;0;0;0;0;0;0;0
2020-11-27 02:00:00;0;0;0;0;2;1;0;0;0;0;0;0;0
2020-11-27 02:15:00;0;0;0;0;1;0;0;0;0;0;0;0;0
2020-11-27 02:30:00;0;0;0;0;1;0;0;1;0;0;0;0;0
2020-11-27 02:45:00;0;0;0;0;1;0;0;0;0;0;0;0;0
2020-11-27 03:00:00;1;1;1;1;0;0;0;0;0;0;0;0;0
2020-11-27 03:15:00;0;0;0;0;3;0;0;0;0;0;0;0;0
2020-11-27 03:30:00;0;0;0;0;3;0;0;0;0;0;0;0;0
2020-11-27 03:45:00;0;0;0;0;4;0;0;0;0;0;0;0;0
2020-11-27 04:00:00;0;0;0;0;1;0;0;1;0;0;0;0;0
2020-11-27 04:15:00;0;0;0;0;5;2;1;1;0;0;0;0;0
2020-11-27 04:30:00;0;0;0;0;6;0;1;1;0;0;0;0;0
2020-11-27 04:45:00;0;0;0;0;14;0;0;0;0;0;0;0;0
2020-11-27 05:00:00;0;0;0;0;43;1;0;0;0;0;0;0;0
2020-11-27 05:15:00;0;0;0;0;85;2;1;1;0;0;0;0;0
2020-11-27 05:30:00;0;0;0;0;95;4;1;2;0;0;0;0;0
2020-11-27 05:45:00;0;0;0;0;85;3;1;2;0;0;0;0;0
2020-11-27 06:00:00;0;0;0;0;79;2;7;7;0;0;0;0;0
2020-11-27 06:15:00;0;0;0;0;103;7;12;12;0;0;0;0;0
2020-11-27 06:30:00;0;0;0;0;113;14;8;6;1;0;0;0;0
2020-11-27 06:45:00;0;0;0;0;91;18;13;12;0;0;2;0;0
2020-11-27 07:00:00;0;0;0;0;83;14;7;11;4;0;0;0;0
2020-11-27 07:15:00;0;0;0;0;107;19;12;15;9;0;0;0;0
2020-11-27 07:30:00;0;0;0;0;104;31;15;21;2;0;0;0;0
2020-11-27 07:45:00;0;0;0;0;79;33;19;18;2;0;5;2;0
2020-11-27 08:00:00;0;0;0;0;83;28;21;22;5;0;6;0;0
2020-11-27 08:15:00;0;0;0;0;65;17;20;27;3;0;4;0;0
2020-11-27 08:30:00;0;0;0;0;73;31;6;14;4;0;6;0;0
