DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFBA);10(TAFBA1);11(TAFBB);12(TAFBC);13(TAFBC1);14(TAFBD)
2020-02-08 00:00:00;12;11;7;3;15;11;6;5;0;0;0;0;0;0
2020-02-08 00:15:00;17;11;10;3;12;21;9;9;0;0;0;0;0;0
2020-02-08 00:30:00;16;15;8;5;9;19;6;3;0;0;0;0;0;0
2020-02-08 00:45:00;14;8;6;1;13;9;12;6;0;0;0;0;0;0
2020-02-08 01:00:00;14;10;9;1;10;10;6;3;0;0;0;0;0;0
2020-02-08 01:15:00;11;9;3;4;12;7;2;5;0;0;0;0;0;0
2020-02-08 01:30:00;10;11;5;5;6;11;11;7;0;0;0;0;0;0
2020-02-08 01:45:00;7;6;5;2;10;7;5;1;0;0;0;0;0;0
2020-02-08 02:00:00;9;4;7;0;8;7;7;2;0;0;0;0;0;0
2020-02-08 02:15:00;6;3;8;3;12;7;5;1;0;0;0;0;0;0
2020-02-08 02:30:00;7;4;5;2;4;5;9;3;0;0;0;0;0;0
2020-02-08 02:45:00;5;5;4;0;5;6;3;4;0;0;0;0;0;0
2020-02-08 03:00:00;9;3;5;0;2;7;4;2;0;0;0;0;0;0
2020-02-08 03:15:00;9;2;2;1;4;7;4;2;0;0;0;0;0;0
2020-02-08 03:30:00;3;2;4;0;5;0;3;3;0;0;0;0;0;0
2020-02-08 03:45:00;9;2;6;2;1;4;2;1;0;0;0;0;0;0
2020-02-08 04:00:00;5;0;4;2;7;8;7;2;0;0;0;0;0;0
2020-02-08 04:15:00;3;1;7;1;2;4;3;1;0;0;0;0;0;0
2020-02-08 04:30:00;4;5;2;2;7;3;3;2;0;0;0;0;0;0
2020-02-08 04:45:00;5;3;3;1;4;4;4;13;0;0;0;0;0;0
2020-02-08 05:00:00;12;8;8;3;7;9;7;5;0;0;0;0;0;0
2020-02-08 05:15:00;15;12;10;2;6;13;7;3;0;0;0;0;0;0
2020-02-08 05:30:00;32;13;7;3;16;18;18;8;0;0;0;0;0;0
2020-02-08 05:45:00;29;25;3;7;13;13;39;23;0;0;0;0;0;0
2020-02-08 06:00:00;31;26;6;4;12;22;90;67;0;0;0;0;0;0
2020-02-08 06:15:00;21;18;7;6;13;22;42;32;0;0;0;0;0;0
2020-02-08 06:30:00;29;19;13;1;20;20;21;14;0;0;0;0;0;0
2020-02-08 06:45:00;21;18;15;3;11;33;17;12;0;0;0;0;0;0
2020-02-08 07:00:00;18;12;8;0;24;21;14;10;0;0;0;0;0;1
2020-02-08 07:15:00;20;18;12;10;21;19;14;14;0;0;0;0;0;0
2020-02-08 07:30:00;36;26;17;8;31;35;22;21;0;0;0;0;0;0
2020-02-08 07:45:00;41;27;14;8;38;35;14;11;0;0;0;0;0;0
2020-02-08 08:00:00;38;33;16;8;21;29;12;10;0;0;0;0;0;0
2020-02-08 08:15:00;41;30;16;5;41;47;19;16;0;0;3;0;0;0
2020-02-08 08:30:00;50;43;19;6;23;32;26;14;0;0;0;0;0;0
2020-02-08 08:45:00;80;77;29;12;49;49;45;26;0;0;0;0;0;0
2020-02-08 09:00:00;66;58;23;10;37;53;17;24;0;0;0;0;0;0
2020-02-08 09:15:00;71;76;24;12;51;54;29;26;0;0;0;0;0;4
2020-02-08 09:30:00;65;70;26;9;51;68;29;19;0;0;0;0;0;0
2020-02-08 09:45:00;111;105;35;26;79;91;49;43;0;0;0;0;0;0
2020-02-08 10:00:00;96;109;31;16;63;79;35;22;0;0;0;0;0;0
2020-02-08 10:15:00;85;80;33;17;64;79;29;18;0;0;0;0;0;13
2020-02-08 10:30:00;110;121;47;35;85;113;35;46;0;0;0;0;0;18
2020-02-08 10:45:00;100;111;37;19;74;94;39;29;0;0;0;0;0;0
2020-02-08 11:00:00;110;121;39;24;88;97;37;31;0;0;2;0;0;0
2020-02-08 11:15:00;104;105;39;20;75;98;38;36;0;0;0;0;0;0
2020-02-08 11:30:00;99;113;45;28;91;105;44;37;0;10;0;0;0;0
2020-02-08 11:45:00;122;133;41;31;96;114;36;34;0;0;0;0;0;0
2020-02-08 12:00:00;111;106;59;24;94;126;44;42;0;0;0;0;0;0
2020-02-08 12:15:00;102;111;52;33;87;113;41;36;0;0;0;0;0;0
2020-02-08 12:30:00;131;109;44;25;101;124;36;29;3;0;0;0;2;25
2020-02-08 12:45:00;131;144;51;31;109;127;39;35;0;0;0;0;0;0
2020-02-08 13:00:00;117;119;40;27;88;111;52;42;0;0;0;0;0;1
2020-02-08 13:15:00;132;133;51;39;104;112;42;33;0;0;3;0;0;1
2020-02-08 13:30:00;137;129;53;25;122;133;40;32;0;0;0;0;0;0
2020-02-08 13:45:00;114;105;43;32;86;98;49;30;0;6;0;0;0;0
2020-02-08 14:00:00;135;136;40;33;121;144;47;33;0;1;5;0;0;6
2020-02-08 14:15:00;139;137;32;28;107;143;49;34;0;6;0;3;0;0
2020-02-08 14:30:00;118;129;41;32;119;140;58;34;0;0;0;0;0;0
2020-02-08 14:45:00;132;121;47;31;114;145;42;34;0;0;2;0;0;0
2020-02-08 15:00:00;124;106;36;25;122;139;51;37;0;0;0;0;0;0
2020-02-08 15:15:00;127;116;52;39;105;128;52;25;2;10;0;1;0;0
2020-02-08 15:30:00;118;124;44;32;108;119;35;33;0;7;0;0;0;5
2020-02-08 15:45:00;107;117;35;26;105;137;36;41;0;0;0;0;0;5
2020-02-08 16:00:00;132;126;37;17;101;126;60;35;0;0;0;0;0;9
2020-02-08 16:15:00;118;119;51;23;108;143;47;25;0;0;0;0;14;0
2020-02-08 16:30:00;111;122;36;29;108;129;30;26;0;0;1;0;0;0
2020-02-08 16:45:00;115;109;47;24;109;126;37;26;0;0;0;0;0;11
2020-02-08 17:00:00;107;115;44;27;111;134;43;24;0;0;2;0;0;0
2020-02-08 17:15:00;113;123;44;34;98;109;43;31;0;0;10;0;0;3
2020-02-08 17:30:00;119;128;39;27;117;159;60;35;0;0;0;0;0;0
2020-02-08 17:45:00;127;127;35;19;130;151;31;37;0;3;0;0;0;0
2020-02-08 18:00:00;113;113;38;23;103;131;45;38;0;0;0;0;0;0
2020-02-08 18:15:00;88;106;33;22;100;117;34;32;0;17;0;0;0;4
2020-02-08 18:30:00;107;96;31;23;88;123;43;29;0;0;0;0;0;6
2020-02-08 18:45:00;95;98;41;19;86;119;35;28;0;0;0;0;0;1
2020-02-08 19:00:00;105;104;27;19;80;110;39;30;0;0;6;0;0;0
2020-02-08 19:15:00;82;82;37;13;88;124;38;28;0;2;0;0;0;0
2020-02-08 19:30:00;59;64;30;11;80;95;31;25;0;0;0;0;0;0
2020-02-08 19:45:00;55;61;26;9;69;103;25;17;0;0;4;0;0;0
2020-02-08 20:00:00;56;63;18;9;91;115;30;19;0;0;0;0;0;0
2020-02-08 20:15:00;55;63;22;12;46;72;17;11;0;0;0;0;0;0
2020-02-08 20:30:00;51;63;27;9;60;73;29;21;0;0;0;0;0;0
2020-02-08 20:45:00;49;53;18;10;48;60;22;18;0;0;0;0;0;0
2020-02-08 21:00:00;44;47;18;9;38;46;16;12;0;0;0;0;0;0
2020-02-08 21:15:00;47;53;29;9;39;63;17;11;0;0;0;0;0;0
2020-02-08 21:30:00;33;41;25;8;39;49;18;14;0;0;0;0;0;0
2020-02-08 21:45:00;39;36;21;8;32;47;24;20;0;0;0;0;0;0
2020-02-08 22:00:00;30;39;23;5;32;56;20;5;0;0;0;0;0;0
2020-02-08 22:15:00;34;37;17;4;47;71;12;12;5;0;0;2;0;6
2020-02-08 22:30:00;28;26;19;8;35;45;13;9;0;0;0;0;0;0
2020-02-08 22:45:00;30;25;16;9;30;36;15;10;0;0;0;0;0;19
2020-02-08 23:00:00;29;27;22;6;29;26;14;11;0;0;0;0;0;0
2020-02-08 23:15:00;34;33;16;6;33;29;11;6;0;0;0;0;0;0
2020-02-08 23:30:00;28;25;8;5;19;25;9;8;0;0;0;0;0;0
2020-02-08 23:45:00;20;16;17;6;19;35;14;9;0;0;0;0;0;0
