DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFBA);10(TAFBA1);11(TAFBB);12(TAFBC);13(TAFBC1);14(TAFBD)
2020-06-06 00:00:00;14;13;10;6;8;13;12;5;0;0;0;0;0;3
2020-06-06 00:15:00;24;13;10;5;11;14;11;6;0;0;0;0;0;0
2020-06-06 00:30:00;10;14;5;3;13;20;9;7;0;0;0;0;0;0
2020-06-06 00:45:00;13;5;4;6;10;20;8;4;0;0;0;0;0;0
2020-06-06 01:00:00;13;10;1;3;10;13;9;4;0;0;0;0;0;0
2020-06-06 01:15:00;14;9;5;1;3;5;4;2;0;0;0;0;0;0
2020-06-06 01:30:00;7;5;3;2;8;6;6;9;0;0;0;0;0;0
2020-06-06 01:45:00;6;12;5;3;7;8;4;1;0;0;0;0;0;0
2020-06-06 02:00:00;4;2;3;3;3;5;4;6;0;0;0;0;0;0
2020-06-06 02:15:00;3;5;2;2;12;7;3;2;0;0;0;0;0;0
2020-06-06 02:30:00;3;4;0;0;3;5;3;1;0;0;0;0;0;0
2020-06-06 02:45:00;4;3;1;0;7;6;0;2;0;0;0;0;0;0
2020-06-06 03:00:00;10;3;7;1;6;3;3;3;0;0;0;0;0;0
2020-06-06 03:15:00;10;3;1;2;1;4;2;1;0;0;0;0;0;0
2020-06-06 03:30:00;5;2;1;0;1;0;2;1;0;0;0;0;0;0
2020-06-06 03:45:00;2;1;2;0;3;10;1;0;0;0;0;0;0;0
2020-06-06 04:00:00;5;1;4;1;4;5;2;2;0;0;0;0;0;0
2020-06-06 04:15:00;2;1;0;1;4;7;3;3;0;0;0;0;0;0
2020-06-06 04:30:00;9;3;2;2;1;2;5;4;0;0;0;0;0;0
2020-06-06 04:45:00;5;0;6;1;3;3;5;6;0;0;0;0;0;0
2020-06-06 05:00:00;12;9;2;1;8;7;4;7;0;0;0;0;0;2
2020-06-06 05:15:00;17;5;7;4;8;11;6;9;0;0;0;0;0;0
2020-06-06 05:30:00;22;24;13;2;10;12;12;14;0;0;0;0;0;0
2020-06-06 05:45:00;22;12;8;1;12;10;33;24;0;0;0;0;0;0
2020-06-06 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-06 06:15:00;19;12;6;3;10;19;43;23;0;0;0;0;0;0
2020-06-06 06:30:00;17;10;8;5;13;25;22;9;0;0;0;0;0;0
2020-06-06 06:45:00;24;14;8;4;18;25;17;9;0;0;0;0;0;0
2020-06-06 07:00:00;17;16;12;7;11;23;15;12;0;0;0;0;0;0
2020-06-06 07:15:00;21;16;9;6;14;17;12;14;0;0;1;0;0;0
2020-06-06 07:30:00;34;27;13;5;26;29;16;10;0;0;0;0;0;0
2020-06-06 07:45:00;34;28;23;6;21;28;23;21;0;0;0;0;0;0
2020-06-06 08:00:00;32;24;14;8;22;27;19;14;0;0;0;0;0;0
2020-06-06 08:15:00;39;30;17;5;27;30;13;13;0;0;0;0;0;0
2020-06-06 08:30:00;47;52;21;12;34;36;26;17;0;0;0;0;0;0
2020-06-06 08:45:00;56;53;17;11;32;37;24;19;0;0;0;0;0;0
2020-06-06 09:00:00;49;46;26;20;44;60;34;18;0;0;0;0;0;0
2020-06-06 09:15:00;68;66;27;14;53;62;34;26;0;0;1;0;0;0
2020-06-06 09:30:00;73;72;25;21;51;62;29;30;0;0;0;7;0;0
2020-06-06 09:45:00;80;70;39;21;63;71;39;29;0;0;2;0;0;0
2020-06-06 10:00:00;72;69;34;13;57;77;37;17;0;0;0;0;0;0
2020-06-06 10:15:00;72;79;39;24;60;85;36;19;0;0;0;0;0;0
2020-06-06 10:30:00;95;90;34;21;60;87;37;22;0;0;0;0;0;0
2020-06-06 10:45:00;97;89;27;12;60;87;43;35;0;0;0;0;0;0
2020-06-06 11:00:00;118;112;42;17;72;101;47;51;0;0;0;0;8;0
2020-06-06 11:15:00;102;99;35;20;80;101;41;20;0;0;0;0;0;0
2020-06-06 11:30:00;96;104;39;16;84;107;33;37;0;0;0;0;0;0
2020-06-06 12:00:00;100;117;38;31;85;115;42;35;0;0;0;0;0;0
2020-06-06 12:15:00;109;92;33;25;71;108;39;37;0;3;0;0;9;0
2020-06-06 12:30:00;110;113;44;17;78;100;47;43;0;0;0;0;0;4
2020-06-06 12:45:00;105;127;41;20;85;97;43;27;3;0;4;0;1;1
2020-06-06 13:00:00;106;117;42;24;83;114;37;35;0;0;0;10;0;0
2020-06-06 13:15:00;102;104;41;29;76;94;43;38;0;0;1;0;0;0
2020-06-06 13:30:00;117;111;37;18;82;116;32;31;0;0;0;0;0;0
2020-06-06 13:45:00;138;130;29;26;86;125;55;37;0;8;1;0;0;0
