DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFBA);10(TAFBA1);11(TAFBB);12(TAFBC);13(TAFBC1);14(TAFBD)
2020-10-11 00:00:00;10;20;8;4;17;0;3;5;0;0;0;0;0;0
2020-10-11 00:15:00;15;13;13;8;23;0;7;8;0;0;0;0;0;0
2020-10-11 00:30:00;20;22;9;5;22;0;7;8;0;0;0;0;0;0
2020-10-11 00:45:00;15;18;6;2;17;0;14;3;0;0;0;0;0;0
2020-10-11 01:00:00;12;11;3;3;16;0;4;0;0;0;0;0;0;0
2020-10-11 01:15:00;18;15;9;5;18;0;5;1;0;0;0;0;0;0
2020-10-11 01:30:00;22;21;4;7;6;0;1;2;0;0;0;0;0;0
2020-10-11 01:45:00;10;14;10;4;13;0;4;1;0;0;0;0;0;0
2020-10-11 02:00:00;19;11;3;4;10;0;3;3;0;0;0;0;0;0
2020-10-11 02:15:00;11;8;4;3;8;0;4;2;0;0;0;0;0;0
2020-10-11 02:30:00;9;10;5;3;8;0;2;1;0;0;0;0;0;0
2020-10-11 02:45:00;9;6;5;4;7;0;3;3;0;0;0;0;0;0
2020-10-11 03:00:00;10;7;7;6;10;0;5;1;0;0;0;0;0;0
2020-10-11 03:15:00;6;7;6;3;3;0;6;2;0;0;0;0;0;0
2020-10-11 03:30:00;11;3;0;1;9;0;1;1;0;0;0;0;0;0
2020-10-11 03:45:00;9;3;0;2;4;0;3;4;0;0;0;0;0;0
2020-10-11 04:00:00;2;7;2;4;5;0;2;1;0;0;0;0;0;0
2020-10-11 04:15:00;5;5;4;2;9;0;3;0;0;0;0;0;0;0
2020-10-11 04:30:00;5;3;5;2;3;0;2;3;0;0;0;0;0;0
2020-10-11 04:45:00;4;0;3;1;2;0;2;3;0;0;0;0;0;0
2020-10-11 05:00:00;3;1;2;5;9;0;4;1;0;0;0;0;0;0
2020-10-11 05:15:00;8;4;2;2;6;0;0;1;0;0;0;0;0;0
2020-10-11 05:30:00;9;7;4;3;5;0;2;6;0;1;0;0;0;0
2020-10-11 05:45:00;13;9;4;1;1;0;1;2;0;0;0;0;0;0
2020-10-11 06:00:00;10;13;4;4;6;0;5;7;0;0;0;0;0;0
2020-10-11 06:15:00;12;3;2;2;6;0;8;7;0;0;0;0;0;6
2020-10-11 06:30:00;9;5;6;5;7;0;6;4;0;0;0;0;0;0
2020-10-11 06:45:00;12;3;1;3;11;0;5;3;0;0;0;0;0;0
2020-10-11 07:00:00;8;6;4;6;8;0;8;8;0;0;0;0;0;0
2020-10-11 07:15:00;15;6;6;5;7;0;6;6;0;0;0;0;3;0
2020-10-11 07:30:00;11;10;12;4;7;0;4;8;0;18;0;0;0;0
2020-10-11 07:45:00;7;9;0;1;11;0;7;11;0;0;0;0;0;0
2020-10-11 08:00:00;12;15;7;9;8;0;7;3;0;0;0;0;0;0
2020-10-11 08:15:00;15;11;6;6;13;0;11;7;0;0;0;0;0;0
2020-10-11 08:30:00;25;17;8;8;15;0;11;7;0;0;0;0;0;0
2020-10-11 08:45:00;26;22;14;3;15;0;11;9;0;0;0;0;0;0
2020-10-11 09:00:00;22;15;15;4;20;0;15;10;0;0;0;0;0;1
2020-10-11 09:15:00;34;19;14;5;29;0;24;15;1;0;0;0;0;0
2020-10-11 09:30:00;40;37;21;12;31;0;20;18;0;0;0;0;0;0
2020-10-11 09:45:00;42;41;22;11;36;0;18;20;0;0;0;0;0;0
2020-10-11 10:00:00;42;30;27;7;40;0;21;20;0;0;0;0;0;0
2020-10-11 10:15:00;45;38;11;6;36;0;16;15;0;0;0;0;0;0
2020-10-11 10:30:00;52;42;17;8;36;0;22;22;0;0;0;0;0;0
2020-10-11 10:45:00;49;41;27;11;33;0;24;19;0;0;0;0;0;0
2020-10-11 11:00:00;58;38;17;20;34;0;27;21;0;0;3;0;0;0
2020-10-11 11:15:00;52;45;21;12;58;0;16;22;0;16;5;0;0;0
2020-10-11 11:30:00;53;44;26;12;52;0;20;24;0;0;0;0;0;0
2020-10-11 11:45:00;47;47;31;9;39;0;30;24;0;0;0;0;0;0
2020-10-11 12:00:00;44;45;26;11;34;0;24;19;0;0;0;0;0;0
2020-10-11 12:15:00;50;57;26;11;42;0;27;21;0;0;6;0;0;0
2020-10-11 12:30:00;52;47;38;7;49;0;25;19;0;2;0;2;0;0
2020-10-11 12:45:00;56;60;34;13;50;0;31;23;0;0;0;0;0;0
2020-10-11 13:00:00;59;62;28;16;47;0;31;21;0;0;0;0;0;0
2020-10-11 13:15:00;54;56;35;10;49;0;24;14;0;0;0;0;0;0
2020-10-11 13:30:00;70;70;27;8;51;0;20;22;7;0;0;0;0;0
2020-10-11 13:45:00;64;66;31;13;46;0;29;19;0;0;0;0;0;0
2020-10-11 14:00:00;57;78;38;15;51;0;40;28;0;1;1;0;0;6
2020-10-11 14:15:00;61;66;35;10;58;0;26;17;0;0;0;0;0;0
2020-10-11 14:30:00;61;67;25;14;60;0;26;18;0;0;0;0;0;0
2020-10-11 14:45:00;81;77;29;14;44;0;39;35;0;0;0;2;0;0
2020-10-11 15:00:00;62;68;22;12;48;0;34;24;0;0;21;0;0;0
2020-10-11 15:15:00;59;61;29;15;46;0;28;26;0;7;1;0;0;0
2020-10-11 15:30:00;53;63;35;13;50;0;27;7;0;1;1;0;0;0
2020-10-11 15:45:00;74;69;39;15;44;0;33;26;0;0;0;0;0;0
2020-10-11 16:00:00;62;63;35;18;54;0;37;28;0;0;0;0;0;0
2020-10-11 16:15:00;68;62;38;24;65;0;33;24;0;0;0;0;0;0
2020-10-11 16:30:00;70;56;29;14;52;0;29;23;0;0;0;0;0;3
2020-10-11 16:45:00;71;65;30;13;61;0;35;30;0;0;1;0;0;0
2020-10-11 17:00:00;66;58;43;14;66;0;24;17;0;0;0;0;0;1
2020-10-11 17:15:00;67;65;30;20;46;0;36;23;0;4;2;0;0;0
2020-10-11 17:30:00;62;68;26;13;63;0;36;20;0;1;0;0;0;0
2020-10-11 17:45:00;66;70;41;17;60;0;21;19;0;0;0;0;0;0
2020-10-11 18:00:00;64;65;27;19;55;0;32;22;0;2;0;0;0;0
2020-10-11 18:15:00;55;51;45;10;53;0;28;10;0;0;7;0;0;0
2020-10-11 18:30:00;66;70;30;15;62;0;24;25;0;0;0;0;0;0
2020-10-11 18:45:00;54;59;22;22;48;0;30;20;0;3;0;0;0;1
2020-10-11 19:00:00;59;58;20;16;44;0;28;27;0;0;0;0;1;0
2020-10-11 19:15:00;52;43;23;10;45;0;25;19;0;0;0;0;0;0
2020-10-11 19:30:00;64;52;25;10;39;0;21;24;0;0;0;0;0;0
2020-10-11 19:45:00;59;51;27;14;26;0;30;23;0;0;0;0;0;0
2020-10-11 20:00:00;43;29;26;13;34;0;27;12;0;0;0;0;0;0
2020-10-11 20:15:00;49;44;28;11;39;0;9;13;0;0;0;0;4;0
2020-10-11 20:30:00;34;40;15;9;35;0;31;18;0;0;0;0;4;0
2020-10-11 20:45:00;37;31;17;7;27;0;15;13;0;0;0;0;0;0
2020-10-11 21:00:00;41;26;21;11;31;0;17;9;0;0;0;0;0;0
2020-10-11 21:15:00;34;37;15;9;25;0;12;7;0;0;0;0;0;0
2020-10-11 21:30:00;37;43;11;17;25;0;19;16;0;0;0;0;0;0
2020-10-11 21:45:00;26;16;8;6;26;0;10;14;0;0;0;0;0;0
