DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2)
2020-03-13 00:00:00;0;10;1;0;2;1;8;1;0;0
2020-03-13 00:15:00;0;16;0;0;2;0;10;11;3;1
2020-03-13 00:30:00;0;8;0;0;0;2;11;6;1;1
2020-03-13 00:45:00;0;12;1;0;0;0;10;4;0;0
2020-03-13 01:00:00;0;9;1;1;1;1;14;6;1;0
2020-03-13 01:15:00;0;11;0;0;0;1;10;4;0;0
2020-03-13 01:30:00;0;11;1;0;0;0;6;3;0;0
2020-03-13 01:45:00;0;7;0;0;0;2;5;4;0;0
2020-03-13 02:00:00;0;11;2;0;1;1;2;5;0;0
2020-03-13 02:15:00;0;14;0;0;0;0;8;6;0;0
2020-03-13 02:30:00;0;5;0;0;0;0;5;1;0;0
2020-03-13 02:45:00;0;6;0;0;0;0;6;2;0;0
2020-03-13 03:00:00;0;8;0;0;0;1;7;5;1;1
2020-03-13 03:15:00;0;7;0;0;1;1;3;3;0;0
2020-03-13 03:30:00;0;7;0;0;1;3;10;0;0;0
2020-03-13 03:45:00;0;11;0;0;0;1;13;2;0;0
2020-03-13 04:00:00;0;10;1;0;0;5;10;6;1;1
2020-03-13 04:15:00;0;15;0;1;0;2;9;4;2;1
2020-03-13 04:30:00;0;18;1;0;1;12;23;9;0;0
2020-03-13 04:45:00;0;22;0;0;1;27;46;18;2;2
2020-03-13 05:00:00;0;28;1;2;1;86;55;57;2;3
2020-03-13 05:15:00;0;48;0;2;0;159;87;105;3;5
2020-03-13 05:30:00;0;74;6;8;12;170;79;130;7;13
2020-03-13 05:45:00;0;111;24;49;53;169;70;105;17;24
2020-03-13 06:00:00;0;136;38;60;66;157;62;95;17;22
2020-03-13 06:15:00;0;110;10;19;22;191;63;131;27;37
2020-03-13 06:30:00;0;97;6;11;8;242;74;144;36;56
2020-03-13 06:45:00;0;126;7;8;8;211;81;145;45;53
2020-03-13 07:00:00;0;83;11;16;19;204;73;168;23;33
2020-03-13 07:15:00;0;94;6;14;11;199;103;199;20;26
2020-03-13 07:30:00;0;105;9;14;12;244;95;209;19;29
2020-03-13 07:45:00;0;147;9;21;11;228;76;175;28;40
2020-03-13 08:00:00;0;103;8;16;11;154;84;150;14;30
2020-03-13 08:15:00;0;106;4;18;16;155;76;154;9;33
2020-03-13 08:30:00;0;101;8;15;8;139;77;149;5;28
2020-03-13 08:45:00;0;119;7;18;15;102;73;147;13;18
