DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2)
2020-11-09 00:00:00;0;10;0;0;0;0;13;2;0;0
2020-11-09 00:15:00;0;13;0;0;0;1;4;6;0;0
2020-11-09 00:30:00;0;4;0;0;0;1;13;5;0;0
2020-11-09 00:45:00;0;3;0;0;0;1;8;4;0;0
2020-11-09 01:00:00;0;5;0;0;0;0;5;6;0;0
2020-11-09 01:15:00;0;3;0;0;0;0;11;4;0;0
2020-11-09 01:30:00;0;5;0;0;0;0;8;2;0;0
2020-11-09 01:45:00;0;6;0;1;0;0;3;1;0;0
2020-11-09 02:00:00;0;6;1;0;0;0;3;0;0;0
2020-11-09 02:15:00;0;5;0;0;0;0;5;1;0;0
2020-11-09 02:30:00;0;4;0;0;1;0;6;1;0;0
2020-11-09 02:45:00;0;5;0;0;0;0;6;0;1;1
2020-11-09 03:00:00;0;3;0;0;0;0;7;1;0;0
2020-11-09 03:15:00;0;4;0;0;0;0;2;2;0;0
2020-11-09 03:30:00;0;5;0;0;0;1;3;3;0;0
2020-11-09 03:45:00;0;7;0;0;0;1;3;4;0;0
2020-11-09 04:00:00;0;5;0;0;0;3;9;2;0;0
2020-11-09 04:15:00;0;6;1;0;0;3;12;6;1;1
2020-11-09 04:30:00;0;15;0;1;0;6;8;7;2;1
2020-11-09 04:45:00;0;24;0;0;0;10;32;19;0;0
2020-11-09 05:00:00;0;20;1;2;1;68;43;32;3;3
2020-11-09 05:15:00;0;46;3;0;1;133;59;79;8;11
2020-11-09 05:30:00;0;69;2;4;4;182;61;99;9;17
2020-11-09 05:45:00;0;62;7;14;13;141;45;77;12;25
2020-11-09 06:00:00;0;64;12;36;35;107;65;89;5;16
2020-11-09 06:15:00;0;74;2;9;5;166;52;121;15;25
2020-11-09 06:30:00;0;95;3;16;8;193;68;131;34;47
2020-11-09 06:45:00;0;103;4;14;8;165;65;148;17;29
2020-11-09 07:00:00;0;74;8;18;10;135;54;136;14;22
2020-11-09 07:15:00;0;94;9;18;8;157;71;169;11;18
2020-11-09 07:30:00;0;121;11;15;7;160;85;191;14;16
2020-11-09 07:45:00;0;134;12;12;18;167;82;152;22;26
2020-11-09 08:00:00;0;116;6;16;11;149;92;153;16;17
