DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);7(TARDCL)
2020-08-22 00:00:00;10;11;15;11;3;3;0
2020-08-22 00:15:00;26;33;30;33;3;7;0
2020-08-22 00:30:00;12;23;21;19;2;6;0
2020-08-22 00:45:00;23;24;32;25;4;5;0
2020-08-22 01:00:00;16;18;13;13;1;3;0
2020-08-22 01:15:00;13;23;16;9;2;2;0
2020-08-22 01:30:00;6;10;14;10;2;5;0
2020-08-22 01:45:00;10;18;8;12;0;1;0
2020-08-22 02:00:00;8;15;7;11;3;3;0
2020-08-22 02:15:00;14;17;7;6;0;2;0
2020-08-22 02:30:00;8;10;6;7;1;1;0
2020-08-22 02:45:00;8;9;15;6;0;1;0
2020-08-22 03:00:00;9;9;7;7;1;3;0
2020-08-22 03:15:00;6;10;7;10;2;1;0
2020-08-22 03:30:00;4;10;7;2;0;1;0
2020-08-22 03:45:00;8;11;2;4;1;0;0
2020-08-22 04:00:00;9;13;3;3;1;1;0
2020-08-22 04:15:00;6;17;8;9;1;1;0
2020-08-22 04:30:00;4;10;6;3;3;0;0
2020-08-22 04:45:00;4;8;6;8;0;4;0
2020-08-22 05:00:00;10;12;9;5;2;4;0
2020-08-22 05:15:00;12;14;21;12;2;4;0
2020-08-22 05:30:00;14;13;34;19;3;2;0
2020-08-22 05:45:00;30;28;31;21;4;4;0
2020-08-22 06:00:00;24;36;19;16;1;2;0
2020-08-22 06:15:00;22;20;15;13;5;2;0
2020-08-22 06:30:00;18;20;22;19;2;1;0
2020-08-22 06:45:00;20;29;27;20;0;6;0
2020-08-22 07:00:00;15;26;26;19;3;2;0
2020-08-22 07:15:00;12;26;30;26;0;2;0
2020-08-22 07:30:00;22;29;23;25;7;5;0
2020-08-22 07:45:00;39;37;26;26;5;3;0
2020-08-22 08:00:00;37;35;34;34;13;6;0
2020-08-22 08:15:00;33;53;37;48;10;3;0
2020-08-22 08:30:00;33;53;45;54;6;7;7
2020-08-22 08:45:00;44;59;60;59;18;11;0
2020-08-22 09:00:00;40;67;53;66;18;14;1
2020-08-22 09:15:00;44;66;55;65;100;15;0
2020-08-22 09:30:00;66;86;70;76;13;15;0
2020-08-22 09:45:00;55;89;75;84;22;22;0
2020-08-22 10:00:00;63;104;90;91;25;22;0
2020-08-22 10:15:00;79;93;83;89;21;19;0
2020-08-22 10:30:00;65;93;62;79;22;22;0
2020-08-22 10:45:00;58;100;95;94;21;20;0
2020-08-22 11:00:00;82;114;92;102;50;18;0
2020-08-22 11:15:00;80;129;102;122;18;17;0
2020-08-22 11:30:00;72;111;100;111;14;24;0
2020-08-22 11:45:00;77;112;96;118;11;22;0
2020-08-22 12:00:00;89;130;98;103;17;21;0
2020-08-22 12:15:00;72;135;103;114;16;21;0
2020-08-22 12:30:00;80;134;83;114;25;31;0
2020-08-22 12:45:00;84;137;102;103;22;19;0
2020-08-22 13:00:00;80;127;126;118;13;27;0
2020-08-22 13:15:00;96;130;99;103;28;40;0
2020-08-22 13:30:00;86;130;121;126;18;19;1
2020-08-22 13:45:00;92;138;124;134;21;26;0
2020-08-22 14:00:00;97;142;108;129;108;22;3
2020-08-22 14:15:00;97;154;101;101;21;27;2
2020-08-22 14:30:00;93;147;111;126;24;33;0
2020-08-22 14:45:00;94;133;110;128;18;29;0
2020-08-22 15:00:00;90;142;102;133;19;24;0
2020-08-22 15:15:00;62;126;103;121;25;18;0
2020-08-22 15:30:00;85;143;94;104;15;23;9
2020-08-22 15:45:00;83;146;104;139;23;17;0
2020-08-22 16:00:00;73;127;114;112;20;37;0
2020-08-22 16:15:00;90;160;97;121;33;18;2
2020-08-22 16:30:00;70;117;97;114;26;31;0
2020-08-22 16:45:00;77;159;99;108;10;28;0
2020-08-22 17:00:00;92;143;92;84;14;16;0
2020-08-22 17:15:00;75;146;102;102;15;21;1
2020-08-22 17:30:00;90;144;99;85;22;20;0
2020-08-22 17:45:00;75;136;109;93;15;29;1
2020-08-22 18:00:00;77;118;88;95;20;24;0
2020-08-22 18:15:00;64;113;109;110;19;27;4
2020-08-22 18:30:00;61;97;88;81;16;22;0
2020-08-22 18:45:00;63;122;73;83;18;31;7
2020-08-22 19:00:00;64;111;74;75;24;24;0
2020-08-22 19:15:00;60;95;75;93;11;25;0
2020-08-22 19:30:00;64;94;73;66;9;19;0
2020-08-22 19:45:00;50;89;66;64;8;15;0
2020-08-22 20:00:00;84;119;80;74;4;15;0
2020-08-22 20:15:00;61;89;56;57;4;11;3
2020-08-22 20:30:00;52;74;68;61;10;16;0
2020-08-22 20:45:00;50;54;56;45;9;9;0
2020-08-22 21:00:00;52;61;57;56;3;9;0
2020-08-22 21:15:00;35;48;40;30;5;8;0
2020-08-22 21:30:00;43;46;47;37;8;12;0
2020-08-22 21:45:00;30;51;28;28;4;8;0
2020-08-22 22:00:00;38;45;46;38;5;5;0
2020-08-22 22:15:00;30;44;30;23;2;4;0
2020-08-22 22:30:00;37;46;33;35;4;4;0
2020-08-22 22:45:00;26;25;31;24;2;4;0
2020-08-22 23:00:00;32;39;29;35;4;5;0
2020-08-22 23:15:00;27;34;29;33;6;5;0
2020-08-22 23:30:00;19;32;27;28;1;3;0
2020-08-22 23:45:00;23;26;22;13;3;5;0
