DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(TA);28(DD1)
2020-10-08 00:00:00;16;2;0;0;0;9;8;0;0
2020-10-08 00:15:00;22;8;0;0;0;11;4;0;0
2020-10-08 00:30:00;16;11;0;0;0;16;9;0;0
2020-10-08 00:45:00;12;7;1;1;0;12;7;0;0
2020-10-08 01:00:00;6;0;0;0;0;10;2;0;0
2020-10-08 01:15:00;11;8;0;0;0;10;6;0;0
2020-10-08 01:30:00;8;3;0;0;0;7;0;0;0
2020-10-08 01:45:00;12;2;0;1;1;4;0;0;0
2020-10-08 02:00:00;7;1;0;0;0;8;2;0;0
2020-10-08 02:15:00;12;3;0;0;0;6;4;0;0
2020-10-08 02:30:00;7;4;0;0;0;7;1;0;0
2020-10-08 02:45:00;11;2;0;0;0;8;2;0;0
2020-10-08 03:00:00;5;4;0;0;0;5;2;0;0
2020-10-08 03:15:00;7;4;1;0;0;10;4;0;0
2020-10-08 03:30:00;4;3;0;0;0;10;3;0;0
2020-10-08 03:45:00;8;3;0;0;1;17;5;0;0
2020-10-08 04:00:00;12;3;0;0;1;10;2;0;3
2020-10-08 04:15:00;13;7;0;0;0;16;6;0;0
2020-10-08 04:30:00;19;5;0;0;0;22;16;0;0
2020-10-08 04:45:00;34;17;0;0;0;58;27;0;3
2020-10-08 05:00:00;33;28;0;1;0;100;64;0;0
2020-10-08 05:15:00;48;35;4;0;5;197;189;0;3
2020-10-08 05:30:00;46;42;2;2;7;185;154;2;1
2020-10-08 05:45:00;170;166;4;0;3;161;124;0;0
2020-10-08 06:00:00;169;164;1;5;2;145;136;0;3
2020-10-08 06:15:00;142;134;8;1;5;170;147;1;6
2020-10-08 06:30:00;86;101;5;3;4;158;166;2;10
2020-10-08 06:45:00;96;117;12;6;26;176;209;1;10
2020-10-08 07:00:00;77;93;3;11;10;200;218;10;4
2020-10-08 07:15:00;95;106;12;14;16;189;251;20;11
2020-10-08 07:30:00;102;112;8;17;12;211;266;2;13
2020-10-08 07:45:00;143;145;9;8;15;212;225;6;8
2020-10-08 08:00:00;118;110;8;11;20;194;220;6;1
2020-10-08 08:15:00;124;141;9;11;11;159;181;8;7
2020-10-08 08:30:00;102;95;7;12;12;162;176;0;4
2020-10-08 08:45:00;101;97;15;17;15;135;179;3;7
2020-10-08 09:00:00;102;94;14;23;22;114;133;3;1
2020-10-08 09:15:00;91;113;9;15;26;138;168;10;2
2020-10-08 09:30:00;113;96;10;16;21;116;157;0;5
2020-10-08 09:45:00;108;103;13;20;21;107;148;6;2
2020-10-08 10:00:00;128;130;14;30;26;99;150;15;2
2020-10-08 10:15:00;120;126;18;36;26;100;138;5;1
2020-10-08 10:30:00;121;120;21;30;18;92;114;21;2
2020-10-08 10:45:00;127;132;13;43;31;118;152;4;2
2020-10-08 11:00:00;119;125;12;27;18;103;153;6;1
2020-10-08 11:15:00;124;128;15;28;20;108;134;2;1
2020-10-08 11:30:00;140;133;14;23;17;94;118;15;1
2020-10-08 11:45:00;123;137;20;25;20;104;162;14;1
2020-10-08 12:00:00;129;140;15;38;16;108;136;16;1
2020-10-08 12:15:00;140;152;10;32;20;93;126;15;1
2020-10-08 12:30:00;132;166;11;20;12;100;119;15;2
2020-10-08 12:45:00;129;140;19;25;25;109;145;12;1
2020-10-08 13:00:00;164;169;13;30;9;131;153;52;1
2020-10-08 13:15:00;157;153;19;21;17;142;181;6;1
2020-10-08 13:30:00;135;161;18;18;19;161;186;15;1
2020-10-08 13:45:00;169;172;15;17;18;161;196;12;3
2020-10-08 14:00:00;180;197;12;25;16;140;167;6;0
2020-10-08 14:15:00;299;281;20;25;23;131;159;6;3
2020-10-08 14:30:00;288;275;27;35;16;108;164;4;1
2020-10-08 14:45:00;235;265;19;22;17;123;156;21;1
2020-10-08 15:00:00;232;246;19;27;21;118;151;9;3
2020-10-08 15:15:00;203;201;14;19;13;83;126;10;3
2020-10-08 15:30:00;243;231;15;31;7;125;177;0;1
2020-10-08 15:45:00;215;248;21;30;23;119;173;15;6
2020-10-08 16:00:00;220;244;22;28;21;111;177;11;3
2020-10-08 16:15:00;256;257;18;25;27;118;156;13;6
2020-10-08 16:30:00;231;238;15;30;27;121;178;15;4
2020-10-08 16:45:00;249;235;13;44;24;113;168;22;1
2020-10-08 17:00:00;227;231;16;41;21;128;173;5;3
2020-10-08 17:15:00;228;255;15;35;12;127;180;5;2
2020-10-08 17:30:00;212;217;9;22;14;116;169;18;3
2020-10-08 17:45:00;214;220;15;20;15;122;157;9;2
2020-10-08 18:00:00;168;194;13;22;12;111;155;7;6
2020-10-08 18:15:00;203;198;13;32;10;113;151;0;5
2020-10-08 18:30:00;147;163;6;18;8;118;163;0;0
2020-10-08 18:45:00;138;154;8;24;9;86;115;7;4
2020-10-08 19:00:00;124;138;0;16;4;100;108;4;1
2020-10-08 19:15:00;113;136;5;13;3;100;111;5;2
2020-10-08 19:30:00;112;120;1;7;5;84;90;9;7
2020-10-08 19:45:00;84;91;1;7;2;74;68;23;1
2020-10-08 20:00:00;88;96;2;1;0;70;73;27;2
2020-10-08 20:15:00;84;80;1;1;0;72;65;2;2
2020-10-08 20:30:00;94;80;0;2;1;91;64;0;1
2020-10-08 20:45:00;70;54;2;1;0;91;58;0;2
2020-10-08 21:00:00;78;73;1;0;0;141;120;1;4
2020-10-08 21:15:00;53;59;0;3;2;159;118;0;3
2020-10-08 21:30:00;64;59;0;0;2;148;115;0;0
2020-10-08 21:45:00;102;107;1;6;1;64;56;0;0
2020-10-08 22:00:00;184;168;0;1;1;53;44;0;1
2020-10-08 22:15:00;106;100;4;0;1;42;37;0;2
2020-10-08 22:30:00;60;43;0;1;1;42;39;0;0
2020-10-08 22:45:00;49;25;1;1;1;25;21;0;0
2020-10-08 23:00:00;30;18;0;0;0;24;24;0;0
2020-10-08 23:15:00;18;16;0;0;0;13;14;0;0
2020-10-08 23:30:00;21;12;0;0;0;21;12;0;0
2020-10-08 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
