DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2020-12-17 00:00:00;0;0;1;2;0;0;2;0;0
2020-12-17 00:15:00;0;1;1;0;0;0;2;0;0
2020-12-17 00:30:00;0;0;0;2;0;0;1;0;0
2020-12-17 00:45:00;2;3;3;2;0;0;3;0;0
2020-12-17 01:00:00;0;1;1;0;0;0;1;0;0
2020-12-17 01:15:00;0;0;0;0;0;0;0;0;0
2020-12-17 01:30:00;0;0;0;0;0;0;1;0;0
2020-12-17 01:45:00;0;0;0;0;0;0;0;0;0
2020-12-17 02:00:00;0;0;0;0;0;0;0;0;0
2020-12-17 02:15:00;0;0;0;0;0;0;0;0;0
2020-12-17 02:30:00;1;1;2;0;0;0;3;0;0
2020-12-17 02:45:00;1;3;2;0;0;1;1;0;0
2020-12-17 03:00:00;3;3;4;0;0;0;0;0;0
2020-12-17 03:15:00;0;0;1;0;0;0;2;0;0
2020-12-17 03:30:00;1;1;1;0;0;0;2;0;0
2020-12-17 03:45:00;1;0;1;0;0;0;3;0;0
2020-12-17 04:00:00;1;2;3;2;1;1;3;0;0
2020-12-17 04:15:00;1;3;5;2;0;0;0;0;0
2020-12-17 04:30:00;0;0;1;0;0;0;6;0;0
2020-12-17 04:45:00;4;5;11;2;0;4;17;0;0
2020-12-17 05:00:00;8;17;30;8;4;7;37;0;0
2020-12-17 05:15:00;4;13;22;7;6;6;54;0;0
2020-12-17 05:30:00;15;22;46;13;10;13;84;0;0
2020-12-17 05:45:00;19;29;50;32;6;16;42;0;0
2020-12-17 06:00:00;24;27;40;28;3;3;27;0;0
2020-12-17 06:15:00;22;29;50;16;10;14;47;1;2
2020-12-17 06:30:00;28;42;72;34;24;28;61;1;2
2020-12-17 06:45:00;34;35;65;20;13;16;91;0;0
2020-12-17 07:00:00;24;34;50;16;16;11;58;0;4
2020-12-17 07:15:00;24;46;65;20;8;12;75;3;0
2020-12-17 07:30:00;36;30;62;20;14;9;82;0;9
2020-12-17 07:45:00;34;33;69;16;10;7;60;1;9
2020-12-17 08:00:00;32;43;62;15;8;9;65;0;9
2020-12-17 08:15:00;28;33;70;16;10;3;68;0;0
2020-12-17 08:30:00;26;36;55;11;5;2;49;0;0
2020-12-17 08:45:00;26;40;60;16;7;1;51;0;2
2020-12-17 09:00:00;20;20;36;13;5;4;53;0;4
2020-12-17 09:15:00;24;33;47;13;10;4;57;0;1
2020-12-17 09:30:00;28;36;54;13;9;5;51;0;0
2020-12-17 09:45:00;30;35;67;13;6;3;67;0;6
2020-12-17 10:00:00;26;33;55;11;6;4;52;1;2
2020-12-17 10:15:00;24;36;62;15;10;3;52;1;7
2020-12-17 10:30:00;29;46;67;18;9;3;59;1;12
2020-12-17 10:45:00;37;43;73;18;8;7;73;5;0
2020-12-17 11:00:00;23;43;63;22;9;6;71;1;4
2020-12-17 11:15:00;23;33;49;13;7;4;54;2;5
2020-12-17 11:30:00;19;32;51;16;8;4;65;2;7
2020-12-17 11:45:00;26;50;79;23;11;3;75;6;73
2020-12-17 12:00:00;29;41;68;12;7;3;70;3;12
2020-12-17 12:15:00;43;57;83;16;9;3;66;1;1
2020-12-17 12:30:00;25;43;59;8;5;0;35;3;12
2020-12-17 12:45:00;32;48;75;14;8;7;51;0;1
2020-12-17 13:00:00;28;43;68;12;5;1;67;1;11
2020-12-17 13:15:00;32;42;72;24;11;7;71;5;24
2020-12-17 13:30:00;32;49;81;15;7;7;80;5;7
2020-12-17 13:45:00;38;46;83;19;10;7;74;0;21
