DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2020-03-13 00:00:00;0;2;5;2;2;0;5;0;0
2020-03-13 00:15:00;3;3;6;1;0;0;8;0;0
2020-03-13 00:30:00;1;1;3;0;0;0;4;0;0
2020-03-13 00:45:00;2;4;5;0;0;1;3;0;0
2020-03-13 01:00:00;1;5;5;1;0;0;4;0;0
2020-03-13 01:15:00;4;3;5;1;0;0;2;0;0
2020-03-13 01:30:00;0;0;0;0;0;0;3;0;0
2020-03-13 01:45:00;0;1;2;0;0;0;4;0;0
2020-03-13 02:00:00;0;0;1;2;0;0;4;0;0
2020-03-13 02:15:00;4;2;4;1;0;0;1;0;0
2020-03-13 02:30:00;1;2;2;0;0;0;1;0;0
2020-03-13 02:45:00;2;2;3;0;0;0;3;0;0
2020-03-13 03:00:00;0;1;2;2;1;1;4;0;0
2020-03-13 03:15:00;0;3;2;0;0;0;3;0;0
2020-03-13 03:30:00;1;2;3;0;0;0;1;0;0
2020-03-13 03:45:00;0;0;0;0;0;0;3;0;0
2020-03-13 04:00:00;3;4;7;4;1;1;1;0;0
2020-03-13 04:15:00;5;5;8;0;0;0;2;0;0
2020-03-13 04:30:00;5;4;7;0;0;0;5;0;0
2020-03-13 04:45:00;1;4;11;3;1;2;13;0;0
2020-03-13 05:00:00;5;10;14;4;2;2;35;0;0
2020-03-13 05:15:00;17;20;35;8;3;6;59;1;0
2020-03-13 05:30:00;19;22;41;11;7;11;68;0;0
2020-03-13 05:45:00;30;44;63;34;12;11;65;2;0
2020-03-13 06:00:00;28;27;48;32;7;7;41;0;0
2020-03-13 06:15:00;28;34;62;21;13;21;62;0;0
2020-03-13 06:30:00;42;42;81;29;22;41;96;0;19
2020-03-13 06:45:00;46;42;82;29;26;42;118;0;0
2020-03-13 07:00:00;47;38;72;18;15;26;87;2;1
2020-03-13 07:15:00;53;59;93;37;13;13;100;3;5
2020-03-13 07:30:00;66;50;95;29;11;23;131;16;9
2020-03-13 07:45:00;98;72;116;19;15;27;116;6;9
2020-03-13 08:00:00;56;50;92;27;13;17;109;2;2
2020-03-13 08:15:00;29;45;72;24;16;15;94;2;8
2020-03-13 08:30:00;40;50;79;23;9;9;67;2;4
2020-03-13 08:45:00;41;53;82;17;10;9;83;1;1
2020-03-13 09:00:00;30;52;68;12;10;9;58;3;5
2020-03-13 09:15:00;38;49;66;23;11;8;80;0;6
2020-03-13 09:30:00;33;38;65;13;8;3;71;2;0
2020-03-13 09:45:00;40;53;82;18;9;6;74;11;14
2020-03-13 10:00:00;35;54;68;27;5;8;61;8;6
2020-03-13 10:15:00;32;47;68;14;6;5;77;7;0
2020-03-13 10:30:00;23;46;59;18;11;4;83;6;9
2020-03-13 10:45:00;37;49;67;26;12;7;73;0;7
2020-03-13 11:00:00;48;60;75;34;21;5;73;9;9
2020-03-13 11:15:00;43;60;81;38;16;7;70;1;4
2020-03-13 11:30:00;37;57;79;31;12;6;89;2;2
2020-03-13 11:45:00;50;73;87;41;16;5;73;4;4
2020-03-13 12:00:00;63;72;100;40;15;7;84;14;0
2020-03-13 12:15:00;62;60;121;55;19;8;68;6;26
2020-03-13 12:30:00;35;38;59;48;7;2;82;2;5
2020-03-13 12:45:00;34;45;67;33;4;0;77;7;0
2020-03-13 13:00:00;32;48;71;30;6;6;66;7;7
2020-03-13 13:15:00;64;80;108;35;8;2;100;9;18
2020-03-13 13:30:00;52;65;99;24;10;16;121;5;34
2020-03-13 13:45:00;70;66;112;29;10;13;115;8;3
