DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2020-11-23 00:00:00;2;1;3;1;0;0;3;0;0
2020-11-23 00:15:00;0;1;1;1;0;0;2;0;0
2020-11-23 00:30:00;0;1;2;1;0;0;5;0;0
2020-11-23 00:45:00;4;5;6;0;0;0;3;0;0
2020-11-23 01:00:00;1;0;1;0;0;0;1;0;0
2020-11-23 01:15:00;0;1;1;0;0;0;0;0;0
2020-11-23 01:30:00;0;1;1;0;0;0;0;0;0
2020-11-23 01:45:00;0;1;1;0;0;0;0;0;0
2020-11-23 02:00:00;0;1;1;2;1;0;0;0;0
2020-11-23 02:15:00;1;0;1;1;0;0;0;0;0
2020-11-23 02:30:00;1;3;2;0;0;0;0;0;0
2020-11-23 02:45:00;1;0;1;0;0;0;0;0;0
2020-11-23 03:00:00;0;0;1;0;0;0;1;0;0
2020-11-23 03:15:00;0;0;0;0;0;1;2;0;0
2020-11-23 03:30:00;0;0;0;0;0;0;2;0;0
2020-11-23 03:45:00;0;2;2;0;0;1;3;0;0
2020-11-23 04:00:00;1;2;2;2;0;0;2;0;0
2020-11-23 04:15:00;1;4;6;1;0;1;2;0;0
2020-11-23 04:30:00;1;2;2;3;0;0;4;0;0
2020-11-23 04:45:00;6;9;11;1;0;0;6;0;0
2020-11-23 05:00:00;4;9;12;4;2;5;19;0;0
2020-11-23 05:15:00;11;16;28;9;7;8;36;0;0
2020-11-23 05:30:00;10;20;35;16;12;15;88;0;0
2020-11-23 05:45:00;14;24;42;9;4;21;56;1;5
2020-11-23 06:00:00;19;24;32;15;2;9;41;0;0
2020-11-23 06:15:00;21;21;36;17;13;24;60;17;0
2020-11-23 06:30:00;32;51;69;18;13;29;92;0;0
2020-11-23 06:45:00;43;45;75;18;11;24;100;8;7
2020-11-23 07:00:00;36;35;60;15;8;15;88;0;0
2020-11-23 07:15:00;52;54;77;42;14;19;85;0;4
2020-11-23 07:30:00;71;57;97;41;13;12;122;13;14
2020-11-23 07:45:00;94;69;99;25;12;17;129;3;4
2020-11-23 08:00:00;50;59;104;21;9;16;121;0;11
2020-11-23 08:15:00;48;53;86;21;10;7;92;0;17
2020-11-23 08:30:00;55;48;88;12;6;6;66;1;1
2020-11-23 08:45:00;31;47;78;27;10;14;83;1;6
2020-11-23 09:00:00;25;39;51;20;9;10;67;3;2
2020-11-23 09:15:00;23;27;45;16;8;6;59;0;1
2020-11-23 09:30:00;37;35;69;14;6;4;72;5;0
2020-11-23 09:45:00;29;51;77;24;11;6;71;9;2
2020-11-23 10:00:00;24;39;60;15;8;8;67;2;1
2020-11-23 10:15:00;29;47;75;10;6;5;62;0;0
2020-11-23 10:30:00;34;44;71;19;7;2;62;0;0
2020-11-23 10:45:00;38;59;89;18;6;4;78;0;1
2020-11-23 11:00:00;24;48;61;18;7;5;72;3;9
2020-11-23 11:15:00;38;55;72;13;8;4;55;8;0
2020-11-23 11:30:00;66;65;101;14;8;5;87;1;8
2020-11-23 11:45:00;40;37;66;15;8;8;72;2;13
2020-11-23 12:00:00;32;30;69;19;8;4;70;3;10
2020-11-23 12:15:00;30;49;73;15;6;7;78;2;4
2020-11-23 12:30:00;39;53;79;15;8;4;74;0;11
2020-11-23 12:45:00;44;55;81;23;15;6;74;10;0
2020-11-23 13:00:00;53;71;97;18;11;3;86;8;23
2020-11-23 13:15:00;32;53;82;15;8;11;92;2;19
2020-11-23 13:30:00;29;48;79;15;10;19;115;2;10
