DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2020-11-03 00:00:00;0;0;1;2;0;0;0;0;0
2020-11-03 00:15:00;0;2;3;0;0;0;2;0;0
2020-11-03 00:30:00;0;1;3;2;1;1;5;0;0
2020-11-03 00:45:00;2;6;6;1;0;1;8;0;0
2020-11-03 01:00:00;0;0;0;1;1;2;7;0;0
2020-11-03 01:15:00;1;0;1;0;0;0;4;0;0
2020-11-03 01:30:00;1;0;1;1;1;0;1;0;0
2020-11-03 01:45:00;0;2;2;0;0;0;1;0;0
2020-11-03 02:00:00;0;0;0;0;0;0;1;0;0
2020-11-03 02:15:00;2;3;4;1;1;2;3;0;0
2020-11-03 02:30:00;0;1;2;0;0;0;1;0;0
2020-11-03 02:45:00;2;0;2;3;1;1;1;0;0
2020-11-03 03:00:00;0;0;0;0;0;0;0;0;0
2020-11-03 03:15:00;1;1;1;1;0;0;0;0;0
2020-11-03 03:30:00;0;1;1;1;0;1;2;0;0
2020-11-03 03:45:00;0;1;2;0;0;0;1;0;0
2020-11-03 04:00:00;3;1;4;1;0;0;3;0;0
2020-11-03 04:15:00;1;5;5;1;0;1;4;0;0
2020-11-03 04:30:00;0;4;3;2;1;0;3;0;0
2020-11-03 04:45:00;3;5;8;1;0;0;6;0;0
2020-11-03 05:00:00;4;13;22;5;2;3;19;0;0
2020-11-03 05:15:00;6;11;28;9;8;10;71;0;0
2020-11-03 05:30:00;12;27;45;18;8;8;82;0;0
2020-11-03 05:45:00;30;45;66;33;3;11;54;0;0
2020-11-03 06:00:00;23;29;48;23;4;4;33;0;0
2020-11-03 06:15:00;40;42;67;18;6;18;52;0;0
2020-11-03 06:30:00;29;55;75;24;14;19;80;0;4
2020-11-03 06:45:00;43;53;99;14;8;20;96;2;6
2020-11-03 07:00:00;28;43;64;11;11;8;103;0;4
2020-11-03 07:15:00;49;54;83;18;10;14;81;0;1
2020-11-03 07:30:00;51;63;95;29;11;13;109;4;3
2020-11-03 07:45:00;56;62;102;25;11;10;107;1;42
2020-11-03 08:00:00;38;47;79;20;9;12;95;1;8
