DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2020-10-27 00:00:00;0;1;2;2;1;0;3;0;0
2020-10-27 00:15:00;1;3;3;1;0;0;3;0;0
2020-10-27 00:30:00;0;2;2;0;0;0;0;0;0
2020-10-27 00:45:00;0;1;2;0;0;0;1;0;0
2020-10-27 01:00:00;1;1;2;1;0;0;3;0;0
2020-10-27 01:15:00;2;2;3;0;0;1;3;0;0
2020-10-27 01:30:00;0;0;0;0;0;0;1;0;0
2020-10-27 01:45:00;1;3;5;0;0;0;4;0;0
2020-10-27 02:00:00;0;0;1;0;0;0;1;0;0
2020-10-27 02:15:00;0;0;3;2;0;0;3;0;0
2020-10-27 02:30:00;0;2;3;0;0;1;2;0;0
2020-10-27 02:45:00;1;0;3;1;0;0;3;0;0
2020-10-27 03:00:00;3;2;2;0;0;0;1;0;0
2020-10-27 03:15:00;2;2;3;1;1;1;2;0;0
2020-10-27 03:30:00;2;0;4;2;0;0;2;0;0
2020-10-27 03:45:00;0;1;2;0;0;1;4;0;0
2020-10-27 04:00:00;1;1;1;0;0;0;0;0;0
2020-10-27 04:15:00;2;3;6;2;0;0;4;0;0
2020-10-27 04:30:00;3;4;5;2;1;1;5;0;0
2020-10-27 04:45:00;2;9;11;1;0;0;7;0;0
2020-10-27 05:00:00;1;13;18;5;4;2;26;0;0
2020-10-27 05:15:00;9;11;26;3;1;5;45;0;0
2020-10-27 05:30:00;12;32;50;7;3;5;60;0;0
2020-10-27 05:45:00;25;34;56;33;6;9;64;0;0
2020-10-27 06:00:00;19;27;48;25;5;8;37;0;0
2020-10-27 06:15:00;46;45;89;16;7;13;50;2;0
2020-10-27 06:30:00;25;43;63;17;12;29;90;0;3
2020-10-27 06:45:00;45;44;85;14;12;24;86;5;9
2020-10-27 07:00:00;36;50;70;17;8;16;79;3;6
2020-10-27 07:15:00;40;36;58;30;8;8;57;4;3
2020-10-27 07:30:00;104;84;122;43;11;10;124;11;18
2020-10-27 07:45:00;103;94;105;27;13;19;143;6;20
2020-10-27 08:00:00;82;89;131;24;12;27;127;3;12
2020-10-27 08:15:00;48;48;87;17;6;6;92;1;13
2020-10-27 08:30:00;48;44;72;22;10;7;91;0;3
2020-10-27 08:45:00;33;53;76;21;8;1;76;3;2
2020-10-27 09:00:00;41;36;66;17;6;5;81;0;0
2020-10-27 09:15:00;27;40;57;12;8;3;67;1;2
2020-10-27 09:30:00;34;52;71;21;8;7;80;9;1
2020-10-27 09:45:00;23;35;62;18;7;6;72;7;2
2020-10-27 10:00:00;36;54;80;18;8;4;77;4;0
2020-10-27 10:15:00;28;47;79;15;8;3;65;7;9
2020-10-27 10:30:00;36;47;76;16;9;5;61;1;5
2020-10-27 10:45:00;39;63;89;16;9;3;67;1;4
2020-10-27 11:00:00;28;43;66;12;7;3;69;1;11
2020-10-27 11:15:00;37;62;89;28;8;5;82;11;0
2020-10-27 11:30:00;43;53;80;21;9;1;91;2;6
2020-10-27 11:45:00;39;56;70;14;6;6;66;4;1
2020-10-27 12:00:00;36;55;77;14;5;7;85;2;4
2020-10-27 12:15:00;37;67;91;20;7;5;75;1;3
2020-10-27 12:30:00;43;61;80;54;10;5;83;7;2
2020-10-27 12:45:00;31;46;65;15;7;8;96;6;2
2020-10-27 13:00:00;50;90;106;20;8;8;90;14;22
2020-10-27 13:15:00;50;62;98;17;10;2;113;3;7
2020-10-27 13:30:00;35;52;74;24;10;15;109;0;26
2020-10-27 13:45:00;55;65;99;31;11;14;113;6;17
2020-10-27 14:00:00;46;78;109;33;9;8;79;3;43
2020-10-27 14:15:00;55;83;112;23;6;6;63;3;22
2020-10-27 14:30:00;57;87;119;45;13;5;89;21;4
2020-10-27 14:45:00;54;84;94;31;11;3;87;12;17
2020-10-27 15:00:00;64;102;120;30;8;5;71;10;14
2020-10-27 15:15:00;43;67;98;36;8;1;86;7;15
2020-10-27 15:30:00;66;83;134;32;13;9;89;4;6
2020-10-27 15:45:00;57;80;116;23;7;1;98;10;4
2020-10-27 16:00:00;57;104;140;40;9;3;112;5;16
2020-10-27 16:15:00;64;93;129;32;9;5;97;3;13
2020-10-27 16:30:00;77;87;134;35;10;7;105;2;8
2020-10-27 16:45:00;59;79;110;36;11;8;112;1;8
2020-10-27 17:00:00;75;91;112;32;7;6;138;4;44
2020-10-27 17:15:00;57;84;112;28;9;5;116;5;6
2020-10-27 17:30:00;57;86;112;22;9;3;92;0;1
2020-10-27 17:45:00;51;55;81;23;11;3;94;2;3
2020-10-27 18:00:00;26;51;71;14;9;8;73;0;7
2020-10-27 18:15:00;29;51;84;13;7;6;83;0;7
2020-10-27 18:30:00;28;52;69;12;8;1;62;2;10
2020-10-27 18:45:00;23;38;56;13;7;0;54;0;0
2020-10-27 19:00:00;22;36;55;10;6;3;51;1;3
2020-10-27 19:15:00;21;26;46;8;9;1;52;0;3
2020-10-27 19:30:00;18;21;38;13;6;4;40;1;1
2020-10-27 19:45:00;15;15;33;8;5;0;37;1;0
2020-10-27 20:00:00;15;26;45;6;1;0;38;2;0
2020-10-27 20:15:00;14;23;41;3;3;1;34;5;0
2020-10-27 20:30:00;7;20;31;4;4;2;38;0;0
2020-10-27 20:45:00;14;22;29;6;5;0;23;0;3
2020-10-27 21:00:00;10;22;32;6;5;5;29;0;0
2020-10-27 21:15:00;11;20;41;7;7;3;43;0;0
2020-10-27 21:30:00;6;12;20;5;4;5;24;0;0
2020-10-27 21:45:00;12;16;27;8;5;4;30;0;0
2020-10-27 22:00:00;17;19;36;13;6;1;24;3;0
2020-10-27 22:15:00;21;30;39;4;3;1;24;0;0
2020-10-27 22:30:00;6;14;17;3;1;2;23;0;1
2020-10-27 22:45:00;3;12;17;1;1;1;11;0;0
2020-10-27 23:00:00;2;7;11;0;0;0;9;0;0
2020-10-27 23:15:00;3;6;10;1;2;3;14;0;0
2020-10-27 23:30:00;3;6;8;1;0;0;10;0;0
