DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2020-01-11 00:00:00;0;1;0;0;0;0;0;0
2020-01-11 00:15:00;1;3;0;0;0;0;0;0
2020-01-11 00:30:00;0;0;0;0;2;0;0;0
2020-01-11 00:45:00;0;1;1;1;0;0;0;0
2020-01-11 01:00:00;0;0;1;0;0;0;0;0
2020-01-11 01:15:00;0;1;1;1;1;0;0;0
2020-01-11 01:30:00;0;2;1;2;0;0;0;0
2020-01-11 01:45:00;1;2;0;0;0;0;0;0
2020-01-11 02:00:00;1;5;1;1;0;0;0;0
2020-01-11 02:15:00;0;5;1;0;0;0;0;0
2020-01-11 02:30:00;0;1;1;0;0;0;0;0
2020-01-11 02:45:00;0;3;1;1;0;0;0;0
2020-01-11 03:00:00;0;0;0;0;0;0;0;0
2020-01-11 03:15:00;0;1;0;0;2;0;0;0
2020-01-11 03:30:00;0;1;0;0;0;0;0;0
2020-01-11 03:45:00;0;1;0;0;0;0;0;0
2020-01-11 04:00:00;0;0;0;0;0;0;0;0
2020-01-11 04:15:00;0;0;0;0;0;0;0;0
2020-01-11 04:30:00;0;0;0;0;0;0;0;0
2020-01-11 04:45:00;0;0;0;0;0;0;0;0
2020-01-11 05:00:00;0;0;1;1;0;0;0;0
2020-01-11 05:15:00;0;2;0;0;0;0;0;0
2020-01-11 05:30:00;0;7;5;1;3;0;0;0
2020-01-11 05:45:00;0;2;2;0;0;0;0;0
2020-01-11 06:00:00;0;0;0;0;4;0;0;0
2020-01-11 06:15:00;1;0;1;1;2;0;0;0
2020-01-11 06:30:00;0;3;1;1;0;0;0;0
2020-01-11 06:45:00;0;2;1;1;0;0;0;0
2020-01-11 07:00:00;0;4;12;1;0;0;0;0
2020-01-11 07:15:00;0;3;25;2;0;0;0;0
2020-01-11 07:30:00;0;8;5;0;0;0;0;0
2020-01-11 07:45:00;2;2;0;0;0;0;0;0
2020-01-11 08:00:00;0;3;2;0;0;0;0;0
2020-01-11 08:15:00;1;2;0;0;0;0;0;0
2020-01-11 08:30:00;0;1;1;0;1;0;0;0
2020-01-11 08:45:00;2;1;3;2;1;0;0;0
2020-01-11 09:00:00;0;2;1;0;0;0;0;0
2020-01-11 09:15:00;2;4;7;0;0;0;0;0
