DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2020-11-22 00:00:00;0;3;2;0;0;0;0;0
2020-11-22 00:15:00;1;2;2;0;0;0;0;0
2020-11-22 00:30:00;0;2;1;0;0;0;0;0
2020-11-22 00:45:00;0;3;1;0;0;0;0;0
2020-11-22 01:00:00;0;2;0;0;0;0;0;0
2020-11-22 01:15:00;0;0;0;1;0;0;0;0
2020-11-22 01:30:00;0;0;0;0;0;0;0;0
2020-11-22 01:45:00;0;2;0;0;0;0;0;0
2020-11-22 02:00:00;0;0;0;0;0;0;0;0
2020-11-22 02:15:00;0;1;0;0;0;0;0;0
2020-11-22 02:30:00;0;1;0;0;0;0;0;0
2020-11-22 02:45:00;0;0;3;1;0;0;0;0
2020-11-22 03:00:00;0;2;0;0;0;0;0;0
2020-11-22 03:15:00;0;1;1;1;0;0;0;0
2020-11-22 03:30:00;0;0;0;0;0;0;0;0
2020-11-22 03:45:00;0;1;1;0;0;0;0;0
2020-11-22 04:00:00;0;1;0;0;0;0;0;0
2020-11-22 04:15:00;0;0;0;0;0;0;0;0
2020-11-22 04:30:00;0;0;0;0;0;0;0;0
2020-11-22 04:45:00;0;0;0;0;0;0;0;0
2020-11-22 05:00:00;0;0;0;0;0;0;0;0
2020-11-22 05:15:00;0;1;0;0;0;0;0;0
2020-11-22 05:30:00;0;2;0;0;0;0;0;0
2020-11-22 05:45:00;0;2;1;0;0;0;0;0
2020-11-22 06:00:00;0;0;2;0;0;0;0;0
2020-11-22 06:15:00;0;1;0;0;0;0;0;0
2020-11-22 06:30:00;0;0;0;0;0;0;0;0
2020-11-22 06:45:00;0;1;1;0;0;0;0;0
2020-11-22 07:00:00;0;0;0;0;0;0;0;0
2020-11-22 07:15:00;0;0;0;0;0;0;0;0
2020-11-22 07:30:00;0;0;0;0;0;0;0;0
2020-11-22 07:45:00;1;1;0;0;0;0;0;0
2020-11-22 08:00:00;0;0;1;0;0;0;0;0
2020-11-22 08:15:00;0;0;1;0;0;0;0;0
2020-11-22 08:30:00;0;1;0;0;1;0;0;0
2020-11-22 08:45:00;0;0;0;0;0;0;0;0
2020-11-22 09:00:00;0;2;0;0;0;0;0;0
2020-11-22 09:15:00;0;0;0;0;0;0;0;0
2020-11-22 09:30:00;0;0;1;0;0;0;0;0
2020-11-22 09:45:00;0;4;2;0;0;0;0;0
2020-11-22 10:00:00;0;6;1;0;0;0;0;0
2020-11-22 10:15:00;0;3;4;1;0;0;0;0
2020-11-22 10:30:00;0;9;5;2;0;0;0;0
2020-11-22 10:45:00;0;4;0;0;0;0;0;0
2020-11-22 11:00:00;0;3;3;0;0;0;0;0
2020-11-22 11:15:00;0;7;4;2;0;0;0;0
2020-11-22 11:30:00;0;8;4;0;0;0;0;0
2020-11-22 11:45:00;0;5;4;1;0;0;0;0
2020-11-22 12:00:00;0;3;2;1;0;0;0;0
2020-11-22 12:15:00;0;4;6;0;0;0;0;0
2020-11-22 12:30:00;1;4;1;1;1;0;0;0
2020-11-22 12:45:00;0;0;1;0;1;0;0;0
2020-11-22 13:00:00;0;8;4;1;0;0;0;0
2020-11-22 13:15:00;0;4;5;1;0;0;0;0
2020-11-22 13:30:00;1;7;1;0;2;0;0;0
2020-11-22 13:45:00;0;5;4;3;2;0;0;0
2020-11-22 14:00:00;0;7;4;1;2;0;0;0
2020-11-22 14:15:00;2;5;3;0;0;0;0;0
2020-11-22 14:30:00;0;4;1;1;2;0;0;0
2020-11-22 14:45:00;0;1;5;3;0;0;0;0
2020-11-22 15:00:00;0;6;1;0;0;0;0;0
2020-11-22 15:15:00;0;8;5;2;0;0;0;0
2020-11-22 15:30:00;2;6;2;3;3;0;0;0
2020-11-22 15:45:00;0;3;0;0;0;0;0;0
2020-11-22 16:00:00;1;9;4;2;0;0;0;0
2020-11-22 16:15:00;0;4;5;2;2;0;0;0
2020-11-22 16:30:00;2;7;2;1;0;0;0;0
2020-11-22 16:45:00;1;10;0;0;2;0;0;0
2020-11-22 17:00:00;0;1;3;0;0;0;0;0
2020-11-22 17:15:00;0;7;5;1;0;0;0;0
2020-11-22 17:30:00;0;7;2;0;0;0;0;0
2020-11-22 17:45:00;0;3;3;1;0;0;0;0
2020-11-22 18:00:00;0;7;0;0;0;0;0;0
2020-11-22 18:15:00;0;3;5;0;0;0;0;0
2020-11-22 18:30:00;1;4;2;0;2;0;0;0
2020-11-22 18:45:00;1;7;2;0;1;0;0;0
2020-11-22 19:00:00;0;6;3;1;0;0;0;0
2020-11-22 19:15:00;0;3;3;0;0;0;0;0
