DATUM;1(DB1);2(DB2);3(DB3);4(DB4);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(TAFBB);11(TAFBC);12(TAFBC2);13(TAFGD);14(TAFBD)
2019-12-06 00:00:00;2;4;0;0;0;0;0;5;7;0;0;0;0;0
2019-12-06 00:15:00;2;4;1;2;0;0;0;5;10;0;0;0;0;0
2019-12-06 00:30:00;4;10;0;0;2;0;0;5;6;0;0;0;0;0
2019-12-06 00:45:00;7;7;0;0;1;0;0;3;3;0;0;0;0;0
2019-12-06 01:00:00;2;4;3;2;1;0;1;3;8;0;0;0;0;0
2019-12-06 01:15:00;2;4;3;1;2;4;0;3;4;0;0;0;0;0
2019-12-06 01:30:00;4;8;1;2;0;4;0;3;6;0;0;0;0;0
2019-12-06 01:45:00;9;8;0;0;0;0;0;2;2;0;0;0;0;0
2019-12-06 02:00:00;3;4;0;2;0;1;0;4;9;0;0;0;0;0
2019-12-06 02:15:00;2;2;1;2;0;0;0;6;5;0;0;0;0;0
2019-12-06 02:30:00;4;3;0;1;1;0;0;1;5;0;0;0;0;0
2019-12-06 02:45:00;1;4;0;2;0;0;0;0;1;0;0;0;0;0
2019-12-06 03:00:00;4;4;0;0;0;0;0;0;1;0;0;0;0;0
2019-12-06 03:15:00;2;6;1;1;0;0;0;6;5;0;0;0;0;0
2019-12-06 03:30:00;4;3;0;1;0;0;0;9;10;0;0;0;0;0
2019-12-06 03:45:00;2;7;1;2;0;0;0;3;7;0;0;0;0;0
2019-12-06 04:00:00;5;7;4;7;0;0;0;1;4;0;0;0;0;0
2019-12-06 04:15:00;4;5;1;0;0;0;0;3;6;0;0;0;0;0
2019-12-06 04:30:00;5;4;2;2;1;0;0;5;11;0;0;0;0;0
2019-12-06 04:45:00;6;13;1;1;1;1;1;20;34;0;0;0;0;0
2019-12-06 05:00:00;10;8;6;13;8;1;0;43;70;0;0;0;1;0
2019-12-06 05:15:00;11;15;22;24;19;0;0;78;148;2;0;0;4;5
2019-12-06 05:30:00;29;40;12;17;9;0;5;98;115;1;0;0;1;1
2019-12-06 05:45:00;64;131;25;25;6;9;9;66;82;0;0;0;2;2
