DATUM;1(DB1);2(DB2);3(DB3);4(DB4);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(TAFBB);11(TAFBC);12(TAFBC2);13(TAFGD);14(TAFBD)
2019-12-05 00:00:00;1;4;0;1;0;1;0;1;7;0;0;0;0;0
2019-12-05 00:15:00;5;12;2;2;3;0;0;5;6;0;0;0;0;0
2019-12-05 00:30:00;3;6;4;3;0;0;0;2;4;0;0;0;0;0
2019-12-05 00:45:00;5;13;2;1;1;2;0;2;6;0;0;0;0;0
2019-12-05 01:00:00;2;1;0;0;1;0;0;2;1;0;0;0;0;0
2019-12-05 01:15:00;0;2;2;1;0;0;0;2;7;0;0;0;0;0
2019-12-05 01:30:00;1;4;2;1;1;0;0;5;8;0;0;0;0;0
2019-12-05 01:45:00;1;1;0;0;0;1;0;1;5;0;0;0;0;0
2019-12-05 02:00:00;5;7;0;0;0;0;0;1;6;0;0;0;0;0
2019-12-05 02:15:00;1;3;1;2;0;1;0;2;4;0;0;0;0;0
2019-12-05 02:30:00;1;0;1;0;0;0;0;1;3;0;0;0;0;0
2019-12-05 02:45:00;2;9;0;0;0;0;0;5;6;0;0;0;0;0
2019-12-05 03:00:00;3;6;2;6;0;0;0;1;2;0;0;0;0;0
2019-12-05 03:15:00;3;4;0;0;0;0;0;1;5;0;0;0;0;0
2019-12-05 03:30:00;2;6;2;3;0;0;0;3;4;0;0;0;0;0
2019-12-05 03:45:00;2;8;2;5;1;1;0;3;9;0;0;0;0;0
2019-12-05 04:00:00;0;6;1;3;0;0;1;5;10;0;0;0;0;0
2019-12-05 04:15:00;6;7;1;5;1;0;0;1;7;0;0;0;0;0
2019-12-05 04:30:00;6;5;0;0;0;0;0;7;14;0;0;0;0;0
2019-12-05 04:45:00;6;13;4;3;2;1;0;22;45;0;0;0;0;0
2019-12-05 05:00:00;16;14;7;10;8;0;0;46;75;0;0;0;1;0
2019-12-05 05:15:00;6;9;19;22;15;0;0;70;135;0;0;0;7;0
2019-12-05 05:30:00;22;47;18;20;10;0;5;102;157;0;0;0;2;5
2019-12-05 05:45:00;60;119;22;21;15;6;10;62;81;0;0;0;1;0
2019-12-05 06:00:00;54;135;35;34;9;5;9;104;79;0;0;0;0;0
2019-12-05 06:15:00;32;58;39;43;12;1;1;107;99;0;0;0;6;0
2019-12-05 06:30:00;20;27;70;63;13;3;1;92;98;0;0;0;5;8
2019-12-05 06:45:00;28;29;67;68;13;2;0;97;134;0;0;0;3;6
2019-12-05 07:00:00;23;30;49;54;10;2;3;93;126;0;0;0;2;0
2019-12-05 07:15:00;39;44;56;52;20;2;0;98;123;0;0;0;4;2
2019-12-05 07:30:00;39;47;46;42;14;2;3;103;120;0;0;0;4;0
2019-12-05 07:45:00;43;49;51;59;13;3;0;114;155;2;0;0;5;3
2019-12-05 08:00:00;45;33;60;58;16;3;0;109;151;0;0;0;5;9
2019-12-05 08:15:00;45;47;55;62;21;10;1;102;133;0;0;0;4;0
2019-12-05 08:30:00;37;26;42;42;13;8;1;98;105;1;0;0;5;0
2019-12-05 08:45:00;38;34;25;27;19;1;1;72;71;0;0;2;4;1
2019-12-05 09:00:00;31;33;18;20;11;10;2;69;51;0;0;0;9;9
2019-12-05 09:15:00;35;31;21;26;20;4;4;53;49;2;0;0;0;0
2019-12-05 09:30:00;46;37;28;29;21;5;3;61;32;0;0;3;3;0
2019-12-05 09:45:00;38;53;19;17;24;6;0;48;45;0;0;2;3;2
2019-12-05 10:00:00;38;43;15;20;11;3;1;33;25;0;0;0;1;0
2019-12-05 10:15:00;33;40;9;11;15;5;0;45;42;0;0;0;4;0
2019-12-05 10:30:00;31;35;5;10;11;9;3;39;42;0;0;0;1;0
2019-12-05 10:45:00;32;35;14;16;12;2;3;36;26;0;0;0;0;0
2019-12-05 11:00:00;35;45;21;23;21;6;2;34;42;0;0;0;4;0
2019-12-05 11:15:00;37;51;13;14;19;8;3;30;39;0;0;0;5;5
2019-12-05 11:30:00;44;53;14;15;23;5;2;47;31;0;0;0;4;6
2019-12-05 11:45:00;35;37;277;21;21;6;4;30;36;0;0;0;4;2
2019-12-05 12:00:00;39;37;13;20;29;10;3;41;40;0;0;0;3;1
2019-12-05 12:15:00;46;58;24;25;31;7;4;47;40;2;0;1;3;2
2019-12-05 12:30:00;36;56;13;16;25;7;2;31;34;0;0;0;8;3
2019-12-05 12:45:00;33;47;24;25;22;12;3;53;42;0;0;0;3;0
2019-12-05 13:00:00;39;52;25;24;30;14;2;60;67;0;0;14;3;1
2019-12-05 13:15:00;36;45;24;28;29;14;8;86;99;0;0;2;2;0
2019-12-05 13:30:00;51;51;30;37;28;11;5;88;93;0;0;0;5;1
2019-12-05 13:45:00;65;66;24;37;36;23;6;89;110;0;1;0;8;2
2019-12-05 14:00:00;83;94;21;24;50;19;13;49;62;0;0;7;1;7
2019-12-05 14:15:00;145;182;33;33;37;38;23;38;32;0;0;0;6;6
2019-12-05 14:30:00;75;92;23;24;36;20;10;37;51;0;0;0;4;3
2019-12-05 14:45:00;71;107;17;21;35;23;12;35;42;1;0;2;3;1
2019-12-05 15:00:00;69;90;22;25;47;23;14;40;44;0;0;0;3;0
2019-12-05 15:15:00;79;98;20;33;88;35;22;36;49;2;0;0;4;11
2019-12-05 15:30:00;77;88;14;14;55;34;20;40;37;0;0;0;7;4
2019-12-05 15:45:00;71;93;16;18;56;30;17;36;46;0;0;0;5;0
2019-12-05 16:00:00;67;92;14;20;31;32;19;36;43;0;0;0;4;1
2019-12-05 16:15:00;116;111;9;12;44;37;21;53;54;0;0;0;7;1
2019-12-05 16:30:00;64;91;14;16;39;38;16;42;39;0;0;0;6;3
2019-12-05 16:45:00;65;96;21;25;47;28;16;33;43;0;2;0;7;3
2019-12-05 17:00:00;77;93;13;16;35;36;11;39;43;2;0;0;2;3
2019-12-05 17:15:00;73;92;17;19;38;38;14;48;51;0;0;0;1;5
2019-12-05 17:30:00;72;90;22;23;32;27;11;42;43;6;0;0;5;3
2019-12-05 17:45:00;70;96;13;11;26;23;15;43;42;0;0;0;6;5
2019-12-05 18:00:00;45;84;12;12;21;20;12;34;32;0;0;0;5;3
2019-12-05 18:15:00;47;62;3;3;27;26;10;39;32;1;0;0;2;3
2019-12-05 18:30:00;46;68;9;10;17;11;10;33;60;0;0;0;3;1
2019-12-05 18:45:00;41;45;4;6;10;7;4;40;35;17;0;0;5;2
2019-12-05 19:00:00;35;47;6;9;15;10;6;43;38;0;0;0;1;1
2019-12-05 19:15:00;27;42;12;13;11;2;5;33;28;0;0;0;1;2
2019-12-05 19:30:00;20;26;3;6;5;11;5;28;29;0;0;9;0;0
2019-12-05 19:45:00;21;36;6;6;7;6;1;28;32;0;0;0;0;0
2019-12-05 20:00:00;15;19;5;7;4;3;2;19;27;0;0;0;0;0
2019-12-05 20:15:00;13;18;4;5;8;0;0;28;30;0;0;0;0;0
2019-12-05 20:30:00;16;26;4;8;3;0;0;18;27;0;0;0;2;0
2019-12-05 20:45:00;8;15;7;7;3;4;0;24;40;0;0;0;0;0
2019-12-05 21:00:00;10;15;5;8;9;2;0;50;56;0;0;0;2;0
2019-12-05 21:15:00;9;15;8;8;19;1;1;37;71;0;0;0;0;0
2019-12-05 21:30:00;15;39;9;16;11;4;1;45;53;0;0;0;0;0
2019-12-05 21:45:00;44;96;19;19;28;12;13;29;30;1;0;0;0;0
2019-12-05 22:00:00;62;144;27;23;21;10;12;36;22;49;0;0;5;2
2019-12-05 22:15:00;34;59;5;6;5;4;3;28;25;0;0;0;1;0
2019-12-05 22:30:00;15;20;2;3;3;4;1;11;18;0;0;0;0;0
2019-12-05 22:45:00;19;7;0;1;21;0;0;12;16;0;0;0;0;0
2019-12-05 23:00:00;5;16;2;1;0;0;0;15;24;0;0;0;0;0
2019-12-05 23:15:00;30;44;5;8;0;0;0;16;22;0;0;0;0;0
2019-12-05 23:30:00;9;5;0;0;1;4;0;10;13;0;0;0;0;0
2019-12-05 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
