DATUM;1(DB1);2(DB2);3(DB3);4(DB4);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(TAFBB);11(TAFBC);12(TAFBC2);13(TAFGD);14(TAFBD)
2019-11-24 00:00:00;2;7;0;0;0;0;0;3;7;0;0;0;0;0
2019-11-24 00:15:00;8;11;3;2;0;1;0;5;12;0;0;0;0;0
2019-11-24 00:30:00;4;8;4;2;1;1;0;8;13;0;0;0;0;0
2019-11-24 00:45:00;8;12;0;1;0;0;0;2;9;0;0;0;0;0
2019-11-24 01:00:00;3;10;2;2;0;3;0;5;10;0;0;0;0;0
2019-11-24 01:15:00;6;9;0;0;0;1;0;13;18;0;0;0;0;0
2019-11-24 01:30:00;1;6;2;1;1;0;2;1;7;0;0;0;0;0
2019-11-24 01:45:00;2;6;4;2;0;2;0;1;7;0;0;0;0;0
2019-11-24 02:00:00;2;6;1;0;1;0;2;3;9;0;0;0;0;0
2019-11-24 02:15:00;2;5;1;0;0;0;0;0;11;0;0;0;0;0
2019-11-24 02:30:00;2;6;1;0;1;0;0;3;9;0;0;0;0;0
2019-11-24 02:45:00;1;6;1;2;0;0;1;1;10;0;0;0;0;0
2019-11-24 03:00:00;1;6;0;0;0;0;0;2;4;0;0;0;0;0
2019-11-24 03:15:00;1;1;0;0;0;0;0;3;13;0;0;0;0;0
2019-11-24 03:30:00;0;6;2;1;1;0;1;0;3;0;0;0;0;0
2019-11-24 03:45:00;1;5;3;2;0;0;0;0;2;0;0;0;0;0
2019-11-24 04:00:00;1;3;0;1;0;1;0;1;6;0;0;0;0;0
2019-11-24 04:15:00;0;2;0;0;1;1;0;0;1;0;0;0;0;0
2019-11-24 04:30:00;3;6;1;1;0;0;0;0;4;0;0;0;0;0
2019-11-24 04:45:00;2;2;0;0;0;0;0;0;1;0;0;0;0;0
2019-11-24 05:00:00;6;7;1;1;0;0;0;1;4;0;0;0;0;0
2019-11-24 05:15:00;1;2;0;0;0;0;0;6;5;0;0;0;0;0
2019-11-24 05:30:00;2;2;0;0;0;0;0;5;5;0;0;0;0;0
2019-11-24 05:45:00;2;6;1;1;0;2;0;6;13;0;0;0;0;0
2019-11-24 06:00:00;0;4;1;0;0;0;0;4;9;0;0;0;0;0
2019-11-24 06:15:00;2;4;3;3;1;0;0;1;5;0;0;0;0;0
2019-11-24 06:30:00;3;4;2;2;0;0;0;2;4;0;0;0;0;0
2019-11-24 06:45:00;1;2;7;6;0;0;0;1;5;0;0;0;0;0
2019-11-24 07:00:00;2;4;0;0;0;1;0;0;2;0;0;0;0;0
2019-11-24 07:15:00;2;5;0;1;3;4;0;1;4;0;0;0;0;0
2019-11-24 07:30:00;3;3;0;1;0;0;0;2;3;0;0;0;0;0
2019-11-24 07:45:00;7;4;1;1;0;0;0;2;5;0;0;0;0;0
2019-11-24 08:00:00;5;10;0;0;1;0;0;6;10;0;0;0;0;0
2019-11-24 08:15:00;3;7;3;3;1;0;0;5;8;0;0;0;0;0
2019-11-24 08:30:00;12;10;2;1;2;1;0;4;4;0;0;0;0;0
2019-11-24 08:45:00;5;9;3;2;0;0;0;6;7;0;0;0;0;0
2019-11-24 09:00:00;11;12;5;4;7;2;1;10;10;0;0;0;0;0
2019-11-24 09:15:00;13;9;6;3;3;0;0;2;7;0;0;0;0;0
2019-11-24 09:30:00;11;16;5;5;8;5;0;12;14;0;0;0;0;0
2019-11-24 09:45:00;10;18;3;3;2;1;1;41;37;0;0;0;0;0
2019-11-24 10:00:00;15;12;5;4;6;4;0;15;29;0;0;0;0;0
2019-11-24 10:15:00;12;12;4;3;0;1;4;20;33;0;0;0;0;0
2019-11-24 10:30:00;7;19;7;4;2;5;0;16;18;0;0;0;0;0
2019-11-24 10:45:00;21;21;3;4;6;1;0;23;29;0;0;0;0;0
2019-11-24 11:00:00;16;20;3;6;4;6;0;20;33;0;0;0;2;0
2019-11-24 11:15:00;17;30;7;4;2;0;0;13;23;0;0;0;0;0
2019-11-24 11:30:00;13;19;5;7;6;1;0;11;37;0;0;0;0;0
2019-11-24 11:45:00;17;23;8;4;3;1;0;18;30;0;0;0;0;0
2019-11-24 12:00:00;14;18;5;6;4;1;2;17;15;0;0;0;0;0
2019-11-24 12:15:00;10;17;5;7;2;3;1;10;24;0;0;0;0;0
2019-11-24 12:30:00;12;13;3;5;6;8;1;15;24;0;0;0;0;0
2019-11-24 12:45:00;19;30;2;3;5;3;0;17;18;0;0;0;0;0
2019-11-24 13:00:00;18;20;5;10;3;4;1;22;39;0;0;0;2;1
2019-11-24 13:15:00;23;25;2;3;4;1;0;18;32;0;0;0;0;0
2019-11-24 13:30:00;18;31;8;9;9;3;0;21;43;0;0;0;0;0
2019-11-24 13:45:00;16;36;8;8;3;5;1;16;43;0;0;0;0;0
2019-11-24 14:00:00;26;41;1;3;4;5;0;27;32;0;0;0;0;0
2019-11-24 14:15:00;33;43;7;8;4;4;0;17;29;0;0;0;0;0
2019-11-24 14:30:00;20;38;3;6;7;0;1;16;26;0;0;0;0;0
2019-11-24 14:45:00;40;35;4;4;5;8;1;18;31;0;0;0;0;0
2019-11-24 15:00:00;18;37;2;1;8;3;0;21;30;1;0;0;0;0
2019-11-24 15:15:00;24;28;4;3;1;1;2;18;34;0;0;0;2;0
2019-11-24 15:30:00;21;24;3;5;2;0;0;23;31;0;0;0;0;0
2019-11-24 15:45:00;13;33;6;3;1;1;0;19;27;0;0;0;0;0
2019-11-24 16:00:00;26;29;7;4;3;4;0;8;26;0;0;0;0;0
2019-11-24 16:15:00;26;24;5;7;2;2;2;15;28;0;0;0;0;0
2019-11-24 16:30:00;21;49;3;2;7;7;1;21;36;0;0;0;0;0
2019-11-24 16:45:00;16;19;2;3;6;5;2;11;27;0;0;0;0;0
2019-11-24 17:00:00;25;20;3;3;10;6;2;14;39;0;0;0;0;0
2019-11-24 17:15:00;16;29;1;3;0;4;2;20;33;0;0;0;0;0
2019-11-24 17:30:00;16;22;3;1;1;5;0;15;27;0;0;0;0;0
2019-11-24 17:45:00;26;35;2;0;4;2;0;16;30;0;0;0;0;0
2019-11-24 18:00:00;25;19;8;8;2;0;0;15;19;0;0;0;0;0
2019-11-24 18:15:00;21;27;1;1;3;3;2;13;36;0;0;0;0;0
2019-11-24 18:30:00;27;21;1;2;1;2;1;13;25;0;0;0;0;0
2019-11-24 18:45:00;9;21;3;1;2;0;0;10;26;0;0;0;0;0
2019-11-24 19:00:00;12;13;1;0;3;2;1;12;21;0;0;0;0;0
2019-11-24 19:15:00;13;22;3;1;1;4;1;10;28;0;0;0;0;0
2019-11-24 19:30:00;17;15;2;1;0;1;0;14;23;0;0;0;0;0
2019-11-24 19:45:00;13;15;0;1;4;1;0;6;18;0;0;0;0;0
2019-11-24 20:00:00;5;10;3;3;1;2;0;12;21;0;0;0;0;0
2019-11-24 20:15:00;5;8;2;2;2;2;3;11;23;0;0;0;0;0
