DATUM;1(DB1);2(DB2);3(DB3);4(DB4);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(TAFBB);11(TAFBC);12(TAFBC2);13(TAFGD);14(TAFBD)
2020-04-03 00:00:00;0;0;0;0;0;2;0;2;3;0;0;0;0;0
2020-04-03 00:15:00;0;1;0;0;0;0;0;1;5;0;0;0;0;0
2020-04-03 00:30:00;1;2;0;0;0;0;0;0;2;0;0;0;0;0
2020-04-03 00:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-03 01:00:00;2;1;1;1;1;0;0;1;2;0;0;0;0;0
2020-04-03 01:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-03 01:30:00;0;3;0;0;0;0;0;0;3;0;0;0;0;0
2020-04-03 01:45:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-03 02:00:00;1;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-03 02:15:00;0;0;0;0;0;0;0;1;1;0;0;0;0;0
2020-04-03 02:30:00;1;2;1;0;0;0;0;1;1;0;0;0;0;0
2020-04-03 02:45:00;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-03 03:00:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-03 03:15:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-03 03:30:00;0;2;1;1;0;0;0;0;1;0;0;0;0;0
2020-04-03 03:45:00;0;1;2;0;1;0;0;0;1;0;0;0;0;0
2020-04-03 04:00:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-03 04:15:00;0;1;0;0;0;0;0;3;3;0;0;0;0;0
2020-04-03 04:30:00;2;3;0;0;0;0;0;2;1;0;0;0;0;0
2020-04-03 04:45:00;2;4;3;2;0;0;0;4;6;0;0;0;0;0
2020-04-03 05:00:00;1;5;1;1;0;0;0;2;2;0;0;0;0;0
2020-04-03 05:15:00;4;4;0;0;1;1;0;6;6;0;0;0;0;0
2020-04-03 05:30:00;10;13;8;9;0;0;0;20;20;0;0;0;0;0
2020-04-03 05:45:00;7;16;5;5;4;0;0;31;26;0;0;0;0;0
2020-04-03 06:00:00;6;12;4;4;2;1;2;17;17;0;0;1;0;0
2020-04-03 06:15:00;7;18;6;10;0;0;0;25;43;0;0;0;0;0
2020-04-03 06:30:00;10;11;17;19;1;1;0;44;46;0;0;0;0;0
2020-04-03 06:45:00;16;16;5;6;2;0;0;24;32;1;0;0;1;0
2020-04-03 07:00:00;13;12;12;10;6;0;0;32;21;0;0;0;0;0
2020-04-03 07:15:00;12;19;8;12;4;2;0;36;32;0;0;0;0;0
2020-04-03 07:30:00;21;18;17;17;6;0;0;28;42;0;0;0;2;2
2020-04-03 07:45:00;14;16;11;12;2;0;1;39;37;0;0;0;1;1
2020-04-03 08:00:00;15;20;13;11;7;1;0;36;27;0;0;0;0;0
2020-04-03 08:15:00;19;13;6;6;5;2;0;22;21;0;0;0;0;0
2020-04-03 08:30:00;20;18;5;9;4;0;0;22;24;0;0;0;1;4
2020-04-03 08:45:00;16;16;6;6;3;5;5;16;8;0;0;0;1;1
2020-04-03 09:00:00;10;11;6;7;4;1;0;17;15;0;0;0;0;0
2020-04-03 09:15:00;14;19;2;5;4;1;0;15;17;0;0;0;0;0
2020-04-03 09:30:00;13;16;3;2;5;0;0;17;21;0;0;0;1;0
2020-04-03 09:45:00;11;13;7;7;12;0;3;21;19;0;0;0;0;0
2020-04-03 10:00:00;16;11;3;4;5;1;0;30;21;0;0;0;0;0
2020-04-03 10:15:00;23;20;7;4;6;2;0;13;18;0;0;0;2;3
2020-04-03 10:30:00;11;13;12;8;6;4;0;12;15;0;0;0;0;0
2020-04-03 10:45:00;24;27;3;2;3;2;0;19;22;0;0;0;1;0
2020-04-03 11:00:00;14;15;4;6;6;4;1;21;17;0;0;0;1;0
2020-04-03 11:15:00;20;15;11;12;5;1;0;19;15;3;0;0;0;0
2020-04-03 11:30:00;14;24;12;10;9;4;2;21;20;0;0;0;1;1
2020-04-03 11:45:00;22;16;6;7;2;6;5;16;16;5;0;0;1;0
2020-04-03 12:00:00;35;11;10;10;12;8;0;28;24;0;0;0;1;0
2020-04-03 12:15:00;29;29;6;8;7;7;1;18;25;0;0;0;2;0
2020-04-03 12:30:00;26;26;8;12;12;10;4;23;29;0;1;0;5;1
2020-04-03 12:45:00;20;28;2;2;9;1;0;23;21;0;0;0;0;0
2020-04-03 13:00:00;19;19;6;7;12;2;1;22;29;0;0;0;3;3
2020-04-03 13:15:00;14;16;5;7;8;6;0;20;29;0;0;0;1;0
2020-04-03 13:30:00;18;27;4;7;10;6;2;15;28;0;0;0;4;8
2020-04-03 13:45:00;26;21;9;9;7;3;0;21;21;2;0;0;0;0
2020-04-03 14:00:00;23;17;4;6;8;3;1;23;23;0;0;0;0;0
2020-04-03 14:15:00;25;29;5;3;10;5;1;23;26;0;0;0;0;0
2020-04-03 14:30:00;19;17;3;3;12;6;1;21;19;0;0;0;0;0
2020-04-03 14:45:00;20;32;3;5;10;7;2;14;24;0;0;0;0;0
2020-04-03 15:00:00;19;26;4;6;4;4;3;20;35;0;0;0;3;0
2020-04-03 15:15:00;19;29;2;2;12;5;1;19;24;0;0;0;2;0
2020-04-03 15:30:00;23;18;2;2;5;7;2;22;28;0;0;0;0;0
2020-04-03 15:45:00;22;33;4;4;7;8;0;10;13;0;0;0;1;0
2020-04-03 16:00:00;17;23;2;2;5;5;0;17;15;0;0;0;1;0
2020-04-03 16:15:00;25;20;4;4;9;9;2;14;11;0;0;0;2;2
2020-04-03 16:30:00;15;13;4;5;4;1;1;13;23;0;0;0;1;0
2020-04-03 16:45:00;17;19;5;7;9;2;3;16;18;0;0;0;1;4
2020-04-03 17:00:00;13;17;0;0;5;5;2;10;17;0;0;1;1;0
2020-04-03 17:15:00;27;28;4;4;3;3;2;14;17;0;0;2;2;0
2020-04-03 17:30:00;21;26;3;4;9;3;0;12;16;0;0;0;1;0
2020-04-03 17:45:00;14;16;3;5;6;1;0;15;18;0;0;0;0;0
2020-04-03 18:00:00;9;14;3;2;2;3;2;14;17;0;0;0;1;0
2020-04-03 18:15:00;15;23;4;4;7;1;1;8;15;0;0;0;2;0
2020-04-03 18:30:00;14;20;6;7;6;1;3;12;27;0;0;0;5;0
2020-04-03 18:45:00;15;19;3;6;1;2;0;8;56;0;0;0;0;0
2020-04-03 19:00:00;3;16;2;3;1;1;0;8;14;0;0;0;0;0
2020-04-03 19:15:00;7;14;4;4;3;5;1;6;14;0;0;0;4;4
2020-04-03 19:30:00;10;14;2;1;2;3;0;10;10;0;0;0;1;1
2020-04-03 19:45:00;5;12;4;4;2;6;0;8;16;0;0;0;0;0
2020-04-03 20:00:00;7;8;2;1;1;2;0;8;13;0;0;0;5;12
2020-04-03 20:15:00;8;13;2;1;2;2;0;6;7;0;0;0;0;0
2020-04-03 20:30:00;6;11;1;0;1;0;1;4;6;1;0;0;0;0
2020-04-03 20:45:00;2;5;0;0;0;1;0;9;6;0;0;0;0;0
2020-04-03 21:00:00;4;4;1;1;1;1;0;8;15;0;0;0;1;0
2020-04-03 21:15:00;2;4;2;2;1;2;0;9;7;0;0;0;0;0
2020-04-03 21:30:00;5;5;0;1;1;0;0;11;10;0;0;0;0;0
2020-04-03 21:45:00;6;9;2;3;1;4;1;3;3;0;0;0;0;0
2020-04-03 22:00:00;4;6;2;2;2;6;2;3;5;0;0;0;0;0
2020-04-03 22:15:00;2;3;0;0;0;0;0;2;4;0;0;0;2;0
2020-04-03 22:30:00;3;1;0;0;0;0;0;5;6;0;0;0;0;0
2020-04-03 22:45:00;1;3;0;0;0;1;0;2;3;0;0;0;0;0
2020-04-03 23:00:00;1;6;1;0;0;0;0;1;3;0;0;0;0;0
2020-04-03 23:15:00;0;0;0;0;0;1;0;3;1;0;0;0;0;0
2020-04-03 23:30:00;1;0;0;0;0;2;0;1;1;0;0;0;0;0
2020-04-03 23:45:00;0;0;0;0;1;0;0;1;4;0;0;0;0;0
