DATUM;1(DB1);2(DB2);3(DB3);4(DB4);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(TAFBB);11(TAFBC);12(TAFBC2);13(TAFGD);14(TAFBD)
2020-09-03 00:00:00;3;6;1;3;1;0;0;2;8;0;0;0;0;0
2020-09-03 00:15:00;4;9;1;5;0;2;0;3;9;0;0;0;0;0
2020-09-03 00:30:00;3;5;0;0;1;1;0;1;3;0;0;0;0;0
2020-09-03 00:45:00;2;5;0;1;2;0;0;3;4;0;0;0;0;0
2020-09-03 01:00:00;4;6;1;1;0;0;0;4;5;0;0;0;0;0
2020-09-03 01:15:00;2;0;1;1;0;0;0;2;7;0;0;0;0;0
2020-09-03 01:30:00;1;3;0;2;1;0;0;1;4;0;0;0;0;0
2020-09-03 01:45:00;1;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-09-03 02:00:00;1;5;1;2;0;0;0;0;3;0;0;0;0;0
2020-09-03 02:15:00;1;7;3;3;0;1;1;1;6;0;0;0;0;0
2020-09-03 02:30:00;2;3;1;0;0;0;0;1;5;0;0;0;0;0
2020-09-03 02:45:00;0;3;1;1;0;0;0;0;4;0;0;0;0;0
2020-09-03 03:00:00;5;5;0;3;0;0;0;1;4;0;0;0;0;0
2020-09-03 03:15:00;4;7;0;2;0;0;0;0;4;0;0;0;0;0
2020-09-03 03:30:00;1;3;1;3;0;0;0;1;5;0;0;0;0;0
2020-09-03 03:45:00;1;6;1;1;0;0;0;2;2;0;0;0;0;0
2020-09-03 04:00:00;4;10;0;2;0;0;0;0;3;0;0;0;0;0
2020-09-03 04:15:00;3;5;0;3;1;0;0;2;7;0;0;0;0;0
2020-09-03 04:30:00;1;4;1;1;1;0;0;6;11;0;0;0;0;0
2020-09-03 04:45:00;2;2;3;5;1;1;0;8;19;0;0;0;0;0
2020-09-03 05:00:00;10;9;11;11;4;0;0;27;51;0;0;0;0;0
2020-09-03 05:15:00;7;9;16;20;8;0;0;66;120;0;0;0;3;2
2020-09-03 05:30:00;16;34;16;17;12;1;2;87;115;0;0;0;1;0
2020-09-03 05:45:00;48;123;24;20;16;7;12;58;81;0;0;0;5;0
2020-09-03 06:00:00;67;132;15;16;8;2;11;27;53;0;0;0;3;0
2020-09-03 06:15:00;35;63;19;19;5;0;1;54;58;0;0;0;0;0
2020-09-03 06:30:00;22;27;45;38;11;1;3;60;75;1;0;0;3;2
2020-09-03 06:45:00;31;39;41;44;10;5;2;76;75;3;0;0;2;0
2020-09-03 07:00:00;23;29;21;22;10;2;0;60;75;0;0;0;2;0
2020-09-03 07:15:00;22;29;29;35;15;4;0;70;79;2;0;0;1;0
2020-09-03 07:30:00;34;40;23;25;8;4;2;73;77;0;0;0;1;0
2020-09-03 07:45:00;34;57;31;32;8;1;0;69;98;0;0;0;5;0
2020-09-03 08:00:00;25;34;28;30;8;1;1;78;68;1;0;0;1;5
2020-09-03 08:15:00;34;31;22;22;7;1;1;66;58;0;0;0;6;1
2020-09-03 08:30:00;38;35;21;21;7;1;0;55;57;2;0;0;20;6
2020-09-03 08:45:00;32;34;11;18;14;3;0;40;44;0;0;0;1;0
2020-09-03 09:00:00;38;40;7;9;7;2;0;44;40;1;0;2;2;0
2020-09-03 09:15:00;33;35;9;11;11;5;0;25;34;0;0;0;2;3
2020-09-03 09:30:00;27;36;8;14;8;6;1;38;39;0;0;0;2;2
2020-09-03 09:45:00;33;34;11;17;9;3;2;41;28;0;0;1;1;0
2020-09-03 10:00:00;22;37;10;11;6;2;2;29;21;0;0;0;0;0
2020-09-03 10:15:00;31;39;12;13;9;5;3;30;54;2;0;0;1;0
2020-09-03 10:30:00;31;38;12;18;11;0;0;33;34;0;0;0;5;0
2020-09-03 10:45:00;23;41;11;19;13;7;2;29;27;0;0;2;3;1
2020-09-03 11:00:00;33;41;13;13;7;5;1;30;33;0;0;0;7;11
2020-09-03 11:15:00;29;42;15;21;6;7;2;28;32;1;0;0;2;0
2020-09-03 11:30:00;31;26;6;9;14;4;4;43;34;0;0;0;4;0
2020-09-03 11:45:00;31;41;11;19;16;9;3;22;24;0;0;0;2;0
2020-09-03 12:00:00;32;29;16;18;10;12;1;64;30;3;28;0;3;0
2020-09-03 12:15:00;35;55;12;11;16;8;1;31;31;0;0;0;4;0
2020-09-03 12:30:00;32;50;18;21;14;7;1;44;39;0;0;2;2;7
2020-09-03 12:45:00;39;35;10;13;14;5;2;42;53;0;0;0;5;0
2020-09-03 13:00:00;31;35;15;22;26;10;2;37;54;3;0;0;4;0
2020-09-03 13:15:00;35;53;15;17;23;1;3;60;81;0;0;0;3;0
2020-09-03 13:30:00;45;53;20;29;32;9;2;106;115;0;0;0;5;18
2020-09-03 13:45:00;42;58;19;22;25;11;2;85;119;5;0;0;6;7
2020-09-03 14:00:00;80;97;21;25;31;22;9;62;82;3;0;0;8;18
2020-09-03 14:15:00;120;144;16;22;27;20;11;32;31;13;1;0;5;3
2020-09-03 14:30:00;71;116;21;23;14;19;5;25;32;3;0;0;6;2
2020-09-03 14:45:00;40;68;12;14;21;9;4;26;39;0;1;0;8;5
2020-09-03 15:00:00;43;73;23;26;29;26;9;32;34;0;0;0;8;0
2020-09-03 15:15:00;58;74;19;18;55;31;19;86;44;0;0;0;4;0
2020-09-03 15:30:00;52;76;13;23;31;21;9;32;36;5;0;0;4;7
2020-09-03 15:45:00;53;61;6;11;33;11;8;36;35;0;0;0;6;6
2020-09-03 16:00:00;65;74;13;15;20;16;8;31;35;0;0;0;7;7
2020-09-03 16:15:00;56;68;17;16;28;15;2;24;31;0;0;0;2;0
2020-09-03 16:30:00;298;90;22;23;30;23;9;34;50;1;0;10;7;0
2020-09-03 16:45:00;50;54;13;10;23;13;1;25;35;1;0;0;4;2
2020-09-03 17:00:00;290;67;262;11;23;21;9;24;38;1;0;0;5;1
2020-09-03 17:15:00;44;57;10;9;17;15;4;30;40;4;0;0;5;2
2020-09-03 17:30:00;43;49;11;13;20;13;5;32;39;1;0;0;4;5
2020-09-03 17:45:00;39;60;11;15;27;16;8;34;42;0;0;0;2;24
2020-09-03 18:00:00;37;42;8;8;21;14;4;21;32;0;0;0;1;0
2020-09-03 18:15:00;41;60;5;8;9;10;4;30;37;0;0;0;3;2
2020-09-03 18:30:00;27;29;8;12;5;11;5;26;45;0;0;0;3;2
2020-09-03 18:45:00;26;34;4;13;9;8;5;21;30;1;0;0;5;75
2020-09-03 19:00:00;27;31;5;3;8;6;1;20;27;0;0;0;4;27
2020-09-03 19:15:00;272;23;4;6;2;7;3;18;15;0;0;0;4;3
2020-09-03 19:30:00;259;33;3;9;1;6;1;24;27;0;0;0;1;1
2020-09-03 19:45:00;521;30;3;1;3;2;3;12;18;0;0;0;1;0
2020-09-03 20:00:00;39;25;2;7;4;8;4;21;30;0;0;0;5;3
2020-09-03 20:15:00;348;28;8;13;6;1;2;18;40;0;0;0;3;2
2020-09-03 20:30:00;534;18;4;4;6;2;0;14;26;0;0;0;3;4
2020-09-03 20:45:00;268;19;6;8;6;10;0;27;43;1;0;0;2;1
2020-09-03 21:00:00;62;20;13;18;5;2;2;29;47;1;0;0;3;0
2020-09-03 21:15:00;254;20;5;7;19;3;0;64;60;0;0;0;0;0
2020-09-03 21:30:00;90;48;6;11;15;6;2;22;52;1;0;0;0;0
2020-09-03 21:45:00;258;151;6;6;23;14;8;15;29;4;0;0;1;3
2020-09-03 22:00:00;302;144;10;9;26;13;12;15;25;0;0;0;5;0
2020-09-03 22:15:00;7;62;10;13;4;1;3;10;21;0;0;0;1;1
2020-09-03 22:30:00;14;20;2;3;0;0;0;8;14;0;0;0;0;0
2020-09-03 22:45:00;5;9;1;2;2;2;0;6;9;0;0;0;2;1
2020-09-03 23:00:00;266;18;3;3;0;0;0;2;11;0;0;0;0;0
2020-09-03 23:15:00;3;5;4;2;1;0;0;3;11;0;0;0;0;0
2020-09-03 23:30:00;8;8;2;1;3;0;0;8;12;0;0;0;0;0
2020-09-03 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
