DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DA4);12(TAA);13(TAFBA);14(TAFBB);15(TAC);16(TAFBC);17(TAFBD);18(TAFBE)
2020-08-07 00:00:00;8;3;2;2;1;1;5;0;0;0;1;0;0;1;1;0;0;0
2020-08-07 00:15:00;3;7;3;2;1;3;8;1;0;0;0;0;0;0;0;0;0;0
2020-08-07 00:30:00;1;4;2;1;1;6;4;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 00:45:00;2;3;0;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 01:00:00;3;6;4;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 01:15:00;4;4;1;4;0;3;4;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 01:30:00;1;2;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 01:45:00;2;2;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 02:00:00;0;3;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 02:15:00;3;1;1;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-08-07 02:30:00;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 02:45:00;0;0;0;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 03:00:00;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 03:15:00;0;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 03:30:00;2;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 03:45:00;1;2;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 04:00:00;3;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 04:15:00;2;2;1;2;0;3;3;0;0;0;1;0;0;0;0;0;0;0
2020-08-07 04:30:00;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-07 04:45:00;3;4;0;4;1;0;2;1;0;0;0;0;0;0;0;0;0;0
2020-08-07 05:00:00;6;5;2;4;0;3;8;2;0;0;1;0;0;0;0;0;0;0
2020-08-07 05:15:00;12;10;2;9;1;4;8;0;2;3;1;0;0;0;0;0;0;0
2020-08-07 05:30:00;32;16;4;16;1;5;16;0;2;1;1;2;0;0;1;0;0;0
2020-08-07 05:45:00;37;30;0;16;3;9;18;1;1;1;2;5;0;0;2;0;0;0
2020-08-07 06:00:00;29;22;11;14;4;8;20;0;3;4;4;0;0;0;0;0;0;0
2020-08-07 06:15:00;36;24;5;10;1;14;34;3;2;3;2;0;0;0;0;0;0;0
2020-08-07 06:30:00;28;52;3;20;4;17;30;0;7;7;2;3;0;0;11;0;0;0
2020-08-07 06:45:00;31;34;5;19;5;14;40;0;3;3;1;1;0;0;5;0;0;0
2020-08-07 07:00:00;37;32;5;18;3;16;32;1;2;7;2;1;0;0;2;0;0;0
2020-08-07 07:15:00;33;42;9;9;0;24;44;0;3;3;4;9;0;0;10;0;0;0
2020-08-07 07:30:00;36;28;4;19;0;32;33;1;4;3;5;7;0;0;1;0;0;0
2020-08-07 07:45:00;35;43;11;15;2;26;50;4;3;6;2;5;0;0;5;0;0;0
2020-08-07 08:00:00;33;29;7;11;5;20;40;0;6;4;3;6;0;0;7;0;0;0
2020-08-07 08:15:00;34;32;7;17;4;28;39;4;3;5;4;0;0;0;2;0;0;0
2020-08-07 08:30:00;34;29;8;20;4;31;44;2;1;1;9;7;0;0;3;0;0;0
2020-08-07 08:45:00;32;19;9;17;6;28;49;7;3;5;6;18;0;0;3;0;0;0
2020-08-07 09:00:00;24;29;12;13;8;23;37;4;3;3;6;0;0;0;5;0;0;0
2020-08-07 09:15:00;30;25;12;16;2;26;26;3;3;3;5;0;0;0;12;7;0;0
2020-08-07 09:30:00;32;24;16;12;5;28;35;6;2;2;5;3;2;0;3;0;0;0
2020-08-07 09:45:00;28;23;12;15;5;25;35;8;2;4;1;3;0;0;1;0;0;0
2020-08-07 10:00:00;37;21;19;14;5;32;23;3;2;2;3;0;0;0;1;0;0;0
2020-08-07 10:15:00;28;21;16;18;5;29;29;4;3;2;13;4;0;0;2;0;0;0
2020-08-07 10:30:00;37;21;17;16;11;34;28;8;3;2;9;8;0;0;6;0;0;0
2020-08-07 10:45:00;34;26;13;18;11;33;32;10;1;2;7;0;0;0;7;0;0;0
2020-08-07 11:00:00;33;23;25;17;8;28;33;11;2;2;4;5;0;0;13;0;0;0
2020-08-07 11:15:00;28;29;17;16;3;38;35;8;3;3;5;13;1;0;5;0;0;0
2020-08-07 11:30:00;37;25;11;19;12;38;30;7;3;3;7;7;0;0;5;0;0;0
2020-08-07 11:45:00;32;25;10;9;13;42;41;12;2;3;3;7;0;0;11;0;0;0
2020-08-07 12:00:00;36;31;17;10;6;48;57;9;3;2;4;3;0;0;15;1;0;0
2020-08-07 12:15:00;41;18;19;18;6;38;43;9;3;4;5;5;0;0;15;3;0;0
2020-08-07 12:30:00;41;26;16;20;5;38;41;11;3;5;4;21;0;0;10;0;0;0
2020-08-07 12:45:00;34;21;19;24;4;40;40;6;1;2;6;5;0;0;10;0;0;0
2020-08-07 13:00:00;45;34;11;24;5;25;33;13;5;3;4;2;0;0;15;4;0;0
2020-08-07 13:15:00;40;27;18;23;2;34;34;20;5;3;5;14;0;0;4;0;0;0
2020-08-07 13:30:00;39;26;18;19;13;27;29;14;6;3;8;14;0;0;9;0;0;0
2020-08-07 13:45:00;37;29;24;26;6;37;42;9;7;5;3;12;0;0;5;0;0;0
2020-08-07 14:00:00;54;48;39;13;7;37;40;8;4;2;6;4;0;0;12;4;0;0
2020-08-07 14:15:00;44;36;19;10;10;39;41;9;3;2;3;5;0;0;13;0;0;0
2020-08-07 14:30:00;35;36;32;18;5;34;38;10;3;4;3;4;0;0;19;0;0;0
2020-08-07 14:45:00;34;27;31;14;5;37;29;8;5;3;5;12;0;0;4;0;0;0
2020-08-07 15:00:00;30;31;17;15;4;32;37;7;2;7;3;0;0;0;16;0;1;0
2020-08-07 15:15:00;37;27;26;13;3;28;23;6;5;9;4;0;0;0;13;0;0;0
2020-08-07 15:30:00;30;32;16;12;6;32;34;3;1;4;5;38;0;0;2;0;0;0
