DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DA4);12(TAA);13(TAFBA);14(TAFBB);15(TAC);16(TAFBC);17(TAFBD);18(TAFBE)
2020-07-11 00:00:00;5;7;4;0;0;6;12;2;0;0;0;0;0;0;0;0;0;0
2020-07-11 00:15:00;8;14;6;0;0;5;9;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 00:30:00;7;11;5;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 00:45:00;4;11;6;0;1;9;9;3;0;0;0;0;0;0;0;0;0;0
2020-07-11 01:00:00;2;7;5;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 01:15:00;5;9;4;0;0;3;9;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 01:30:00;0;8;4;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 01:45:00;0;6;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 02:00:00;1;8;4;0;0;4;9;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 02:15:00;1;5;3;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 02:30:00;2;4;3;0;0;4;1;2;0;0;0;0;0;0;0;0;0;0
2020-07-11 02:45:00;0;0;0;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 03:00:00;1;2;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 03:15:00;0;4;2;1;2;0;5;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 03:30:00;0;5;5;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 03:45:00;0;4;4;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 04:00:00;0;2;4;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 04:15:00;1;2;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 04:30:00;1;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 04:45:00;1;2;2;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 05:00:00;2;12;4;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 05:15:00;3;22;3;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 05:30:00;5;25;9;0;0;15;17;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 05:45:00;8;33;16;0;1;45;76;2;0;0;0;7;0;0;0;0;0;0
2020-07-11 06:00:00;6;21;14;0;0;87;135;6;0;0;1;4;1;0;0;0;0;0
2020-07-11 06:15:00;1;23;6;0;1;27;34;0;0;0;1;0;3;0;0;0;0;0
2020-07-11 06:30:00;6;22;4;0;1;13;16;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 06:45:00;2;19;3;0;0;10;18;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 07:00:00;6;11;3;0;1;6;9;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 07:15:00;3;10;1;0;0;6;7;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 07:30:00;7;21;3;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 07:45:00;2;8;3;0;0;9;13;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 08:00:00;3;8;9;0;0;9;7;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 08:15:00;3;13;4;0;0;11;7;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 08:30:00;4;12;6;0;0;10;15;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 08:45:00;3;13;4;0;0;9;14;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 09:00:00;9;9;7;0;0;13;11;1;0;0;1;0;0;0;0;0;0;0
2020-07-11 09:15:00;3;12;8;0;0;17;19;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 09:30:00;9;14;7;0;0;14;30;6;0;0;2;0;0;0;0;0;0;0
2020-07-11 09:45:00;3;20;5;0;1;17;29;1;0;0;0;5;0;0;0;0;0;0
2020-07-11 10:00:00;6;14;9;0;1;22;23;2;0;0;1;3;0;0;0;0;0;0
2020-07-11 10:15:00;5;20;10;0;0;30;37;3;0;0;0;8;0;0;0;0;0;0
2020-07-11 10:30:00;12;24;10;0;0;20;25;4;0;0;1;1;0;0;0;0;0;0
2020-07-11 10:45:00;8;26;8;0;1;23;19;2;0;0;0;0;0;0;0;0;0;0
2020-07-11 11:00:00;13;22;19;0;0;27;25;3;0;0;0;4;0;0;0;0;0;0
2020-07-11 11:15:00;14;31;21;0;0;21;32;3;0;0;0;1;0;0;0;0;0;0
2020-07-11 11:30:00;17;33;13;0;1;22;29;6;0;0;2;3;0;0;0;0;0;0
2020-07-11 11:45:00;8;34;11;0;1;14;22;1;0;0;0;2;0;0;0;0;0;0
2020-07-11 12:00:00;16;29;7;0;0;31;24;6;0;0;0;0;0;0;0;0;2;0
2020-07-11 12:15:00;9;36;5;0;2;26;40;6;0;0;0;10;0;0;0;0;0;0
2020-07-11 12:30:00;19;35;13;0;0;17;30;5;0;0;0;5;1;0;0;0;0;0
2020-07-11 12:45:00;17;39;9;0;2;15;21;9;0;0;0;4;1;0;0;0;0;0
2020-07-11 13:00:00;16;43;15;0;1;13;22;4;0;0;2;5;0;0;0;0;0;0
2020-07-11 13:15:00;16;42;9;0;0;19;12;3;0;0;0;1;0;0;0;0;0;0
2020-07-11 13:30:00;16;29;14;0;2;22;24;7;0;0;0;56;0;0;0;0;0;0
2020-07-11 13:45:00;10;33;10;0;1;20;25;6;0;0;0;0;0;0;0;0;0;0
2020-07-11 14:00:00;9;36;17;1;1;30;22;1;0;0;0;4;0;0;0;0;0;0
2020-07-11 14:15:00;16;34;19;0;1;24;25;5;0;0;0;4;0;0;0;0;0;0
2020-07-11 14:30:00;17;40;14;0;0;26;40;7;0;0;3;11;13;0;0;0;0;0
2020-07-11 14:45:00;14;32;13;0;1;24;33;1;0;0;0;4;0;0;0;0;0;0
2020-07-11 15:00:00;16;26;12;0;0;24;25;6;0;0;0;0;0;0;0;0;0;0
2020-07-11 15:15:00;7;21;10;0;3;23;19;2;0;0;0;10;0;0;0;0;0;0
2020-07-11 15:30:00;17;23;11;0;1;24;33;6;0;0;0;3;2;0;0;0;0;0
2020-07-11 15:45:00;7;34;11;0;0;23;29;3;0;0;0;0;0;0;0;0;0;0
2020-07-11 16:00:00;10;31;10;0;1;23;29;3;0;0;0;2;0;0;0;0;0;0
2020-07-11 16:15:00;9;30;15;0;1;16;33;4;0;0;0;9;0;0;0;0;0;0
2020-07-11 16:30:00;16;43;12;0;1;14;18;2;0;0;0;0;0;0;0;0;0;0
2020-07-11 16:45:00;9;26;9;0;2;16;22;2;0;0;0;2;0;0;0;0;0;0
2020-07-11 17:00:00;12;35;14;0;3;21;24;0;0;0;0;46;0;0;0;0;0;0
2020-07-11 17:15:00;12;25;9;0;0;20;30;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 17:30:00;11;38;13;0;2;23;18;2;0;0;0;1;2;0;0;0;0;0
2020-07-11 17:45:00;12;27;12;0;0;19;27;1;0;0;0;2;0;0;0;0;0;0
