DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DA4);12(TAA);13(TAFBA);14(TAFBB);15(TAC);16(TAFBC);17(TAFBD);18(TAFBE)
2020-07-07 00:00:00;3;5;3;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 00:15:00;0;8;6;0;0;1;4;3;0;0;0;0;0;0;0;0;0;0
2020-07-07 00:30:00;0;4;6;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 00:45:00;1;4;3;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0
2020-07-07 01:00:00;0;11;3;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 01:15:00;1;6;1;0;0;2;5;1;0;0;0;0;0;0;0;0;0;0
2020-07-07 01:30:00;0;3;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 01:45:00;1;2;4;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 02:00:00;3;6;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 02:15:00;0;2;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 02:30:00;0;6;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 02:45:00;0;3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 03:00:00;1;4;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 03:15:00;0;4;5;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 03:30:00;1;2;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 03:45:00;1;4;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 04:00:00;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 04:15:00;2;6;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 04:30:00;2;16;1;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 04:45:00;9;27;5;0;0;6;11;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 05:00:00;3;60;4;0;0;8;18;1;0;0;0;2;0;0;0;0;0;0
2020-07-07 05:15:00;28;142;8;0;1;16;56;1;0;0;4;25;0;0;0;0;0;0
2020-07-07 05:30:00;17;174;7;0;2;25;71;2;0;0;4;31;0;0;0;0;0;0
2020-07-07 05:45:00;12;119;23;0;0;64;124;3;0;0;0;14;1;0;0;0;0;0
2020-07-07 06:00:00;12;93;18;0;1;81;174;5;0;0;0;15;3;0;0;0;0;0
2020-07-07 06:15:00;10;97;10;0;4;33;119;0;0;0;0;11;0;0;0;0;0;0
2020-07-07 06:30:00;22;112;9;0;2;48;127;0;0;0;3;15;2;0;0;0;0;0
2020-07-07 06:45:00;18;118;13;0;2;43;110;0;0;0;0;24;0;0;0;0;0;0
2020-07-07 07:00:00;13;105;13;0;1;33;88;2;0;0;1;16;0;0;0;0;0;0
2020-07-07 07:15:00;26;111;14;4;1;56;128;4;0;0;1;29;0;0;0;0;0;0
2020-07-07 07:30:00;20;116;27;8;8;52;94;1;0;0;1;38;2;0;0;0;0;0
2020-07-07 07:45:00;28;133;28;6;1;48;108;2;0;0;1;16;0;0;0;0;0;0
2020-07-07 08:00:00;27;87;20;1;0;40;98;4;0;0;0;17;0;0;0;0;0;0
2020-07-07 08:15:00;32;94;21;0;1;49;84;3;0;0;0;6;0;0;0;0;0;0
2020-07-07 08:30:00;28;65;17;1;0;40;67;2;0;0;0;7;0;0;0;0;0;0
2020-07-07 08:45:00;25;61;10;0;2;40;68;5;0;0;1;19;0;0;0;0;0;0
2020-07-07 09:00:00;28;65;12;1;0;22;46;6;0;0;0;1;0;0;0;0;0;0
2020-07-07 09:15:00;20;48;11;6;0;34;45;3;0;0;0;3;0;0;0;0;0;0
2020-07-07 09:30:00;28;52;16;1;0;22;44;4;0;0;0;7;0;0;0;0;0;0
2020-07-07 09:45:00;13;63;20;0;0;38;47;6;0;0;0;5;0;0;0;0;0;0
2020-07-07 10:00:00;25;59;22;0;1;42;49;8;0;0;0;6;0;0;0;0;0;0
2020-07-07 10:15:00;18;46;11;0;2;24;39;5;0;0;0;8;0;0;0;0;0;0
2020-07-07 10:30:00;14;53;19;0;2;33;39;9;0;0;0;3;0;0;0;0;0;0
2020-07-07 10:45:00;22;63;18;1;0;36;38;3;0;0;0;37;0;0;0;0;0;0
2020-07-07 11:00:00;19;63;26;4;4;38;42;12;0;0;0;17;0;0;0;0;0;0
2020-07-07 11:15:00;26;73;9;13;7;32;52;11;0;0;0;10;0;0;0;0;0;0
2020-07-07 11:30:00;19;71;26;22;3;28;45;5;0;0;1;20;0;0;0;0;0;0
2020-07-07 11:45:00;17;72;17;0;3;33;48;7;0;0;0;14;0;0;0;0;0;0
2020-07-07 12:00:00;24;73;16;0;0;32;44;4;0;0;0;25;1;0;0;0;0;0
2020-07-07 12:15:00;12;49;17;0;4;33;38;7;0;0;0;11;0;0;0;0;0;0
2020-07-07 12:30:00;24;71;16;3;1;28;51;15;0;0;0;15;0;0;0;0;0;0
2020-07-07 12:45:00;15;87;21;11;4;24;60;9;0;0;2;14;0;0;0;0;0;0
2020-07-07 13:00:00;19;92;23;9;1;32;49;6;0;0;1;8;2;0;0;0;0;0
2020-07-07 13:15:00;30;146;16;0;1;25;48;9;0;0;5;16;1;3;0;0;0;0
2020-07-07 13:30:00;33;184;24;38;2;43;78;6;0;0;2;40;0;0;0;0;0;0
2020-07-07 13:45:00;32;150;28;2;5;45;88;13;0;0;3;56;35;0;0;0;0;0
2020-07-07 14:00:00;24;146;39;4;2;83;147;6;0;0;1;22;4;0;0;0;0;0
2020-07-07 14:15:00;14;83;41;0;4;105;173;10;0;0;1;41;2;0;0;0;0;0
2020-07-07 14:30:00;26;105;42;1;2;71;96;10;0;0;0;27;1;0;0;0;0;0
2020-07-07 14:45:00;22;99;30;2;1;50;77;6;0;0;2;23;1;0;0;0;0;0
2020-07-07 15:00:00;18;98;36;0;1;43;69;6;0;0;0;11;0;0;0;0;0;0
2020-07-07 15:15:00;23;141;33;1;4;44;93;5;0;0;1;24;0;0;0;0;0;0
2020-07-07 15:30:00;16;87;30;0;0;51;67;4;0;0;2;4;0;0;0;0;0;0
2020-07-07 15:45:00;9;84;33;3;1;40;55;8;0;0;2;20;3;0;0;0;3;0
2020-07-07 16:00:00;21;101;27;1;1;49;62;3;0;0;0;25;1;0;0;0;0;0
2020-07-07 16:15:00;23;108;37;3;1;54;59;6;0;0;2;23;4;0;0;0;0;0
2020-07-07 16:30:00;20;93;46;1;5;38;47;7;0;0;0;117;0;0;0;0;0;0
2020-07-07 16:45:00;9;87;21;0;0;43;58;2;0;0;0;28;0;0;0;0;0;0
2020-07-07 17:00:00;11;92;25;0;2;40;49;6;0;0;0;65;5;0;0;0;0;0
2020-07-07 17:15:00;24;88;35;0;1;43;58;4;0;0;0;20;0;0;0;0;0;0
2020-07-07 17:30:00;15;88;38;0;2;44;52;5;0;0;1;9;0;0;0;0;0;0
2020-07-07 17:45:00;16;81;28;0;6;38;53;4;0;0;2;13;0;0;0;0;0;0
2020-07-07 18:00:00;19;73;24;0;1;26;51;1;0;0;0;9;0;0;0;0;0;0
2020-07-07 18:15:00;16;68;32;0;3;45;55;2;0;0;0;12;2;0;0;0;1;0
2020-07-07 18:30:00;14;50;21;0;1;32;38;4;0;0;0;4;0;0;0;0;0;0
2020-07-07 18:45:00;12;41;22;0;1;29;34;4;0;0;0;0;0;0;0;0;0;0
2020-07-07 19:00:00;13;36;21;0;3;22;30;1;0;0;0;2;0;0;0;0;0;0
2020-07-07 19:15:00;7;30;17;0;0;21;19;1;0;0;0;0;0;0;0;0;0;0
2020-07-07 19:30:00;10;36;17;0;1;24;27;0;0;0;0;5;0;0;0;0;0;0
2020-07-07 19:45:00;7;34;10;0;0;32;21;1;0;0;0;0;0;0;0;0;0;0
2020-07-07 20:00:00;8;31;16;0;0;28;29;1;0;0;0;0;0;0;0;0;0;0
2020-07-07 20:15:00;8;35;21;0;0;20;23;3;0;0;0;5;0;0;0;0;0;0
2020-07-07 20:30:00;6;34;11;0;0;13;20;1;0;0;0;3;0;0;0;0;0;0
2020-07-07 20:45:00;4;66;8;0;1;18;24;1;0;0;0;9;0;0;0;0;0;0
2020-07-07 21:00:00;13;103;13;0;4;19;40;1;0;0;0;19;0;0;0;0;0;0
2020-07-07 21:15:00;16;133;15;0;3;18;34;3;0;0;0;19;1;0;0;0;0;0
2020-07-07 21:30:00;15;84;17;0;4;20;29;1;0;0;0;26;0;0;0;0;0;0
2020-07-07 21:45:00;11;68;27;0;0;70;117;3;0;0;0;15;0;0;0;0;0;0
2020-07-07 22:00:00;10;72;31;0;1;99;151;3;0;0;0;22;0;0;0;0;0;0
2020-07-07 22:15:00;3;27;18;0;3;34;44;1;0;0;0;12;0;0;0;0;0;0
2020-07-07 22:30:00;4;19;11;0;1;20;16;1;0;0;0;0;0;0;0;0;0;0
2020-07-07 22:45:00;4;17;6;0;0;9;9;1;0;0;0;10;0;0;0;0;0;0
2020-07-07 23:00:00;6;20;8;0;0;6;12;1;0;0;0;0;0;0;0;0;0;0
2020-07-07 23:15:00;1;12;2;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0
2020-07-07 23:30:00;0;6;5;0;1;3;6;0;0;0;0;0;0;0;0;0;0;0
