DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DA4);12(TAA);13(TAFBA);14(TAFBB);15(TAC);16(TAFBC);17(TAFBD);18(TAFBE)
2020-11-16 00:00:00;0;5;1;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 00:15:00;1;3;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 00:30:00;1;4;0;1;1;0;5;1;0;0;0;0;0;0;0;0;0;0
2020-11-16 00:45:00;0;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 01:00:00;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 01:15:00;1;6;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 01:30:00;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 01:45:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 02:00:00;2;3;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 02:15:00;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 02:30:00;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 02:45:00;2;4;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 03:00:00;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 03:15:00;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 03:30:00;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 03:45:00;1;5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 04:00:00;3;6;2;2;0;3;7;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 04:15:00;1;5;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-11-16 04:30:00;10;7;2;3;3;1;2;0;0;0;2;0;0;0;0;0;0;0
2020-11-16 04:45:00;13;20;2;9;2;4;12;1;0;0;0;0;0;0;0;0;0;0
2020-11-16 05:00:00;38;63;1;13;3;9;24;3;0;0;4;0;0;0;30;0;0;0
2020-11-16 05:15:00;76;146;11;24;7;8;39;1;0;1;11;5;0;0;20;0;0;0
2020-11-16 05:30:00;103;115;11;28;10;13;41;2;6;5;3;1;0;0;43;9;0;0
2020-11-16 05:45:00;64;63;14;26;3;18;48;0;4;2;3;1;0;0;22;5;0;0
2020-11-16 06:00:00;48;52;12;25;1;17;41;2;3;3;3;0;0;0;5;0;0;0
2020-11-16 06:15:00;44;43;11;28;3;19;50;2;5;5;4;7;0;0;2;0;0;0
2020-11-16 06:30:00;63;61;5;37;4;23;82;1;6;3;9;15;0;0;9;0;0;0
2020-11-16 06:45:00;61;69;6;43;2;21;77;2;6;5;4;7;0;0;21;0;0;0
2020-11-16 07:00:00;43;48;8;33;5;26;64;3;3;6;3;1;0;0;9;0;0;0
2020-11-16 07:15:00;63;52;9;24;2;46;94;1;4;5;6;15;0;0;5;0;0;0
2020-11-16 07:30:00;49;71;12;36;6;39;73;0;4;5;7;4;2;0;0;9;0;0
2020-11-16 07:45:00;62;62;24;46;4;44;61;1;4;4;11;15;0;0;16;1;0;0
2020-11-16 08:00:00;58;70;18;36;9;27;46;3;1;4;10;11;0;0;28;0;0;0
2020-11-16 08:15:00;53;53;19;27;3;31;68;6;4;4;9;13;0;0;6;0;0;0
2020-11-16 08:30:00;40;47;15;25;3;36;63;6;3;4;3;0;0;0;12;1;0;0
2020-11-16 08:45:00;34;29;13;19;9;28;39;3;1;1;9;4;0;0;7;0;0;0
2020-11-16 09:00:00;29;21;8;13;4;31;34;8;3;4;8;0;0;0;8;0;0;0
2020-11-16 09:15:00;38;21;14;14;7;30;46;7;2;2;9;0;0;0;6;0;0;0
2020-11-16 09:30:00;36;25;17;22;3;26;46;3;2;2;4;0;0;0;8;2;0;0
2020-11-16 09:45:00;46;18;16;17;7;29;38;14;2;5;15;5;0;0;7;0;0;0
2020-11-16 10:00:00;38;21;16;11;6;24;32;7;3;5;6;1;0;0;6;0;0;0
2020-11-16 10:15:00;46;31;13;11;3;33;52;7;2;2;11;3;0;0;8;0;0;0
2020-11-16 10:30:00;35;20;10;7;6;23;33;5;5;5;9;2;0;0;1;0;0;0
2020-11-16 10:45:00;49;30;12;8;11;36;44;17;1;3;13;0;0;0;15;0;3;0
2020-11-16 11:00:00;41;32;12;12;4;26;38;9;2;4;12;14;0;0;11;0;0;0
2020-11-16 11:15:00;39;22;23;22;4;30;41;7;2;2;9;0;0;0;11;0;0;0
