DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(TA1);8(TA2)
2019-10-30 00:00:00;2;1;0;0;7;1;0;0
2019-10-30 00:15:00;2;2;0;0;4;2;0;0
2019-10-30 00:30:00;0;2;1;0;2;0;0;0
2019-10-30 00:45:00;3;2;0;0;1;3;0;0
2019-10-30 01:00:00;2;0;0;0;1;5;0;0
2019-10-30 01:15:00;1;2;0;0;0;1;0;0
2019-10-30 01:30:00;0;2;0;0;2;3;0;0
2019-10-30 01:45:00;3;1;0;0;2;0;0;0
2019-10-30 02:00:00;3;4;0;0;1;3;0;0
2019-10-30 02:15:00;0;0;0;0;1;2;0;0
2019-10-30 02:30:00;1;2;0;0;2;3;0;0
2019-10-30 02:45:00;2;1;0;0;3;3;0;0
2019-10-30 03:00:00;1;2;0;0;2;4;0;0
2019-10-30 03:15:00;4;5;0;0;0;2;0;0
2019-10-30 03:30:00;2;3;0;0;1;0;0;0
2019-10-30 03:45:00;4;0;0;0;0;7;0;0
2019-10-30 04:00:00;7;3;0;0;1;3;0;0
2019-10-30 04:15:00;5;3;0;0;4;7;0;0
2019-10-30 04:30:00;5;1;0;0;1;6;0;0
2019-10-30 04:45:00;6;3;0;0;9;17;0;0
2019-10-30 05:00:00;10;8;0;0;36;53;20;0
2019-10-30 05:15:00;11;22;1;0;74;137;21;0
2019-10-30 05:30:00;30;25;2;0;85;119;11;9
2019-10-30 05:45:00;75;122;3;0;43;79;12;5
2019-10-30 06:00:00;64;99;3;0;35;51;14;11
2019-10-30 06:15:00;27;42;4;0;51;58;18;13
2019-10-30 06:30:00;20;50;0;0;45;63;18;0
2019-10-30 06:45:00;24;32;3;0;39;74;17;0
2019-10-30 07:00:00;16;39;4;0;30;79;23;0
2019-10-30 07:15:00;25;35;3;0;39;72;15;2
2019-10-30 07:30:00;32;43;6;0;53;72;18;0
2019-10-30 07:45:00;31;46;6;0;35;48;18;0
2019-10-30 08:00:00;30;37;11;0;40;51;23;1
2019-10-30 08:15:00;29;47;5;0;28;40;14;0
2019-10-30 08:30:00;11;38;10;0;24;34;10;4
2019-10-30 08:45:00;18;49;12;0;21;21;15;0
2019-10-30 09:00:00;18;34;10;0;26;31;5;1
2019-10-30 09:15:00;18;33;14;0;30;32;3;2
2019-10-30 09:30:00;22;33;10;0;28;26;3;0
2019-10-30 09:45:00;24;48;9;0;31;32;7;3
2019-10-30 10:00:00;30;47;11;0;31;32;6;4
2019-10-30 10:15:00;23;39;11;0;37;31;8;3
