DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(TA1);8(TA2)
2019-10-10 00:00:00;1;1;0;0;1;1;0;0
2019-10-10 00:15:00;2;5;0;0;5;4;0;0
2019-10-10 00:30:00;3;0;0;0;4;1;0;0
2019-10-10 00:45:00;5;0;0;0;4;1;0;0
2019-10-10 01:00:00;3;2;0;0;2;4;0;0
2019-10-10 01:15:00;3;2;0;0;2;0;0;0
2019-10-10 01:30:00;2;0;0;0;1;6;0;0
2019-10-10 01:45:00;3;0;0;0;0;5;0;0
2019-10-10 02:00:00;2;2;0;0;3;1;0;0
2019-10-10 02:15:00;0;4;0;0;1;6;0;0
2019-10-10 02:30:00;2;2;0;0;3;3;0;0
2019-10-10 02:45:00;1;0;1;0;2;0;0;0
2019-10-10 03:00:00;1;1;0;0;2;4;0;0
2019-10-10 03:15:00;2;3;0;0;1;4;0;0
2019-10-10 03:30:00;2;5;0;0;3;4;0;0
2019-10-10 03:45:00;2;2;0;0;5;5;0;0
2019-10-10 04:00:00;4;3;0;0;2;6;0;0
2019-10-10 04:15:00;1;2;1;0;2;3;0;0
2019-10-10 04:30:00;4;2;0;0;6;9;0;0
2019-10-10 04:45:00;8;8;0;0;20;27;0;0
2019-10-10 05:00:00;10;18;0;0;31;65;13;0
2019-10-10 05:15:00;12;31;3;0;92;125;19;0
2019-10-10 05:30:00;28;53;12;0;111;115;13;3
2019-10-10 05:45:00;105;117;6;0;74;82;11;15
2019-10-10 06:00:00;71;121;1;0;67;46;32;20
2019-10-10 06:15:00;46;71;2;0;70;52;9;11
2019-10-10 06:30:00;34;81;1;0;85;56;20;0
2019-10-10 06:45:00;39;75;2;0;81;76;19;4
2019-10-10 07:00:00;28;61;8;0;79;81;11;1
2019-10-10 07:15:00;41;72;6;0;90;76;16;0
2019-10-10 07:30:00;59;86;6;0;84;92;10;0
2019-10-10 07:45:00;52;79;6;0;83;92;30;0
2019-10-10 08:00:00;53;73;13;0;73;84;9;6
2019-10-10 08:15:00;61;82;6;0;71;69;10;0
2019-10-10 08:30:00;37;62;10;0;56;58;10;2
2019-10-10 08:45:00;35;52;10;0;49;46;19;7
2019-10-10 09:00:00;36;57;14;0;40;38;3;1
2019-10-10 09:15:00;31;44;15;0;37;33;17;1
2019-10-10 09:30:00;36;49;11;0;37;42;3;0
2019-10-10 09:45:00;29;47;10;0;38;37;9;0
2019-10-10 10:00:00;39;46;20;0;40;27;3;3
2019-10-10 10:15:00;26;44;17;0;23;33;7;3
2019-10-10 10:30:00;22;50;10;0;36;34;2;4
2019-10-10 10:45:00;30;41;10;0;29;21;5;4
2019-10-10 11:00:00;33;33;12;0;39;21;0;12
2019-10-10 11:15:00;20;38;12;0;49;36;0;0
2019-10-10 11:30:00;38;54;13;0;54;40;3;4
2019-10-10 11:45:00;30;49;15;0;46;28;5;5
2019-10-10 12:00:00;35;48;13;0;48;28;2;12
2019-10-10 12:15:00;31;50;12;0;57;28;9;9
2019-10-10 12:30:00;37;42;12;0;44;40;10;20
2019-10-10 12:45:00;33;46;12;0;50;44;5;8
2019-10-10 13:00:00;36;48;14;0;65;73;9;22
2019-10-10 13:15:00;28;43;12;0;94;98;16;3
2019-10-10 13:30:00;41;61;14;0;111;88;24;19
2019-10-10 13:45:00;53;63;16;0;104;107;26;11
2019-10-10 14:00:00;92;103;13;0;64;71;6;12
2019-10-10 14:15:00;145;187;15;0;66;47;8;38
2019-10-10 14:30:00;64;72;13;0;64;53;5;18
2019-10-10 14:45:00;66;86;9;0;64;41;0;19
2019-10-10 15:00:00;86;83;12;0;68;51;4;24
2019-10-10 15:15:00;81;75;12;0;111;71;6;12
2019-10-10 15:30:00;66;67;10;0;75;55;2;19
2019-10-10 15:45:00;55;62;10;0;72;48;4;35
2019-10-10 16:00:00;70;63;5;0;71;46;0;10
2019-10-10 16:15:00;72;74;9;0;78;41;0;21
2019-10-10 16:30:00;55;96;5;0;66;48;0;20
2019-10-10 16:45:00;52;69;9;0;74;54;0;13
2019-10-10 17:00:00;52;57;9;0;64;39;3;14
2019-10-10 17:15:00;53;57;13;0;82;58;0;6
2019-10-10 17:30:00;51;67;8;0;48;29;4;4
2019-10-10 17:45:00;46;51;8;0;58;34;0;20
2019-10-10 18:00:00;43;51;10;0;54;31;25;11
2019-10-10 18:15:00;38;45;10;0;56;25;4;4
2019-10-10 18:30:00;47;45;3;0;37;27;1;8
2019-10-10 18:45:00;40;50;5;0;28;31;2;2
2019-10-10 19:00:00;34;39;4;0;35;22;0;3
2019-10-10 19:15:00;15;34;7;0;36;21;22;0
2019-10-10 19:30:00;18;37;5;0;28;21;0;4
2019-10-10 19:45:00;22;24;3;0;29;15;1;0
2019-10-10 20:00:00;24;23;3;0;19;14;0;1
2019-10-10 20:15:00;10;9;4;0;27;20;1;3
2019-10-10 20:30:00;16;19;3;0;26;19;9;0
2019-10-10 20:45:00;10;21;2;0;32;39;15;2
2019-10-10 21:00:00;6;23;3;0;46;67;28;0
2019-10-10 21:15:00;14;17;6;0;63;74;28;0
2019-10-10 21:30:00;20;29;3;0;60;71;13;6
2019-10-10 21:45:00;51;114;10;0;39;32;9;30
2019-10-10 22:00:00;80;136;6;0;45;30;2;10
2019-10-10 22:15:00;29;29;3;0;32;15;1;3
2019-10-10 22:30:00;15;7;2;0;33;18;0;1
2019-10-10 22:45:00;9;7;2;0;19;8;0;1
2019-10-10 23:00:00;4;7;0;0;10;5;0;0
2019-10-10 23:15:00;2;5;0;0;6;2;0;0
2019-10-10 23:30:00;5;4;0;0;3;8;0;0
2019-10-10 23:45:00;7;4;0;0;8;7;0;0
