DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(TA1);8(TA2)
2020-07-23 00:00:00;3;3;0;0;4;3;0;0
2020-07-23 00:15:00;5;4;0;0;3;6;0;0
2020-07-23 00:30:00;2;3;0;0;2;5;0;0
2020-07-23 00:45:00;2;2;0;0;0;2;0;0
2020-07-23 01:00:00;3;3;0;0;2;4;0;0
2020-07-23 01:15:00;4;2;0;0;2;5;0;0
2020-07-23 01:30:00;2;4;0;0;5;3;0;0
2020-07-23 01:45:00;1;4;0;0;1;7;0;0
2020-07-23 02:00:00;7;4;0;0;2;2;0;0
2020-07-23 02:15:00;0;1;0;0;1;1;0;0
2020-07-23 02:30:00;3;3;0;0;1;4;0;0
2020-07-23 02:45:00;3;1;0;0;0;0;0;0
2020-07-23 03:00:00;2;2;0;0;0;1;0;0
2020-07-23 03:15:00;1;1;1;0;2;0;0;0
2020-07-23 03:30:00;7;3;0;0;2;3;0;0
2020-07-23 03:45:00;0;3;0;0;1;4;0;0
2020-07-23 04:00:00;0;3;0;0;2;2;0;0
2020-07-23 04:15:00;0;7;0;0;2;3;0;0
2020-07-23 04:30:00;0;7;0;0;1;7;0;0
2020-07-23 04:45:00;1;8;0;0;7;17;6;0
2020-07-23 05:00:00;15;17;0;0;20;31;8;3
2020-07-23 05:15:00;18;32;0;0;53;90;19;1
2020-07-23 05:30:00;36;59;3;0;70;103;19;18
2020-07-23 05:45:00;80;122;4;0;75;47;14;11
2020-07-23 06:00:00;87;143;3;0;34;31;5;11
2020-07-23 06:15:00;46;77;0;0;42;30;10;8
2020-07-23 06:30:00;41;89;0;0;54;60;19;2
2020-07-23 06:45:00;38;83;0;0;61;42;14;0
2020-07-23 07:00:00;28;58;5;0;52;57;9;1
2020-07-23 07:15:00;44;89;7;0;44;45;17;1
2020-07-23 07:30:00;45;75;4;0;50;65;13;5
2020-07-23 07:45:00;61;81;6;0;77;68;14;0
2020-07-23 08:00:00;38;67;4;0;44;55;8;0
2020-07-23 08:15:00;40;59;7;0;25;35;9;1
2020-07-23 08:30:00;35;58;5;0;22;33;8;0
2020-07-23 08:45:00;30;59;8;0;37;29;5;3
2020-07-23 09:00:00;42;46;7;0;26;21;3;5
2020-07-23 09:15:00;37;33;10;0;27;31;5;3
2020-07-23 09:30:00;28;35;6;0;34;40;8;1
2020-07-23 09:45:00;31;38;8;0;39;41;12;0
2020-07-23 10:00:00;38;28;8;0;36;30;1;4
2020-07-23 10:15:00;23;40;6;0;38;27;1;6
2020-07-23 10:30:00;38;37;9;0;32;28;9;0
2020-07-23 10:45:00;33;36;10;0;38;22;1;4
2020-07-23 11:00:00;33;46;9;0;29;23;2;9
2020-07-23 11:15:00;43;52;9;0;47;26;2;6
2020-07-23 11:30:00;33;39;9;0;36;36;4;11
2020-07-23 11:45:00;26;44;13;0;47;22;1;13
2020-07-23 12:00:00;35;42;8;0;33;38;6;8
2020-07-23 12:15:00;35;39;4;0;37;31;4;8
