DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(TA1);8(TA2)
2020-06-21 00:00:00;3;4;0;0;1;9;0;0
2020-06-21 00:15:00;4;10;0;0;1;5;0;0
2020-06-21 00:30:00;4;10;0;0;2;3;0;0
2020-06-21 00:45:00;3;11;0;0;3;12;0;0
2020-06-21 01:00:00;4;6;0;0;2;12;0;0
2020-06-21 01:15:00;2;7;0;0;4;6;0;0
2020-06-21 01:30:00;8;6;0;0;4;9;0;0
2020-06-21 01:45:00;0;3;0;0;3;5;0;0
2020-06-21 02:00:00;1;6;0;0;4;3;0;0
2020-06-21 02:15:00;2;7;0;0;2;9;0;0
2020-06-21 02:30:00;4;8;0;0;1;7;0;0
2020-06-21 02:45:00;0;5;0;0;1;2;0;0
2020-06-21 03:00:00;1;2;0;0;0;1;0;0
2020-06-21 03:15:00;1;2;0;0;1;4;0;0
2020-06-21 03:30:00;1;2;0;0;1;1;0;0
2020-06-21 03:45:00;2;3;0;0;0;2;0;0
2020-06-21 04:00:00;3;3;0;0;1;2;0;0
2020-06-21 04:15:00;0;2;0;0;0;2;0;0
2020-06-21 04:30:00;0;0;0;0;0;3;0;0
2020-06-21 04:45:00;0;0;0;0;0;0;0;0
2020-06-21 05:00:00;2;7;0;0;0;1;0;0
2020-06-21 05:15:00;0;3;0;0;0;3;0;0
2020-06-21 05:30:00;0;2;0;0;2;3;0;0
2020-06-21 05:45:00;0;7;0;0;1;3;0;0
2020-06-21 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-21 06:15:00;0;3;0;0;1;4;0;0
2020-06-21 06:30:00;2;3;0;0;1;1;0;0
2020-06-21 06:45:00;0;1;0;0;5;5;0;0
2020-06-21 07:00:00;2;0;0;0;0;2;0;0
2020-06-21 07:15:00;4;2;0;0;0;3;0;0
2020-06-21 07:30:00;3;1;0;0;1;2;0;0
2020-06-21 07:45:00;4;4;0;0;2;4;0;0
2020-06-21 08:00:00;2;3;0;0;2;4;0;0
2020-06-21 08:15:00;2;2;0;0;0;5;0;0
2020-06-21 08:30:00;2;4;1;0;1;0;0;0
2020-06-21 08:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-21 09:15:00;11;8;0;0;5;7;0;0
2020-06-21 09:30:00;5;8;0;0;4;5;0;0
2020-06-21 09:45:00;17;9;0;0;5;6;0;0
2020-06-21 10:00:00;5;12;0;0;6;10;0;0
2020-06-21 10:15:00;4;8;0;0;5;11;0;0
2020-06-21 10:30:00;9;16;0;0;10;9;0;0
2020-06-21 10:45:00;12;10;0;0;6;9;0;0
2020-06-21 11:00:00;8;15;0;0;12;12;0;0
2020-06-21 11:15:00;12;9;0;0;8;12;0;0
2020-06-21 11:30:00;18;17;0;0;12;12;0;0
2020-06-21 12:00:00;15;18;0;0;10;15;0;0
2020-06-21 12:15:00;15;19;0;0;13;13;0;0
2020-06-21 12:30:00;14;11;1;0;12;20;0;0
2020-06-21 12:45:00;7;12;2;0;7;19;0;0
2020-06-21 13:00:00;7;24;0;0;8;11;0;0
2020-06-21 13:15:00;17;22;0;0;8;12;0;0
2020-06-21 13:30:00;13;13;1;0;14;18;0;0
2020-06-21 13:45:00;8;16;0;0;7;17;0;0
2020-06-21 14:00:00;16;14;0;0;12;15;0;0
2020-06-21 14:15:00;10;19;0;0;15;13;0;0
