DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(TA1);8(TA2)
2020-10-16 00:00:00;2;0;0;0;4;6;0;0
2020-10-16 00:15:00;4;3;1;0;3;2;0;0
2020-10-16 00:30:00;2;0;0;0;1;3;0;0
2020-10-16 00:45:00;3;3;0;0;4;2;0;0
2020-10-16 01:00:00;2;2;0;0;4;2;0;0
2020-10-16 01:15:00;4;2;1;0;2;5;0;0
2020-10-16 01:30:00;3;6;0;0;4;5;0;0
2020-10-16 01:45:00;3;2;2;0;2;3;0;0
2020-10-16 02:00:00;1;4;0;0;1;1;0;0
2020-10-16 02:15:00;3;3;0;0;1;4;0;0
2020-10-16 02:30:00;0;0;2;0;4;0;0;0
2020-10-16 02:45:00;5;5;0;0;1;3;0;0
2020-10-16 03:00:00;3;0;1;0;2;2;0;0
2020-10-16 03:15:00;2;1;0;0;2;0;0;0
2020-10-16 03:30:00;8;3;0;0;3;1;0;0
2020-10-16 03:45:00;2;2;0;0;0;1;0;0
2020-10-16 04:00:00;2;5;0;0;2;8;0;0
2020-10-16 04:15:00;2;6;0;0;4;6;0;0
2020-10-16 04:30:00;5;2;0;0;4;6;0;0
2020-10-16 04:45:00;7;6;0;0;6;24;8;1
2020-10-16 05:00:00;6;17;0;0;34;32;17;1
2020-10-16 05:15:00;12;30;2;0;70;89;23;10
2020-10-16 05:30:00;32;55;4;0;86;100;9;21
2020-10-16 05:45:00;82;117;3;0;86;50;15;15
2020-10-16 06:00:00;90;148;2;0;32;29;8;12
2020-10-16 06:15:00;30;56;1;0;56;38;19;5
2020-10-16 06:30:00;29;80;1;0;55;53;8;0
2020-10-16 06:45:00;34;61;1;0;54;47;14;1
2020-10-16 07:00:00;26;56;4;0;37;62;12;0
2020-10-16 07:15:00;48;91;10;0;48;50;12;0
2020-10-16 07:30:00;36;80;4;0;49;60;17;5
2020-10-16 07:45:00;40;63;6;0;63;68;14;0
2020-10-16 08:00:00;31;69;5;0;45;42;6;1
2020-10-16 08:15:00;24;34;4;0;25;21;4;1
2020-10-16 08:30:00;
2020-10-16 08:45:00;
2020-10-16 09:00:00;
2020-10-16 09:15:00;
2020-10-16 09:30:00;
2020-10-16 09:45:00;
2020-10-16 10:00:00;
2020-10-16 10:15:00;
2020-10-16 10:30:00;
2020-10-16 10:45:00;
2020-10-16 11:00:00;
2020-10-16 11:15:00;
2020-10-16 11:30:00;
2020-10-16 11:45:00;
2020-10-16 12:00:00;
2020-10-16 12:15:00;
2020-10-16 12:30:00;
2020-10-16 12:45:00;19;25;4;0;29;17;3;6
2020-10-16 13:00:00;35;61;7;0;69;50;11;11
2020-10-16 13:15:00;43;52;12;0;81;101;12;5
2020-10-16 13:30:00;50;67;9;0;105;111;13;5
2020-10-16 13:45:00;72;67;10;0;116;130;30;16
2020-10-16 14:00:00;105;114;14;0;123;100;11;19
2020-10-16 14:15:00;118;136;10;0;92;61;5;24
2020-10-16 14:30:00;67;79;9;0;80;48;1;15
2020-10-16 14:45:00;50;66;11;0;64;39;0;14
2020-10-16 15:00:00;49;86;10;0;71;46;0;15
2020-10-16 15:15:00;55;70;9;0;70;44;0;14
2020-10-16 15:30:00;51;56;5;0;53;34;0;12
2020-10-16 15:45:00;29;56;7;0;44;46;0;9
2020-10-16 16:00:00;31;48;3;0;47;31;0;5
2020-10-16 16:15:00;29;53;9;0;46;39;0;5
2020-10-16 16:30:00;33;39;11;0;36;32;1;10
2020-10-16 16:45:00;33;37;9;0;45;27;0;3
2020-10-16 17:00:00;36;30;5;0;45;22;0;0
2020-10-16 17:15:00;29;38;10;0;57;32;0;2
2020-10-16 17:30:00;33;46;3;0;28;26;0;17
2020-10-16 17:45:00;35;28;6;0;35;36;0;0
2020-10-16 18:00:00;24;38;7;0;37;21;0;4
2020-10-16 18:15:00;31;33;12;0;25;33;0;10
2020-10-16 18:30:00;24;28;5;0;28;19;1;3
2020-10-16 18:45:00;13;20;2;0;29;14;7;0
2020-10-16 19:00:00;13;26;2;0;22;16;0;1
2020-10-16 19:15:00;16;19;0;0;26;13;0;0
2020-10-16 19:30:00;12;16;6;0;28;19;0;2
2020-10-16 19:45:00;11;26;4;0;32;13;0;0
2020-10-16 20:00:00;21;20;1;0;20;19;2;2
2020-10-16 20:15:00;15;16;1;0;13;10;0;0
2020-10-16 20:30:00;13;9;1;0;20;26;1;0
2020-10-16 20:45:00;13;19;0;0;28;38;15;0
2020-10-16 21:00:00;10;21;2;0;47;68;26;0
2020-10-16 21:15:00;14;17;2;0;59;103;45;0
2020-10-16 21:30:00;31;41;4;0;38;71;20;10
2020-10-16 21:45:00;98;121;8;0;47;38;2;78
2020-10-16 22:00:00;89;155;6;0;54;36;5;15
2020-10-16 22:15:00;29;35;4;0;26;15;2;7
2020-10-16 22:30:00;13;18;2;0;19;8;0;0
2020-10-16 22:45:00;7;9;1;0;7;6;0;1
2020-10-16 23:00:00;11;9;0;0;6;9;0;0
2020-10-16 23:15:00;7;9;0;0;10;8;0;0
2020-10-16 23:30:00;7;13;0;0;8;7;0;0
2020-10-16 23:45:00;7;7;0;0;7;9;0;0
