DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(DD4);16(TAFBA);53(TAFBA2);54(TAFBB2);55(TAFBC);56(TAFBD);57(TAFBE)
2019-08-12 00:00:00;3;6;4;1;1;3;0;0;4;5;1;0;0;0;2;0;0;0;0;0;0
2019-08-12 00:15:00;3;10;3;1;0;2;0;1;7;6;4;1;3;0;0;0;0;0;0;0;0
2019-08-12 00:30:00;3;8;2;0;3;1;0;1;4;4;1;0;3;0;1;0;0;0;0;0;0
2019-08-12 00:45:00;4;5;3;1;1;2;0;0;7;2;0;2;1;3;0;0;0;0;0;0;0
2019-08-12 01:00:00;3;11;2;1;1;2;0;0;4;0;0;0;1;1;0;0;0;0;0;0;0
2019-08-12 01:15:00;2;3;1;0;0;2;0;2;3;2;0;1;1;1;0;0;0;0;0;0;0
2019-08-12 01:30:00;2;3;1;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0
2019-08-12 01:45:00;1;1;1;1;1;0;0;1;2;2;0;0;4;2;0;0;0;0;0;0;0
2019-08-12 02:00:00;2;3;0;1;0;2;0;0;4;5;0;0;2;2;0;0;0;0;0;0;0
2019-08-12 02:15:00;4;3;2;1;2;5;0;0;7;4;0;0;0;1;0;0;0;0;0;0;0
2019-08-12 02:30:00;2;7;0;3;1;0;0;0;1;1;0;0;3;4;0;0;0;0;0;0;0
2019-08-12 02:45:00;1;3;0;0;1;0;0;0;1;2;1;1;2;2;3;0;0;0;0;0;0
2019-08-12 03:00:00;3;3;2;1;0;0;1;0;1;2;1;0;3;0;0;0;0;0;0;0;0
2019-08-12 03:15:00;2;2;3;1;2;0;2;1;1;2;1;2;0;2;0;0;0;0;0;0;0
2019-08-12 03:30:00;3;4;1;0;1;2;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0
2019-08-12 03:45:00;2;5;2;0;0;2;0;0;5;3;0;0;0;3;1;0;0;0;0;0;0
2019-08-12 04:00:00;2;2;0;2;0;3;2;0;4;0;0;0;0;0;1;0;0;0;0;0;0
2019-08-12 04:15:00;2;9;0;0;1;1;0;0;4;1;0;0;3;2;1;0;0;0;0;0;0
2019-08-12 04:30:00;2;6;1;0;0;3;1;1;7;4;2;2;1;4;2;0;0;0;0;0;0
2019-08-12 04:45:00;3;12;2;2;1;5;0;3;9;4;0;1;5;1;1;0;0;0;0;0;0
2019-08-12 05:00:00;3;5;2;0;4;9;2;0;4;9;2;2;1;7;1;1;0;0;0;0;0
2019-08-12 05:15:00;2;20;4;0;1;3;1;0;11;14;8;1;5;5;7;0;0;0;0;0;0
2019-08-12 05:30:00;37;28;12;6;8;23;3;0;21;23;8;2;10;10;9;0;0;0;0;0;0
2019-08-12 05:45:00;43;36;17;3;9;26;5;0;23;42;6;1;15;50;11;0;0;0;0;0;0
2019-08-12 06:00:00;42;32;16;1;10;29;4;2;30;28;4;3;24;15;10;0;0;0;0;0;0
2019-08-12 06:15:00;46;38;26;6;9;33;7;2;28;46;9;6;18;19;11;0;0;0;0;0;0
2019-08-12 06:30:00;61;41;25;4;13;38;4;4;38;35;18;2;25;13;20;0;0;0;0;0;0
2019-08-12 06:45:00;77;54;42;6;13;53;4;0;37;56;17;3;30;13;14;0;0;0;4;0;0
2019-08-12 07:00:00;65;52;37;10;20;50;2;1;34;57;10;4;37;19;19;0;0;0;0;1;0
2019-08-12 07:15:00;64;56;36;11;18;49;6;1;31;42;17;10;37;27;17;0;0;0;0;0;0
2019-08-12 07:30:00;67;74;61;12;24;46;11;4;40;44;28;14;42;25;24;0;0;0;0;0;0
2019-08-12 07:45:00;57;70;42;7;26;43;10;8;42;42;16;9;45;21;16;0;0;0;0;0;0
