DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(DD4);16(TAFBA);53(TAFBA2);54(TAFBB2);55(TAFBC);56(TAFBD);57(TAFBE)
2020-08-29 00:00:00;1;7;9;2;4;2;0;2;12;17;5;5;7;4;0;0;0;0;0;0;0
2020-08-29 00:15:00;7;10;9;2;5;13;3;1;14;10;3;3;8;2;1;0;0;0;0;0;0
2020-08-29 00:30:00;6;16;7;0;7;11;1;1;16;10;3;1;2;2;2;0;0;0;0;0;0
2020-08-29 00:45:00;9;11;5;3;3;4;4;0;10;9;7;4;5;6;5;0;0;0;0;0;0
2020-08-29 01:00:00;4;8;1;1;3;4;0;1;10;7;8;5;5;3;1;0;0;0;0;0;0
2020-08-29 01:15:00;5;10;3;0;4;1;1;1;12;4;1;2;4;0;0;0;0;0;0;0;0
2020-08-29 01:30:00;1;6;2;4;1;3;0;0;3;11;6;6;2;4;2;0;0;0;0;0;0
2020-08-29 01:45:00;0;11;7;0;0;0;1;0;3;2;3;2;6;1;0;0;0;0;0;0;0
2020-08-29 02:00:00;2;6;5;0;1;5;0;0;8;9;3;9;1;2;0;0;0;0;0;0;0
2020-08-29 02:15:00;2;14;3;3;3;2;1;0;5;4;3;8;1;5;1;0;0;0;0;0;0
2020-08-29 02:30:00;3;4;2;0;2;1;0;1;6;7;3;2;3;5;1;0;0;0;0;0;0
2020-08-29 02:45:00;2;1;2;1;3;5;2;1;3;1;2;4;0;2;1;0;0;0;0;0;0
2020-08-29 03:00:00;8;3;1;1;1;2;1;0;6;5;4;0;2;4;1;0;0;0;0;0;0
2020-08-29 03:15:00;5;1;0;0;1;1;1;0;3;2;0;4;3;2;2;0;0;0;0;0;0
2020-08-29 03:30:00;3;7;0;1;1;2;0;1;4;3;1;1;2;1;2;0;0;0;0;0;0
2020-08-29 03:45:00;1;2;0;0;0;0;1;0;2;1;1;0;2;4;1;0;0;0;0;0;0
2020-08-29 04:00:00;0;4;0;1;1;3;2;0;5;5;3;0;3;1;0;0;0;0;0;0;0
2020-08-29 04:15:00;1;2;3;1;2;0;0;0;5;2;1;1;1;3;1;0;0;0;0;0;0
2020-08-29 04:30:00;2;4;1;0;0;0;0;0;2;3;1;1;1;0;0;0;0;0;0;0;0
2020-08-29 04:45:00;1;3;2;2;1;1;0;0;1;3;3;1;0;1;0;0;0;0;0;0;0
2020-08-29 05:00:00;2;14;8;5;0;0;0;0;3;2;3;3;1;2;1;0;0;0;0;0;0
2020-08-29 05:15:00;4;12;2;2;2;3;0;0;5;7;4;3;5;3;1;0;0;0;0;0;0
2020-08-29 05:30:00;10;13;4;4;0;5;0;0;15;7;8;5;4;6;2;0;0;0;0;0;0
2020-08-29 05:45:00;3;24;12;5;2;7;4;0;9;7;4;15;14;4;3;0;0;0;0;0;0
2020-08-29 06:00:00;5;22;6;4;1;6;1;0;6;4;2;43;25;5;3;0;0;0;0;0;0
2020-08-29 06:15:00;5;19;2;3;2;4;2;0;7;9;1;10;6;1;2;0;0;0;0;0;0
2020-08-29 06:30:00;9;19;7;2;9;8;1;1;10;15;25;12;10;1;2;0;0;0;0;0;0
2020-08-29 06:45:00;4;14;6;6;4;13;4;0;11;16;5;4;14;12;4;0;0;0;0;0;0
2020-08-29 07:00:00;12;17;4;3;9;7;1;1;10;16;14;8;9;8;2;0;0;0;0;0;0
2020-08-29 07:15:00;9;20;7;3;14;10;6;0;13;15;7;11;10;10;2;0;0;0;0;0;0
2020-08-29 07:30:00;10;19;8;9;9;11;2;0;7;15;15;13;21;7;2;0;0;0;0;0;1
2020-08-29 07:45:00;12;26;7;12;20;9;8;3;23;11;5;24;12;13;4;0;0;0;0;0;0
2020-08-29 08:00:00;7;29;7;5;24;6;9;2;8;13;12;22;22;9;5;0;0;0;0;0;0
2020-08-29 08:15:00;9;44;21;6;14;19;13;4;13;16;20;38;29;13;10;5;0;0;0;0;0
2020-08-29 08:30:00;18;29;13;11;20;19;7;5;25;26;18;30;41;13;5;0;0;0;0;0;0
2020-08-29 08:45:00;22;44;23;7;14;12;8;5;23;19;14;57;30;13;10;0;0;0;0;0;0
2020-08-29 09:00:00;24;60;35;24;32;28;11;6;37;33;20;69;37;18;13;0;0;0;0;0;0
2020-08-29 09:15:00;21;64;28;27;23;18;18;2;29;25;24;78;36;15;14;1;0;0;0;0;0
2020-08-29 09:30:00;28;64;31;20;34;25;16;5;34;32;25;83;41;19;6;0;0;0;0;0;0
2020-08-29 09:45:00;31;64;45;30;40;34;16;3;42;40;27;81;71;31;23;1;0;0;0;0;0
2020-08-29 10:00:00;24;77;47;21;45;31;10;7;42;47;35;88;61;26;16;0;0;0;0;0;0
2020-08-29 10:15:00;26;77;47;20;51;38;14;13;53;46;18;99;50;30;22;2;2;0;0;0;0
2020-08-29 10:30:00;35;93;46;29;42;31;14;15;51;50;44;96;70;23;30;0;0;0;0;0;0
2020-08-29 10:45:00;31;72;51;28;50;28;10;4;49;55;36;102;57;30;22;0;0;0;0;0;0
2020-08-29 11:00:00;35;101;64;43;40;41;17;9;55;61;43;108;76;37;24;0;0;0;0;0;0
2020-08-29 11:15:00;39;106;50;26;59;49;27;22;63;73;39;124;90;33;27;0;0;0;0;0;0
2020-08-29 11:30:00;31;88;60;26;54;45;25;10;59;62;36;111;62;33;33;0;0;0;0;0;2
2020-08-29 11:45:00;32;87;54;22;49;49;19;12;65;47;35;95;61;31;29;5;0;0;0;0;0
2020-08-29 12:00:00;25;99;60;28;61;48;16;18;63;82;44;117;55;33;28;0;1;0;0;1;0
2020-08-29 12:15:00;38;84;61;35;49;45;12;12;86;63;41;105;64;30;32;0;0;4;0;0;0
2020-08-29 12:30:00;49;116;63;22;52;42;14;13;101;72;57;96;60;29;26;0;0;0;0;0;0
2020-08-29 12:45:00;28;78;52;29;50;39;20;14;65;60;37;97;60;28;20;0;0;0;0;0;0
2020-08-29 13:00:00;26;97;54;23;61;53;17;12;84;74;45;97;56;29;20;0;0;0;0;0;0
2020-08-29 13:15:00;35;111;76;37;65;47;18;10;87;97;47;123;64;30;29;0;1;0;0;0;0
2020-08-29 13:30:00;45;115;73;35;52;62;21;16;74;86;41;107;48;28;14;3;0;0;0;0;0
2020-08-29 13:45:00;39;126;83;38;57;55;26;25;82;95;38;104;75;32;23;0;0;11;0;0;0
2020-08-29 14:00:00;27;114;79;17;66;60;31;16;93;93;40;118;53;27;24;0;0;5;0;2;0
2020-08-29 14:15:00;27;120;82;29;68;51;33;11;86;102;37;104;64;34;27;3;0;1;0;0;0
2020-08-29 14:30:00;25;119;85;27;57;53;39;16;98;89;36;116;63;30;20;0;0;10;0;0;0
2020-08-29 14:45:00;29;125;86;26;56;52;24;17;87;84;32;121;70;34;30;5;0;0;1;0;2
2020-08-29 15:00:00;48;123;73;32;52;46;26;15;105;87;27;124;60;38;24;0;0;0;0;6;0
2020-08-29 15:15:00;30;139;91;32;55;42;23;15;104;94;34;109;53;40;24;0;0;4;0;0;0
2020-08-29 15:30:00;43;116;79;39;50;47;25;23;91;91;40;128;43;26;29;0;0;0;0;0;4
2020-08-29 15:45:00;31;134;90;31;59;41;30;18;86;72;35;124;75;39;24;0;0;1;0;0;0
2020-08-29 16:00:00;25;103;85;32;70;47;35;21;95;86;28;108;53;32;25;3;0;0;0;0;0
2020-08-29 16:15:00;34;115;79;31;46;41;24;18;86;106;26;80;80;21;13;8;0;0;0;0;0
2020-08-29 16:30:00;19;138;95;28;59;44;18;20;90;88;32;101;53;39;27;1;0;2;0;0;0
2020-08-29 16:45:00;32;110;60;29;49;35;26;19;104;92;44;99;46;23;13;0;0;0;0;0;0
2020-08-29 17:00:00;26;96;52;24;45;33;25;21;92;96;44;91;37;22;18;0;0;0;0;0;0
2020-08-29 17:15:00;22;107;53;25;45;32;19;13;80;96;52;117;62;32;14;3;0;0;0;0;0
2020-08-29 17:30:00;16;104;58;26;56;39;15;22;101;112;41;101;37;23;11;0;0;1;0;0;0
2020-08-29 17:45:00;17;106;86;31;61;40;17;19;93;94;43;98;49;34;20;6;0;0;0;0;0
2020-08-29 18:00:00;19;102;66;24;31;38;27;17;91;92;38;106;45;26;18;0;0;2;0;0;0
2020-08-29 18:15:00;20;86;48;33;44;27;20;13;90;99;60;81;53;22;12;0;0;0;0;0;0
2020-08-29 18:30:00;16;78;43;31;47;30;22;27;102;93;45;62;40;19;20;0;0;0;0;0;0
2020-08-29 18:45:00;24;92;52;32;40;27;12;19;87;71;41;86;55;25;22;0;0;0;0;0;0
2020-08-29 19:00:00;15;79;47;30;57;29;18;15;85;74;44;64;40;18;14;1;0;0;0;13;7
2020-08-29 19:15:00;16;74;41;22;38;25;13;13;70;56;37;63;30;42;16;0;0;2;0;1;0
2020-08-29 19:30:00;10;66;41;16;27;22;5;14;83;74;40;53;31;13;10;0;0;0;0;0;0
2020-08-29 19:45:00;19;61;27;17;31;23;8;22;79;81;35;34;36;15;16;0;0;0;0;0;4
2020-08-29 20:00:00;15;52;40;11;23;28;13;25;99;104;35;34;39;27;11;3;0;0;0;2;4
2020-08-29 20:15:00;18;48;29;12;14;17;4;18;50;62;26;23;27;12;7;0;0;0;0;0;0
2020-08-29 20:30:00;10;60;28;12;16;13;5;14;36;39;18;15;12;16;10;0;0;0;0;0;0
2020-08-29 20:45:00;12;50;24;14;15;24;5;4;29;36;19;13;13;11;6;0;0;0;0;0;0
2020-08-29 21:00:00;9;41;21;5;9;15;9;7;23;37;15;19;21;10;4;0;0;0;0;0;0
