DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(DD4);16(TAFBA);53(TAFBA2);54(TAFBB2);55(TAFBC);56(TAFBD);57(TAFBE)
2020-05-15 00:00:00;2;5;9;2;1;2;1;1;5;7;1;0;3;0;0;0;0;0;0;0;0
2020-05-15 00:15:00;3;11;2;1;1;2;0;0;5;7;0;0;1;2;1;0;0;0;0;0;0
2020-05-15 00:30:00;2;3;2;0;0;3;0;1;4;7;0;1;1;3;2;0;0;0;0;0;0
2020-05-15 00:45:00;5;4;1;1;1;4;0;0;7;7;4;0;1;0;0;0;0;0;0;0;0
2020-05-15 01:00:00;2;3;1;1;2;4;0;0;6;5;1;0;3;2;0;0;0;0;0;0;0
2020-05-15 01:15:00;3;5;1;1;1;2;1;0;2;1;1;0;1;0;1;0;0;0;0;0;0
2020-05-15 01:30:00;3;3;0;1;1;0;1;0;3;4;1;0;0;1;3;0;0;0;0;0;0
2020-05-15 01:45:00;1;5;2;0;1;0;0;0;4;0;1;0;3;5;0;0;0;0;0;0;0
2020-05-15 02:00:00;1;2;2;0;0;0;0;0;5;2;0;0;4;0;0;0;0;0;0;0;0
2020-05-15 02:15:00;3;4;1;2;0;0;0;0;1;0;1;0;1;3;0;0;0;0;0;0;0
2020-05-15 02:30:00;3;6;2;0;0;0;0;0;0;3;4;0;1;3;0;0;0;0;0;0;0
2020-05-15 02:45:00;1;0;1;0;0;1;0;0;2;0;0;0;1;2;1;0;0;0;0;0;0
2020-05-15 03:00:00;2;2;1;0;0;1;0;0;0;3;2;0;3;1;1;0;0;0;0;0;0
2020-05-15 03:15:00;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
2020-05-15 03:30:00;1;4;1;0;1;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0
2020-05-15 03:45:00;2;2;0;0;1;1;0;0;1;2;2;0;2;1;1;0;0;0;0;0;0
2020-05-15 04:00:00;1;0;2;2;0;0;0;0;3;4;0;0;0;4;0;0;0;0;0;0;0
2020-05-15 04:15:00;1;4;1;2;0;1;1;0;0;1;0;1;4;3;0;0;0;0;0;0;0
2020-05-15 04:30:00;7;3;3;1;0;3;0;0;5;4;2;0;5;2;0;0;0;0;0;0;0
2020-05-15 04:45:00;4;11;1;1;3;2;1;0;8;5;2;1;8;6;2;0;0;0;0;0;0
2020-05-15 05:00:00;8;7;3;3;9;8;1;0;5;6;7;11;14;7;2;0;0;0;0;0;0
2020-05-15 05:15:00;16;21;5;9;7;13;2;1;11;11;11;8;19;5;6;0;0;0;0;0;0
2020-05-15 05:30:00;24;26;11;4;17;17;2;0;18;22;18;4;12;5;7;0;0;0;0;0;0
2020-05-15 05:45:00;40;33;7;8;5;33;4;1;22;23;10;4;9;13;9;0;0;0;0;0;0
2020-05-15 06:00:00;21;28;10;6;12;29;2;0;22;20;4;7;18;17;6;0;0;0;0;0;0
2020-05-15 06:15:00;21;33;11;8;16;22;3;0;29;28;5;6;22;12;8;0;0;0;0;0;0
2020-05-15 06:30:00;52;38;26;10;8;28;6;5;39;33;9;1;27;19;18;0;0;0;0;0;0
