DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DC1);8(DC2);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC)
2019-11-03 00:00:00;32;4;7;2;2;2;5;53;0;0;0;0;0
2019-11-03 00:15:00;26;8;13;5;3;2;2;50;0;0;0;0;0
2019-11-03 00:30:00;39;5;11;0;1;0;4;63;0;0;0;0;0
2019-11-03 00:45:00;22;10;13;6;4;3;2;49;0;0;0;0;0
2019-11-03 01:00:00;43;7;13;5;4;5;1;42;0;0;0;0;0
2019-11-03 01:15:00;34;8;10;2;1;1;2;56;0;0;0;0;0
2019-11-03 01:30:00;59;6;8;3;0;0;2;39;0;0;0;0;0
2019-11-03 01:45:00;27;5;7;2;3;0;2;23;0;0;0;0;0
2019-11-03 02:00:00;36;3;9;2;4;5;2;45;0;0;0;0;0
2019-11-03 02:15:00;22;7;6;4;2;2;2;20;0;0;0;0;0
2019-11-03 02:30:00;14;5;8;4;0;0;1;26;0;0;0;0;0
2019-11-03 02:45:00;15;7;13;4;0;0;0;26;0;0;0;0;0
2019-11-03 03:00:00;21;2;6;0;1;1;0;21;0;0;0;0;0
2019-11-03 03:15:00;21;6;11;4;0;0;0;20;0;0;0;0;0
2019-11-03 03:30:00;16;6;9;4;0;0;0;19;0;0;0;0;0
2019-11-03 03:45:00;19;2;4;3;0;0;1;17;0;0;0;0;0
2019-11-03 04:00:00;18;3;6;4;2;2;2;17;0;0;0;0;0
2019-11-03 04:15:00;11;5;7;3;1;1;1;14;0;0;0;0;0
2019-11-03 04:30:00;6;3;5;1;1;0;0;19;0;0;0;0;0
2019-11-03 04:45:00;14;3;7;3;2;2;0;12;0;0;0;0;0
2019-11-03 05:00:00;15;4;5;1;0;0;0;14;0;0;0;0;0
2019-11-03 05:15:00;13;6;10;3;0;0;0;23;0;0;0;0;0
2019-11-03 05:30:00;19;5;4;2;4;3;3;26;0;0;0;0;0
2019-11-03 05:45:00;14;4;8;1;2;1;2;30;0;0;0;0;0
2019-11-03 06:00:00;17;1;4;0;2;2;0;15;0;0;0;0;0
2019-11-03 06:15:00;20;1;4;2;2;2;2;12;0;0;0;0;0
2019-11-03 06:30:00;11;2;4;2;2;1;1;20;0;0;0;0;0
2019-11-03 06:45:00;19;3;4;1;1;0;1;17;0;0;0;0;0
2019-11-03 07:00:00;14;4;11;5;4;4;0;22;0;0;0;0;0
2019-11-03 07:15:00;24;5;6;1;1;1;0;24;0;0;0;0;0
2019-11-03 07:30:00;30;2;7;1;3;3;3;30;0;0;0;0;0
2019-11-03 07:45:00;27;15;15;6;3;3;1;38;0;0;0;0;0
2019-11-03 08:00:00;30;7;14;4;1;2;1;39;0;0;0;0;0
2019-11-03 08:15:00;30;10;22;4;3;3;2;52;0;0;0;0;0
2019-11-03 08:30:00;35;12;17;7;8;10;3;59;0;0;0;0;0
2019-11-03 08:45:00;43;10;17;4;3;3;2;56;0;0;0;0;0
2019-11-03 09:00:00;50;14;20;4;3;4;6;75;0;0;0;0;0
2019-11-03 09:15:00;56;10;15;5;4;4;2;53;0;0;0;0;0
2019-11-03 09:30:00;88;18;27;5;8;8;3;81;0;0;0;0;0
2019-11-03 09:45:00;84;11;15;5;5;5;4;92;0;0;0;0;0
2019-11-03 10:00:00;74;14;22;4;7;6;5;98;0;0;0;0;0
2019-11-03 10:15:00;75;15;19;1;7;7;5;85;0;0;0;0;0
2019-11-03 10:30:00;90;19;28;6;5;6;3;106;0;0;0;0;0
2019-11-03 10:45:00;100;18;23;5;7;7;5;88;0;0;0;0;0
2019-11-03 11:00:00;90;21;30;8;4;4;5;115;0;0;0;0;0
2019-11-03 11:15:00;82;18;21;7;3;3;1;91;0;0;0;0;0
2019-11-03 11:30:00;114;10;18;6;11;13;4;93;0;0;0;0;0
2019-11-03 11:45:00;135;17;28;5;8;6;8;105;0;0;0;0;0
