DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DC1);8(DC2);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC)
2020-12-21 00:00:00;1;2;2;2;0;0;0;6;0;0;0;0;0
2020-12-21 00:15:00;4;6;5;7;0;0;0;3;0;0;0;0;0
2020-12-21 00:30:00;2;3;3;0;0;0;0;5;0;0;0;0;0
2020-12-21 00:45:00;4;8;6;2;0;0;0;6;0;0;0;0;0
2020-12-21 01:00:00;1;6;6;2;1;1;0;6;0;0;0;0;0
2020-12-21 01:15:00;3;1;1;0;0;1;1;2;0;0;0;0;0
2020-12-21 01:30:00;8;3;1;0;0;0;0;1;0;0;0;0;0
2020-12-21 01:45:00;5;3;0;0;0;0;0;3;0;0;0;0;0
2020-12-21 02:00:00;6;7;4;6;0;0;0;4;0;0;0;0;0
2020-12-21 02:15:00;1;4;5;3;0;0;0;5;0;0;0;0;0
2020-12-21 02:30:00;4;5;7;2;0;0;0;4;0;0;0;0;0
2020-12-21 02:45:00;5;4;2;1;0;0;0;2;0;0;0;0;0
2020-12-21 03:00:00;8;3;2;0;0;0;0;6;0;0;0;0;0
2020-12-21 03:15:00;5;1;0;0;0;0;0;2;0;0;0;0;0
2020-12-21 03:30:00;8;3;4;0;0;0;0;3;0;0;0;0;0
2020-12-21 03:45:00;3;3;2;1;0;0;0;6;0;0;0;0;0
2020-12-21 04:00:00;2;2;2;0;0;0;0;8;0;0;0;0;0
2020-12-21 04:15:00;7;4;1;0;2;2;0;3;0;0;0;0;0
2020-12-21 04:30:00;10;11;5;2;1;1;1;12;0;0;0;0;0
2020-12-21 04:45:00;12;9;5;3;2;1;0;9;0;0;0;0;0
2020-12-21 05:00:00;21;10;8;2;0;0;0;14;0;0;0;0;0
2020-12-21 05:15:00;29;10;8;7;1;3;4;27;0;0;0;0;0
2020-12-21 05:30:00;38;24;11;6;3;3;5;63;0;0;0;0;0
2020-12-21 05:45:00;44;31;18;7;6;7;5;57;0;0;0;0;0
2020-12-21 06:00:00;56;29;25;9;6;5;4;64;0;0;0;0;0
2020-12-21 06:15:00;57;29;17;8;4;6;5;62;0;0;0;0;0
2020-12-21 06:30:00;77;29;16;8;7;7;4;108;0;0;0;0;0
2020-12-21 06:45:00;101;18;15;13;10;11;9;107;0;5;0;0;0
2020-12-21 07:00:00;77;21;19;15;6;7;10;127;1;2;0;0;0
2020-12-21 07:15:00;105;21;20;21;15;13;17;123;0;3;0;0;0
2020-12-21 07:30:00;126;24;20;15;21;20;19;135;3;3;0;0;0
2020-12-21 07:45:00;103;34;24;23;15;18;20;121;0;1;0;0;0
2020-12-21 08:00:00;103;30;28;17;9;13;15;97;4;0;0;0;0
