DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DE3);12(DE4);13(TAFBA);14(TAFBB);15(TAFBC);16(TAFBD)
2019-10-02 00:00:00;13;13;16;0;0;11;0;4;1;1;1;1;0;0;0;0
2019-10-02 00:15:00;22;18;20;1;2;19;2;3;5;4;4;4;0;0;0;0
2019-10-02 00:30:00;14;26;25;1;1;25;2;2;4;5;4;4;0;0;0;0
2019-10-02 00:45:00;6;15;19;0;1;10;2;3;0;0;0;0;0;0;0;0
2019-10-02 01:00:00;5;21;18;0;0;23;0;1;1;1;1;1;0;0;0;0
2019-10-02 01:15:00;16;13;20;1;0;10;0;2;1;1;1;1;0;0;0;0
2019-10-02 01:30:00;13;10;22;0;1;9;0;0;1;1;1;1;0;0;0;0
2019-10-02 01:45:00;10;2;9;0;1;5;0;0;2;2;2;2;0;0;0;0
2019-10-02 02:00:00;6;3;9;0;1;4;0;1;0;0;0;0;0;0;0;0
2019-10-02 02:15:00;3;5;5;0;0;4;0;0;3;3;3;3;0;0;0;0
2019-10-02 02:30:00;4;4;6;0;0;3;0;0;0;0;0;0;0;0;0;0
2019-10-02 02:45:00;6;8;10;0;0;6;0;1;0;0;0;0;0;0;0;0
2019-10-02 03:00:00;6;8;12;3;1;10;0;1;3;2;2;2;0;0;0;0
2019-10-02 03:15:00;4;4;7;0;0;4;1;1;0;0;0;0;0;0;0;0
2019-10-02 03:30:00;7;1;3;0;1;1;0;0;0;0;0;0;0;0;0;0
2019-10-02 03:45:00;5;7;10;0;1;12;0;0;2;2;2;2;0;0;0;0
2019-10-02 04:00:00;5;8;10;1;2;7;0;1;1;1;3;2;0;0;0;0
2019-10-02 04:15:00;18;4;11;0;1;5;0;0;2;2;2;2;0;0;0;0
2019-10-02 04:30:00;15;17;23;2;5;18;0;1;2;2;2;2;0;0;0;0
2019-10-02 04:45:00;20;13;274;0;3;14;0;1;4;4;4;4;0;0;0;0
2019-10-02 05:00:00;25;22;23;0;1;21;1;11;7;7;7;7;0;0;0;0
2019-10-02 05:15:00;32;44;25;2;5;42;1;12;25;23;23;24;0;0;0;0
2019-10-02 05:30:00;56;60;52;0;3;60;0;12;32;31;34;31;0;0;0;0
2019-10-02 05:45:00;58;104;47;6;9;99;0;18;16;16;18;17;0;0;0;0
2019-10-02 06:00:00;79;100;51;17;14;85;0;12;14;13;14;13;0;0;0;0
2019-10-02 06:15:00;114;131;60;10;15;125;2;17;15;16;16;16;0;0;0;0
2019-10-02 06:30:00;108;175;84;12;11;162;1;31;28;26;24;24;0;0;0;0
2019-10-02 06:45:00;125;195;73;3;10;174;1;41;27;27;28;27;0;0;2;0
2019-10-02 07:00:00;180;178;70;11;11;172;2;34;26;28;26;26;1;0;1;0
2019-10-02 07:15:00;206;206;70;12;18;194;6;60;37;39;37;37;0;2;0;0
2019-10-02 07:30:00;231;244;73;36;26;210;6;89;42;40;35;37;0;0;9;1
2019-10-02 07:45:00;207;216;98;24;29;176;10;82;43;38;40;42;0;0;0;0
2019-10-02 08:00:00;221;226;86;19;21;202;7;99;60;61;51;52;0;3;2;5
2019-10-02 08:15:00;188;177;85;21;14;154;6;63;56;51;52;56;0;0;7;0
2019-10-02 08:30:00;206;172;90;32;21;153;10;60;59;56;58;57;0;0;0;0
2019-10-02 08:45:00;192;174;74;25;23;164;8;64;51;48;48;47;2;0;2;3
2019-10-02 09:00:00;176;180;73;24;24;156;5;57;46;53;45;45;0;0;0;0
2019-10-02 09:15:00;186;199;100;25;25;163;14;41;44;45;45;41;2;0;3;1
2019-10-02 09:30:00;185;176;73;33;34;167;14;50;46;46;41;42;0;0;0;0
2019-10-02 09:45:00;188;185;69;34;38;159;14;39;41;42;32;36;6;0;0;0
2019-10-02 10:00:00;194;215;76;32;31;184;9;49;65;67;57;60;1;0;0;0
2019-10-02 10:15:00;209;209;53;24;21;187;6;53;43;42;47;46;0;0;0;0
2019-10-02 10:30:00;208;219;97;44;25;183;12;75;39;38;43;45;1;0;0;0
2019-10-02 10:45:00;196;201;85;35;54;172;17;58;58;58;51;53;0;0;0;0
2019-10-02 11:00:00;205;204;101;42;27;171;10;50;49;49;45;45;0;0;0;0
2019-10-02 11:15:00;213;208;94;32;22;169;15;47;56;60;53;56;3;0;8;4
2019-10-02 11:30:00;231;247;314;44;19;204;10;68;55;54;43;40;0;0;1;0
2019-10-02 11:45:00;196;197;334;44;25;179;14;51;60;62;55;57;0;0;9;0
2019-10-02 12:00:00;191;192;93;41;28;175;17;47;67;67;59;61;0;0;4;7
2019-10-02 12:15:00;198;210;96;48;38;189;19;63;57;60;56;56;0;1;0;0
