DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DE3);12(DE4);13(TAFBA);14(TAFBB);15(TAFBC);16(TAFBD)
2020-03-29 00:00:00;5;5;3;0;1;4;0;0;0;0;0;0;0;0;0;0
2020-03-29 00:15:00;6;3;4;0;2;3;2;1;3;4;3;3;0;0;0;0
2020-03-29 00:30:00;5;5;5;0;0;4;0;1;1;1;2;2;0;0;0;0
2020-03-29 00:45:00;1;2;2;0;1;2;0;0;0;0;0;0;0;0;0;0
2020-03-29 01:00:00;0;2;2;0;1;3;1;0;0;0;0;0;0;0;0;0
2020-03-29 01:15:00;5;3;4;0;1;6;1;0;1;1;0;0;0;0;0;0
2020-03-29 01:30:00;4;2;2;0;2;2;0;0;1;1;0;1;0;0;0;0
2020-03-29 01:45:00;1;0;3;0;3;1;1;1;1;1;1;1;0;0;0;0
2020-03-29 03:00:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-29 03:15:00;1;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0
2020-03-29 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-29 03:45:00;2;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0
2020-03-29 04:00:00;1;4;5;1;0;4;0;1;0;0;0;0;0;0;0;0
2020-03-29 04:15:00;1;2;2;2;0;2;1;1;1;1;1;1;0;0;0;0
2020-03-29 04:30:00;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-03-29 04:45:00;1;1;1;0;2;1;1;0;1;1;1;1;0;0;0;0
2020-03-29 05:00:00;5;2;2;0;1;2;0;0;0;0;0;0;0;0;0;0
2020-03-29 05:15:00;6;2;2;0;0;4;0;2;3;3;3;3;0;0;0;0
2020-03-29 05:30:00;10;9;8;0;1;11;0;2;0;0;0;0;0;0;0;0
2020-03-29 05:45:00;3;21;18;1;0;24;0;0;0;0;0;0;0;0;0;0
2020-03-29 06:00:00;5;9;8;2;2;9;0;2;1;1;0;0;0;0;0;0
2020-03-29 06:15:00;10;10;9;3;0;8;2;3;0;0;0;0;0;0;0;0
2020-03-29 06:30:00;12;14;13;2;2;15;1;0;0;0;0;0;0;0;0;0
2020-03-29 06:45:00;11;5;5;0;0;6;1;1;1;1;2;1;0;0;0;0
2020-03-29 07:00:00;9;5;5;0;3;6;1;3;2;2;2;2;0;0;0;0
2020-03-29 07:15:00;6;9;9;0;1;7;1;5;1;1;1;1;0;0;0;0
2020-03-29 07:30:00;6;5;6;1;0;6;1;3;0;0;0;0;0;0;0;0
2020-03-29 07:45:00;3;10;7;4;3;8;0;6;1;1;1;1;0;0;0;0
2020-03-29 08:00:00;4;9;11;3;0;5;2;6;0;0;0;0;0;0;0;0
2020-03-29 08:15:00;6;7;6;4;1;6;1;1;4;7;4;4;0;0;0;0
2020-03-29 08:30:00;7;12;13;2;3;12;0;3;1;1;1;1;0;0;0;0
2020-03-29 08:45:00;13;13;12;8;3;11;2;13;0;0;0;0;0;0;0;0
2020-03-29 09:00:00;10;11;10;5;0;9;2;9;1;1;1;1;0;0;1;0
2020-03-29 09:15:00;9;8;10;7;6;7;2;10;5;5;5;5;0;0;0;0
2020-03-29 09:30:00;18;11;9;8;7;12;1;11;1;1;1;1;0;0;0;0
2020-03-29 09:45:00;22;20;19;4;6;18;0;10;11;11;10;10;0;0;0;0
2020-03-29 10:00:00;17;16;20;9;3;20;2;10;6;5;6;6;0;0;0;0
2020-03-29 10:15:00;12;16;14;11;5;20;2;15;9;8;6;7;0;0;0;0
2020-03-29 10:30:00;22;19;21;7;2;17;4;11;5;5;4;4;0;0;0;0
2020-03-29 10:45:00;32;14;12;7;3;14;2;9;5;6;5;4;0;0;0;0
2020-03-29 11:00:00;25;21;21;7;7;18;2;12;6;6;6;6;0;0;0;0
2020-03-29 11:15:00;31;25;21;13;11;22;1;21;9;8;8;8;0;0;0;0
2020-03-29 11:30:00;28;37;27;9;12;27;3;19;3;3;3;3;0;0;0;0
2020-03-29 11:45:00;21;29;26;14;10;27;3;12;5;6;5;5;0;0;0;0
2020-03-29 12:00:00;23;25;25;7;4;20;1;19;10;10;10;10;0;0;0;0
2020-03-29 12:15:00;40;18;17;11;7;17;2;22;9;9;8;8;0;0;0;0
2020-03-29 12:30:00;27;38;31;11;8;32;2;20;14;13;10;11;0;0;0;0
2020-03-29 12:45:00;28;31;28;9;11;30;4;17;10;10;9;9;0;0;0;0
2020-03-29 13:00:00;31;26;29;8;14;25;2;24;13;14;11;13;0;0;0;0
2020-03-29 13:15:00;36;27;27;4;5;27;3;10;5;4;3;4;0;0;0;0
2020-03-29 13:30:00;27;31;26;11;12;28;1;25;9;11;8;8;0;0;0;0
2020-03-29 13:45:00;32;32;29;7;10;34;4;27;16;16;11;13;0;0;2;0
2020-03-29 14:00:00;25;27;20;15;12;27;2;18;8;8;8;7;0;0;0;0
2020-03-29 14:15:00;35;23;22;12;9;23;4;10;6;6;5;5;0;0;0;5
2020-03-29 14:30:00;44;31;27;8;11;25;0;22;6;6;5;5;0;0;2;4
2020-03-29 14:45:00;48;31;30;18;11;30;4;23;10;8;9;8;4;0;0;0
2020-03-29 15:00:00;38;31;24;7;17;27;4;16;5;5;4;5;21;0;0;0
2020-03-29 15:15:00;35;33;29;13;7;31;1;18;6;7;6;6;0;0;0;4
2020-03-29 15:30:00;51;37;29;14;11;29;2;24;14;14;15;13;0;0;0;0
2020-03-29 15:45:00;42;34;29;18;9;30;4;28;7;8;7;6;0;0;0;0
2020-03-29 16:00:00;30;33;32;9;9;39;2;29;9;9;6;6;0;0;0;0
2020-03-29 16:15:00;34;35;29;7;13;30;5;13;18;20;15;17;0;0;0;11
2020-03-29 16:30:00;40;29;27;11;8;26;2;16;3;3;3;3;0;0;0;0
2020-03-29 16:45:00;38;38;31;8;8;35;1;17;13;12;14;12;0;0;0;0
2020-03-29 17:00:00;30;32;26;8;9;33;0;13;10;12;9;9;0;0;0;0
2020-03-29 17:15:00;34;27;21;6;14;22;6;19;10;11;9;10;0;0;0;0
2020-03-29 17:30:00;33;35;25;6;14;32;3;11;10;9;9;9;0;0;0;0
2020-03-29 17:45:00;37;29;26;11;7;31;2;23;5;6;5;5;0;0;0;0
2020-03-29 18:00:00;35;36;33;8;9;32;2;16;13;14;14;14;0;0;0;0
2020-03-29 18:15:00;26;39;35;4;20;36;2;9;11;10;8;9;0;0;0;0
2020-03-29 18:30:00;34;23;21;1;7;29;1;9;11;12;8;8;0;0;0;0
2020-03-29 18:45:00;31;33;26;10;9;38;2;15;13;12;11;13;0;0;0;0
2020-03-29 19:00:00;33;38;35;4;7;32;4;17;14;15;10;11;0;0;0;0
2020-03-29 19:15:00;32;31;22;4;13;34;1;10;7;6;6;6;0;0;0;0
2020-03-29 19:30:00;26;35;26;4;8;34;1;8;9;8;7;8;0;0;0;0
2020-03-29 19:45:00;25;24;21;3;15;17;2;13;7;7;4;5;0;0;0;0
2020-03-29 20:00:00;22;25;25;10;8;22;1;8;6;6;5;7;2;0;0;0
2020-03-29 20:15:00;23;22;20;2;11;26;0;8;11;10;10;10;0;0;0;0
2020-03-29 20:30:00;17;26;19;2;6;27;1;5;13;11;10;10;0;0;0;0
2020-03-29 20:45:00;17;13;11;3;3;16;0;8;4;5;5;5;0;0;0;0
2020-03-29 21:00:00;19;27;25;1;3;27;1;4;5;259;5;5;0;0;0;0
2020-03-29 21:15:00;18;16;14;1;1;16;0;3;5;7;4;5;0;0;0;0
2020-03-29 21:30:00;23;10;9;2;6;9;0;6;3;3;3;3;0;0;0;0
2020-03-29 21:45:00;18;20;18;3;8;20;1;7;2;2;3;2;0;0;0;0
2020-03-29 22:00:00;13;13;11;2;3;12;2;3;4;5;4;4;0;0;0;0
2020-03-29 22:15:00;17;7;8;2;7;8;0;3;3;3;3;3;0;0;0;0
2020-03-29 22:30:00;11;10;9;2;6;9;0;4;2;3;2;2;0;0;0;0
2020-03-29 22:45:00;6;9;8;2;0;7;2;6;3;3;3;3;0;0;0;0
2020-03-29 23:00:00;3;7;8;0;1;8;0;0;2;3;2;2;0;0;0;0
2020-03-29 23:15:00;5;9;10;0;1;9;0;1;2;2;2;2;0;0;0;0
2020-03-29 23:30:00;6;4;4;0;0;7;1;3;1;1;1;1;0;0;0;0
2020-03-29 23:45:00;
