DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2019-10-18 00:00:00;0;10;2;2;2;1;0;4;0;0;0;0;0
2019-10-18 00:15:00;1;16;3;4;5;1;4;2;0;0;0;0;0
2019-10-18 00:30:00;0;4;1;2;6;7;5;1;0;0;0;0;0
2019-10-18 00:45:00;1;3;2;3;2;3;0;1;0;0;0;0;0
2019-10-18 01:00:00;1;2;0;0;5;1;3;3;0;0;0;0;0
2019-10-18 01:15:00;0;1;3;3;4;1;3;1;0;0;0;0;0
2019-10-18 01:30:00;1;2;1;1;2;3;0;2;0;0;0;0;0
2019-10-18 01:45:00;1;4;2;2;5;4;3;3;0;0;0;0;0
2019-10-18 02:00:00;1;2;0;0;0;4;0;3;0;0;0;0;0
2019-10-18 02:15:00;1;4;4;3;7;1;7;2;0;0;0;0;0
2019-10-18 02:30:00;3;5;3;3;1;2;1;0;0;0;0;0;0
2019-10-18 02:45:00;0;1;5;5;6;2;4;3;0;0;0;0;0
2019-10-18 03:00:00;1;3;3;3;7;1;5;1;0;0;0;0;0
2019-10-18 03:15:00;1;1;4;4;12;0;5;6;0;0;0;0;0
2019-10-18 03:30:00;1;0;1;1;5;6;1;9;0;0;0;0;0
2019-10-18 03:45:00;2;5;3;3;2;6;1;14;0;0;0;0;0
2019-10-18 04:00:00;4;4;5;5;21;33;21;24;0;0;0;0;0
2019-10-18 04:15:00;3;10;7;6;31;59;30;19;0;0;0;0;0
2019-10-18 04:30:00;1;9;7;7;11;17;11;17;0;0;0;0;0
2019-10-18 04:45:00;1;13;22;22;9;16;7;14;0;0;0;0;0
2019-10-18 05:00:00;0;33;49;48;12;13;14;41;0;0;0;0;0
2019-10-18 05:15:00;16;74;118;120;23;19;23;64;0;0;0;0;0
2019-10-18 05:30:00;14;96;108;107;24;46;29;85;0;0;0;0;0
2019-10-18 05:45:00;8;82;72;71;30;59;29;80;0;0;0;0;0
2019-10-18 06:00:00;4;73;33;37;24;57;28;58;0;0;0;0;0
2019-10-18 06:15:00;7;62;27;29;31;24;30;88;0;0;0;0;0
2019-10-18 06:30:00;10;88;44;45;20;25;21;89;0;0;0;0;0
2019-10-18 06:45:00;7;72;51;52;26;21;25;76;0;0;0;0;0
2019-10-18 07:00:00;7;82;54;52;26;26;24;93;0;0;0;0;0
2019-10-18 07:15:00;6;103;59;61;15;28;17;111;0;0;0;0;0
2019-10-18 07:30:00;10;89;63;63;35;36;39;100;0;0;0;0;0
2019-10-18 07:45:00;8;76;49;50;37;32;34;94;0;0;0;0;0
2019-10-18 08:00:00;3;79;45;46;27;30;29;85;0;0;0;0;0
2019-10-18 08:15:00;8;70;35;36;26;30;24;94;0;0;0;0;0
2019-10-18 08:30:00;4;68;21;19;25;28;24;76;0;0;0;0;0
2019-10-18 08:45:00;4;46;25;24;13;30;14;56;0;0;0;0;0
2019-10-18 09:00:00;8;46;21;21;19;22;20;42;0;0;0;0;0
2019-10-18 09:15:00;2;51;24;24;13;22;16;50;0;0;0;0;0
2019-10-18 09:30:00;4;40;28;29;22;17;26;62;0;0;0;0;0
2019-10-18 09:45:00;1;55;36;35;15;19;16;57;0;0;0;0;0
2019-10-18 10:00:00;5;52;13;17;13;30;19;53;0;0;0;0;0
2019-10-18 10:15:00;9;54;31;32;17;25;17;37;0;0;0;0;0
2019-10-18 10:30:00;2;33;19;17;9;22;9;56;0;0;0;0;0
2019-10-18 10:45:00;6;52;22;19;21;27;27;58;0;0;0;0;0
2019-10-18 11:00:00;1;35;30;30;21;27;27;55;0;0;0;0;0
2019-10-18 11:15:00;5;58;27;26;18;28;20;68;0;0;0;0;0
2019-10-18 11:30:00;3;48;26;26;14;39;13;47;0;0;0;0;0
2019-10-18 11:45:00;5;53;24;25;25;35;24;61;0;0;0;0;0
2019-10-18 12:00:00;3;89;23;24;34;47;33;64;0;0;0;0;0
2019-10-18 12:15:00;2;67;32;31;25;40;27;73;0;0;0;0;0
2019-10-18 12:30:00;0;74;28;30;28;42;30;65;0;0;0;0;0
2019-10-18 12:45:00;0;72;38;36;25;37;22;78;0;0;0;0;0
2019-10-18 13:00:00;7;79;57;58;31;54;32;74;0;0;0;0;0
2019-10-18 13:15:00;5;113;69;70;31;35;30;67;0;0;0;0;0
2019-10-18 13:30:00;13;101;82;90;41;34;46;64;0;0;0;0;0
2019-10-18 13:45:00;16;135;66;64;29;60;29;73;0;0;0;0;0
2019-10-18 14:00:00;7;120;73;72;47;127;51;139;0;0;0;0;0
2019-10-18 14:15:00;4;92;51;50;41;159;42;128;0;0;0;0;0
2019-10-18 14:30:00;1;76;52;48;38;88;42;74;0;0;0;0;0
2019-10-18 14:45:00;1;74;32;34;36;71;38;91;0;0;0;0;0
2019-10-18 15:00:00;2;104;32;34;40;76;40;99;0;0;0;0;0
2019-10-18 15:15:00;3;135;53;57;36;55;37;95;0;0;0;0;0
2019-10-18 15:30:00;2;77;33;34;21;46;26;97;0;0;0;0;0
2019-10-18 15:45:00;3;100;36;37;30;32;25;84;0;0;0;0;0
2019-10-18 16:00:00;1;75;35;34;24;34;24;92;0;0;0;0;0
2019-10-18 16:15:00;1;65;37;39;26;33;23;65;0;0;0;0;0
2019-10-18 16:30:00;1;67;30;31;20;43;23;67;0;0;0;0;0
2019-10-18 16:45:00;1;63;17;18;16;26;17;65;0;0;0;0;0
2019-10-18 17:00:00;0;68;20;21;16;33;16;50;0;0;0;0;0
2019-10-18 17:15:00;3;51;19;19;14;24;13;64;0;0;0;0;0
2019-10-18 17:30:00;1;72;11;11;12;26;15;50;0;0;0;0;0
