DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2019-10-07 00:00:00;0;1;1;1;0;0;0;5;0;0;0;0;0
2019-10-07 00:15:00;1;4;0;0;0;1;0;2;0;0;0;0;0
2019-10-07 00:30:00;1;4;2;4;1;2;1;1;0;0;0;0;0
2019-10-07 00:45:00;0;3;0;0;0;0;0;4;0;0;0;0;0
2019-10-07 01:00:00;0;2;0;0;0;0;0;3;0;0;0;0;0
2019-10-07 01:15:00;0;3;0;1;0;0;0;3;0;0;0;0;0
2019-10-07 01:30:00;0;2;1;1;0;0;0;0;0;0;0;0;0
2019-10-07 01:45:00;0;1;0;0;0;1;0;0;0;0;0;0;0
2019-10-07 02:00:00;0;2;1;1;0;0;0;2;0;0;0;0;0
2019-10-07 02:15:00;2;2;1;1;0;1;0;1;0;0;0;0;0
2019-10-07 02:30:00;0;0;1;1;0;0;0;2;0;0;0;0;0
2019-10-07 02:45:00;0;2;0;1;0;0;0;3;0;0;0;0;0
2019-10-07 03:00:00;0;1;1;1;0;0;0;1;0;0;0;0;0
2019-10-07 03:15:00;1;0;0;0;0;0;0;2;0;0;0;0;0
2019-10-07 03:30:00;0;3;2;2;0;1;1;3;0;0;0;0;0
2019-10-07 03:45:00;0;1;1;1;1;0;1;1;0;0;0;0;0
2019-10-07 04:00:00;1;0;0;0;1;5;2;2;0;0;0;0;0
2019-10-07 04:15:00;2;4;4;4;1;0;1;4;0;0;0;0;0
2019-10-07 04:30:00;0;8;11;11;4;2;4;7;0;0;0;0;0
2019-10-07 04:45:00;1;21;26;25;2;2;2;18;0;0;0;0;0
2019-10-07 05:00:00;5;30;60;60;6;9;5;28;0;0;0;0;0
2019-10-07 05:15:00;19;79;106;109;16;12;16;66;0;0;0;0;0
2019-10-07 05:30:00;20;95;124;124;18;38;38;73;0;0;0;0;0
2019-10-07 05:45:00;7;81;65;64;10;22;11;58;0;0;0;0;0
2019-10-07 06:00:00;7;52;30;35;17;29;16;51;0;0;0;0;0
2019-10-07 06:15:00;8;80;28;30;14;13;15;78;0;0;0;0;0
2019-10-07 06:30:00;8;105;48;56;20;18;20;107;0;0;0;0;0
2019-10-07 06:45:00;6;94;52;53;31;21;31;110;0;0;0;0;0
2019-10-07 07:00:00;7;70;51;49;31;15;29;106;0;0;0;0;0
2019-10-07 07:15:00;10;96;58;60;23;23;22;87;0;0;0;0;0
2019-10-07 07:30:00;9;113;59;61;36;23;36;114;0;0;0;0;0
2019-10-07 07:45:00;14;95;46;50;29;39;31;104;0;0;0;0;0
2019-10-07 08:00:00;10;66;53;53;30;46;31;114;0;0;0;0;0
2019-10-07 08:15:00;7;85;48;49;33;40;35;118;0;0;0;0;0
2019-10-07 08:30:00;5;86;31;34;36;38;37;112;0;0;0;0;0
2019-10-07 08:45:00;3;66;30;32;24;32;22;69;0;0;0;0;0
