DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2020-04-11 00:00:00;0;0;0;0;0;0;0;1;0;0;0;0;0
2020-04-11 00:15:00;0;2;2;4;1;0;1;1;0;0;0;0;0
2020-04-11 00:30:00;0;0;2;1;0;0;0;0;0;0;0;0;0
2020-04-11 00:45:00;0;0;0;0;2;2;2;1;0;0;0;0;0
2020-04-11 01:00:00;0;2;0;1;0;1;0;2;0;0;0;0;0
2020-04-11 01:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-11 01:30:00;1;1;0;0;0;0;0;1;0;0;0;0;0
2020-04-11 01:45:00;0;0;2;1;0;0;0;0;0;0;0;0;0
2020-04-11 02:00:00;0;1;0;1;0;0;0;0;0;0;0;0;0
2020-04-11 02:15:00;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-04-11 02:30:00;0;0;2;2;0;0;0;0;0;0;0;0;0
2020-04-11 02:45:00;0;1;0;0;0;0;0;3;0;0;0;0;0
2020-04-11 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-11 03:15:00;0;2;1;2;0;0;0;0;0;0;0;0;0
2020-04-11 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-11 03:45:00;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-04-11 04:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-11 04:15:00;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-04-11 04:30:00;1;2;0;0;0;0;0;3;0;0;0;0;0
2020-04-11 04:45:00;0;1;0;0;0;0;0;2;0;0;0;0;0
2020-04-11 05:00:00;0;0;0;0;0;2;0;5;0;0;0;0;0
2020-04-11 05:15:00;0;3;0;0;0;0;0;3;0;0;0;0;0
2020-04-11 05:30:00;2;3;4;4;2;1;2;3;0;0;0;0;0
2020-04-11 05:45:00;1;3;0;0;1;0;1;5;0;0;0;0;0
2020-04-11 06:00:00;2;3;0;0;0;1;0;1;0;0;0;0;0
2020-04-11 06:15:00;0;5;5;6;2;1;2;6;0;0;0;0;0
2020-04-11 06:30:00;4;8;5;5;5;3;5;9;0;0;0;0;0
2020-04-11 06:45:00;4;5;2;2;1;3;1;8;0;0;0;0;0
2020-04-11 07:00:00;2;4;0;0;2;4;2;5;0;0;0;0;0
2020-04-11 07:15:00;0;5;2;2;1;4;1;8;0;0;0;0;0
2020-04-11 07:30:00;1;7;2;2;2;5;2;8;0;0;0;0;0
2020-04-11 07:45:00;0;8;2;2;2;4;2;10;0;0;0;0;0
2020-04-11 08:00:00;0;8;2;2;1;9;1;6;0;0;0;0;0
2020-04-11 08:15:00;0;11;1;2;1;11;1;23;0;0;0;0;0
2020-04-11 08:30:00;0;10;1;1;3;8;5;9;0;0;0;0;0
2020-04-11 08:45:00;3;17;2;2;2;6;2;18;0;0;0;0;0
2020-04-11 09:00:00;1;17;3;3;7;13;8;9;0;0;0;0;0
2020-04-11 09:15:00;1;17;3;3;4;8;4;14;0;0;0;0;0
2020-04-11 09:30:00;0;24;2;2;6;5;6;20;0;0;0;0;0
2020-04-11 09:45:00;1;18;2;3;9;6;9;24;0;0;0;0;0
2020-04-11 10:00:00;1;17;1;1;12;14;12;13;0;0;0;0;0
2020-04-11 10:15:00;0;15;3;3;12;10;12;36;0;0;0;0;0
2020-04-11 10:30:00;1;14;1;1;11;10;12;22;0;0;0;0;0
2020-04-11 10:45:00;1;12;4;4;6;10;6;28;0;0;0;0;0
2020-04-11 11:00:00;1;23;6;7;4;10;7;17;0;0;0;0;0
2020-04-11 11:15:00;0;20;0;0;8;10;8;22;0;0;0;0;0
2020-04-11 11:30:00;1;22;1;0;6;16;6;26;0;0;0;0;0
2020-04-11 11:45:00;1;26;3;3;6;11;7;18;0;0;0;0;0
2020-04-11 12:00:00;0;20;4;4;9;17;9;27;0;0;0;0;0
2020-04-11 12:15:00;0;22;2;3;3;10;3;30;0;0;0;0;0
2020-04-11 12:30:00;2;17;6;6;7;12;7;12;0;0;0;0;0
2020-04-11 12:45:00;2;14;5;5;6;9;6;16;0;0;0;0;0
2020-04-11 13:00:00;1;19;1;1;8;17;8;19;0;0;0;0;0
2020-04-11 13:15:00;0;16;4;5;5;16;5;22;0;0;0;0;0
2020-04-11 13:30:00;1;30;6;5;3;10;4;14;0;0;0;0;0
2020-04-11 13:45:00;2;19;2;2;9;8;9;20;0;0;0;0;0
2020-04-11 14:00:00;2;25;4;4;11;12;11;24;0;0;0;0;0
2020-04-11 14:15:00;0;13;2;2;8;9;8;19;0;0;0;0;0
2020-04-11 14:30:00;0;17;4;3;3;8;3;22;0;0;0;0;0
2020-04-11 14:45:00;0;19;1;2;10;8;10;27;0;0;0;0;0
2020-04-11 15:00:00;0;14;4;4;6;12;6;21;0;0;0;0;0
2020-04-11 15:15:00;0;10;3;3;1;5;1;24;0;0;0;0;0
2020-04-11 15:30:00;0;14;3;3;5;11;7;17;0;0;0;0;0
2020-04-11 15:45:00;1;21;5;5;7;9;8;26;0;0;0;0;0
2020-04-11 16:00:00;3;13;2;3;4;13;2;21;0;0;0;0;0
2020-04-11 16:15:00;0;16;4;4;9;11;9;18;0;0;0;0;0
2020-04-11 16:30:00;1;25;7;6;8;7;7;31;0;0;0;0;0
2020-04-11 16:45:00;0;22;1;1;4;11;4;18;0;0;0;0;0
2020-04-11 17:00:00;0;18;3;3;5;18;5;18;0;0;0;0;0
2020-04-11 17:15:00;0;16;3;3;6;15;6;26;0;0;0;0;0
2020-04-11 17:30:00;0;12;3;3;5;4;5;21;0;0;0;0;0
2020-04-11 17:45:00;0;18;2;3;3;5;1;25;0;0;0;0;0
2020-04-11 18:00:00;0;18;4;3;6;10;7;22;0;0;0;0;0
2020-04-11 18:15:00;2;15;4;9;5;6;5;33;0;0;0;0;0
2020-04-11 18:30:00;0;8;3;3;3;4;3;20;0;0;0;0;0
2020-04-11 18:45:00;0;17;1;2;3;13;3;23;0;0;0;0;0
2020-04-11 19:00:00;0;14;2;2;3;9;3;18;0;0;0;0;0
2020-04-11 19:15:00;1;10;4;4;2;8;2;23;0;0;0;0;0
2020-04-11 19:30:00;0;11;0;1;4;4;4;13;0;0;0;0;0
